E,P
-20.37527137,-17.32907883
-20.37527137,-18.14052833
-19.81044822,-17.21155856
-19.81044822,-18.10695111
-19.24562507,-17.08564399
-19.24562507,-18.04539287
-18.68080192,-16.9513351
-18.68080192,-18.02020996
-18.11597877,-16.80583381
-18.11597877,-17.98943084
-17.55115562,-16.62955341
-17.55115562,-17.91388209
-16.98633247,-16.43928249
-16.98633247,-17.85792006
-16.42150932,-16.22382866
-16.42150932,-17.82154473
-15.85668617,-15.99158622
-15.85668617,-17.73200548
-15.29186302,-15.72576656
-15.29186302,-17.66485104
-14.72703987,-15.43196588
-14.72703987,-17.57531178
-14.16221672,-15.12137659
-14.16221672,-17.49696494
-13.59739357,-14.75202716
-13.59739357,-17.39343517
-13.03257042,-14.37428343
-13.03257042,-17.2703187
-12.46774727,-13.93218336
-12.46774727,-17.16678893
-11.90292412,-13.45090987
-11.90292412,-17.01848954
-11.33810097,-12.93046295
-11.33810097,-16.87578636
-10.77327782,-12.32887109
-10.77327782,-16.70790026
-10.20845468,-11.7020963
-10.20845468,-16.52602364
-9.669305306,-11.03335
-9.643631526,-16.32176222
-9.155829715,-10.36852103
-9.078808377,-16.10630839
-8.637219369,-9.6606013
-8.513985227,-15.85727734
-8.154552314,-8.948764226
-7.949162078,-15.59705388
-7.696091965,-8.294008427
-7.384338928,-15.29485889
-7.296314541,-7.619066323
-6.870863338,-6.885863743
-6.819515779,-14.9730772
-6.466929207,-6.170249232
-6.254692629,-14.62051638
-6.100649952,-5.453535467
-5.741217039,-4.745615735
-5.68986948,-14.21479164
-5.381784126,-4.042093021
-5.125046331,-13.78668207
-5.042100274,-3.31962931
-4.662918299,-2.565244948
-4.560223181,-13.31939909
-4.263140875,-1.764438233
-3.995400032,-12.79615407
-3.961168326,-1.027571473
-3.616218057,-0.352995787
-3.430576882,-12.23373563
-3.276534205, 0.3549239448689505
-2.942775071, 1.057713823228351
-2.865753733,-11.61815325
-2.61296575, 1.7423519136009276
-2.289927535, 2.4610950714642748
-2.300930584,-10.94940695
-1.896996452, 3.2420052845818716
-1.761781214,-10.27618367
-1.550466259, 3.958448464340055
-1.248305623,-9.583653503
-1.178130626, 4.666052512556828
-0.823700808, 5.362449804712172
-0.755835852,-8.934773717
-0.452418458, 6.027075830689338
-0.25803127,-8.278618867
-0.103988593,6.699819426
0.15641688476725335,-7.601478255
0.2901462418234111, 7.410445014529849
0.5708650398632429,-6.908948083
0.6969769018972123, 8.089953251775714
0.9779778293823114,-6.238402995
1.0623345335168928, 8.751467542669424
1.355749156593692,-5.539277298
1.4936540294397993, 9.410140684139108
1.7486802393307244,-4.848799067
1.9095692576511745, 10.077705571028428
2.1218058350100613,-4.13267157
2.3973710685163603, 10.758266085838745
2.514736918,-3.422113629
2.8448283687084874,-2.716392406
2.9365204384199934, 11.43540669856459
3.237759451445516,-1.99865267
3.5013435878428503, 12.106951107879476
3.6040387059197307,-1.274170841
3.9634716191888195,-0.539869008
4.066166737, 12.711341076262874
4.3189547202241805, 0.1134262438268685
4.630989886688557, 13.25697090883122
4.641992935053924,0.810015201
5.034924018, 1.5450498702658884
5.1958130361114065, 13.766225419228343
5.401203272265175, 2.2874129013170617
5.760636185534263, 14.227912200632328
5.767482526739382, 3.0060320407531655
6.171416657841792,3.759863958
6.325459334957113, 14.636435049632219
6.582197130149321, 4.500486502892233
6.890282484379963, 15.014178779871843
6.986131261251725, 5.236492180247081
7.396911733559254, 5.942359970482512
7.455105634, 15.355547187940243
7.755855622456547,6.603085053
8.019928783, 15.654944070426463
8.148297680821774, 7.285355519055438
8.584751932648526, 15.926359935857898
8.564212909033149, 8.018924516175101
9.000200364868643, 8.651295501613287
9.149575082071376,16.17539099
9.457660436302024, 9.383465447880212
9.714398231494233, 16.39644102237832
9.919788467647994, 10.026407039761317
10.279221380917082, 16.597904345172786
10.43326405803241, 10.699505950023692
10.84404453033994,16.77978096
10.99808720745526, 11.401829478098847
11.408867679762789, 16.939272753241184
11.56291035687811, 12.023008056715115
11.973690829185646, 17.095966448747994
12.127733506300967, 12.605013211454684
12.538513978608496, 17.219082923789056
12.692556655723816, 13.145046840612073
13.103337128031345, 17.333805093713682
13.257379805146673, 13.637512740776323
13.668160277454202, 17.440132958521872
13.822202954569523, 14.088007115358394
14.232983426877052, 17.540864619919105
14.38702610399238, 14.496529964358285
14.797806576299909, 17.622009569377987
14.95184925341523, 14.877071796303387
15.362629725722758, 17.705952620542348
15.516672402838086, 15.224036407782744
15.927452875145615, 17.76191465465192
16.081495552260936, 15.526231391974445
16.492276024568465, 17.815078587056018
16.646318701683793, 15.808839664227794
17.057099173991322, 17.89902163822038
17.211141851106643, 16.066265021131834
17.62192232341417, 17.946589367213516
17.775965000529492, 16.30410366609752
18.18674547283702, 17.98016658767926
18.34078814995235, 16.513961294008425
18.751568622259878, 18.016541909850485
18.9056113, 16.704232209980976
19.316391771682728, 18.069705842254578
19.470434448798056, 16.872118312309695
19.881214921105585, 18.11447546954224
20.035257598220905, 17.028812007816505
20.31766917293233, 18.117895371626712
20.446038070528434, 17.07003737294389
