E,P
-81.02307067,-30.79728292
-78.5497182,-30.38742237
-75.69637663,-30.16573143
-73.40959538,-30.22224824
-71.24605384,-29.55569283
-70.78048161,-30.66742611
-68.17618695,-29.9612331
-69.15097881,-30.75090549
-65.65918708,-28.82624209
-65.83377667,-30.27901513
-63.17613519,-28.68053966
-63.24403114,-30.08133133
-60.62518735,-28.21927746
-60.53789256,-29.730602
-57.97724529,-27.89405573
-57.97724529,-29.56828099
-55.28727241,-27.46892927
-55.41659803,-29.19858661
-52.85595076,-27.22622072
-52.51970415,-28.85200733
-50.49899135,-26.68244534
-49.91702606,-28.51261472
-47.73465624,-26.15443828
-47.24321888,-28.17180501
-45.12227872,-25.6437197
-44.70843674,-27.81753296
-42.58232356,-25.28547981
-41.91500336,-27.51839853
-40.05271444,-24.47603904
-39.42419193,-26.99108714
-37.49206718,-23.68298497
-36.79370883,-26.29558026
-34.90232165,-23.25613869
-34.23306157,-25.72359194
-32.37077265,-21.79078578
-31.67241431,-25.07430791
-29.81012539,-20.64990097
-29.11176704,-24.32299352
-27.0883185,-19.40199132
-26.66751283,-23.75162357
-25.32370208,-19.02006553
-24.22325863,-22.75543635
-23.5914106,-17.38492981
-21.66261136,-21.75368383
-21.89539748,-16.32089903
-19.70446934,-15.07938689
-19.5886987,-21.38995226
-17.82164047,-19.91655784
-18.03114797,-13.81794882
-16.42492378,-12.26640732
-15.73551874,-18.74184624
-14.86525681,-11.01823605
-13.62464375,-10.08195756
-13.9030742,-17.51246775
-12.23477371,-16.1520631
-12.00198759,-8.329736362
-12.35116677,-9.987729529
-10.43987024,-6.959039178
-9.923540139,-14.65926192
-8.626588927,-4.924473474
-9.092161157,-6.824788719
-8.742981985,-13.5976908
-7.928230582,-12.28341237
-7.307467609,-3.491797328
-5.997475159,-9.975725958
-6.997086123,-11.21209371
-5.220560509,-1.382275119
-6.415120835,-2.565021661
-4.669224973,-9.783668831
-3.970866629,-8.202198427
-3.970866629,-1.264134715
-3.427699027,0.691446969
-1.96890604,-6.610524987
-1.371421679,-5.783228909
-1.953386966,2.374947722
-0.56483821,3.907789628
-0.168693418,-4.069969304
1.473741948,-1.986849685
0.452069555,-3.355756863
1.499607072,6.056542805
2.670384297,7.137078493
3.245502934,0.177043961
4.099052022,9.091945679
3.943861279,7.255399402
5.250050035,2.267249021
4.176647394,1.235608828
5.185387225,10.45235033
6.535546692,12.38752594
6.659699286,4.039014124
8.673094982,6.089568417
7.55204606,5.061746905
8.134011348,13.20716974
9.530728037,14.41938746
11.06046536,15.58180464
10.57826555,8.046134604
12.50521728,9.551082248
13.16577275,10.45646144
13.48809199,16.86325724
15.07103757,12.12224703
14.41923645,10.36732504
15.58316703,17.98559107
16.93880381,13.92038189
15.9323462,12.81605341
17.84119234,19.09942238
19.30774486,19.93035136
18.88872986,15.02136651
20.47167544,16.08831245
21.86839213,21.04804745
22.33396436,17.16367993
24.42903939,22.1286416
24.66182551,18.36743192
25.36018385,19.26251635
26.93596678,23.32027402
27.80443806,19.92246719
29.5037767,23.97817355
30.24869227,20.95993033
31.99458813,24.67197993
32.80933953,21.9245809
34.69490706,25.37598933
35.02080762,22.68111275
37.25018234,26.06430176
37.19902055,23.63400332
39.76964437,26.42180041
39.79292298,24.12611756
42.35357024,26.91081729
42.23717718,24.73319813
44.91421751,27.3553781
44.83662213,25.36011794
47.37140428,25.91561651
47.81111138,27.83151972
50.01223342,26.45751103
50.52694939,28.23964112
52.68927375,27.05949008
53.33033089,28.54442408
55.06727344,27.44955996
55.38959268,28.93118015
57.95023994,29.24293955
58.38994705,27.91087666
60.62728026,29.53882756
61.05405481,28.27365123
63.66643232,28.60241569
63.76989282,29.93396327
66.19086841,28.97255912
66.33054008,30.10555977
68.89118734,29.53666328
71.59885742,29.6107858
74.01248187,30.10655357
75.99116385,29.80410647
79.1337764,30.44720684
81.69442367,30.81977221
