E,P
-1.938945644,-0.439620391
-1.848396717,-0.43759857
-1.75784779,-0.435172385
-1.667298863,-0.431883556
-1.572317471,-0.425928342
-1.519127892,-0.38954213
-1.486201009,-0.434498444
-1.482085149,-0.355984394
-1.449158266,-0.313569476
-1.395652082,-0.432611411
-1.420347244,-0.281109621
-1.395652082,-0.24120112
-1.370956921,-0.201539731
-1.346261759,-0.16249612
-1.305103156,-0.43058959
-1.321566597,-0.129877407
-1.296871435,-0.096270248
-1.268060413,-0.059821308
-1.214554229,-0.428702557
-1.23513353,-0.022013254
-1.202206648,0.012458795
-1.169279765,0.045077508
-1.124005302,-0.426141584
-1.132237022,0.078585822
-1.091078419,0.112687203
-1.033456375,-0.423850187
-1.045803956,0.144416315
-0.992297772,0.176611408
-0.942907448,-0.421424002
-0.926444007,0.207347367
-0.852358521,-0.418323876
-0.844126801,0.236746143
-0.761809594,-0.415358538
-0.753577874,0.261547148
-0.671260667,-0.411584472
-0.663028947,0.280821841
-0.580711741,-0.407945195
-0.57248002,0.296726834
-0.490162814,-0.403766764
-0.481931093,0.310610005
-0.399613887,-0.399049182
-0.391382166,0.323280083
-0.30906496,-0.3943316
-0.300833239,0.334467493
-0.218516033,-0.388670501
-0.210284313,0.343498294
-0.127967106,-0.382874614
-0.119735386,0.352394306
-0.037418179,-0.37613521
-0.029186459,0.360481591
0.053130747,-0.368991442
0.061362468,0.368299299
0.143679674,-0.36076937
0.151911395,0.374903914
0.234228601,-0.35173857
0.242460322,0.381104165
0.324777528,-0.341359888
0.333009249,0.386630476
0.415326455,-0.33003769
0.423558176,0.391752423
0.505875382,-0.316963248
0.514107102,0.396470005
0.596424309,-0.301732196
0.604656029,0.400513647
0.686973236,-0.283805382
0.695204956,0.404152925
0.777522162,-0.262508867
0.785753883,0.407657415
0.863955229,-0.236481291
0.87630281,0.410892329
0.938040715,-0.205678847
0.966851737,0.41358809
0.999778619,-0.17414566
1.057400664,0.41641864
1.053284803,-0.140750311
1.098559267,-0.107044308
1.147949591,0.418979613
1.13560201,-0.076130664
1.168528892,-0.04499462
1.201455775,-0.01200524
1.238498517,0.42127101
1.234382657,0.023578811
1.263193679,0.058421527
1.287888841,0.088569125
1.329047444,0.423966771
1.312584003,0.121964474
1.337279165,0.154300773
1.361974327,0.189267045
1.419596371,0.425853804
1.386669489,0.228928435
1.415480511,0.270937383
1.444291533,0.305780099
1.477218415,0.348431537
1.510145298,0.425539299
1.526608739,0.385032275
1.600694225,0.421513629
1.691243152,0.42410156
1.781792079,0.428199117
1.872341005,0.429897447
1.962889932,0.43178448
2.016396116,0.434278059
