"BTO 1, $V_{T,Min}$","BTO 1, $V_{T,Max}$","BTO 2, $V_{T,Min}$","BTO 2, $V_{T,Max}$","BTO 3, $V_{T,Min}$","BTO 3, $V_{T,Max}$","BTO 4, $V_{T,Min}$","BTO 4, $V_{T,Max}$",V_D
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.553403289105374e-09,1.765598525602384e-09,4.72934712931389e-09,2.2306214938962615e-09,3.9158809897056656e-09,2.7256550469769265e-09,4.224199209398483e-09,3.1529579164851653e-09,0.1
1.0930617390742588e-08,3.3550078637366076e-09,9.282505071159619e-09,4.285053800324362e-09,7.65557279194317e-09,5.275120906485692e-09,8.272209231328806e-09,6.129726645502169e-09,0.2
1.613164230491164e-08,4.768228014402669e-09,1.3659473825537187e-08,6.163296919284303e-09,1.1219075406712515e-08,7.648397578526298e-09,1.2144030065790967e-08,8.930306187051013e-09,0.30000000000000004
2.115647803161253e-08,6.00525897760057e-09,1.7860253392446594e-08,7.865350850776079e-09,1.4606388834013695e-08,9.845485063098739e-09,1.5839661712784968e-08,1.1554696541131697e-08,0.4
2.6005124570845262e-08,7.06610075333031e-09,2.1884843771887837e-08,9.391215594799698e-09,1.781751307384672e-08,1.1866383360203022e-08,1.9359104172310806e-08,1.4002897707744217e-08,0.5
3.0677581922609827e-08,7.950753341591889e-09,2.5733244963860924e-08,1.0740891151355153e-08,2.085244812621158e-08,1.3711092469839144e-08,2.2702357444368484e-08,1.6274909686888576e-08,0.6
3.517385008690624e-08,8.659216742385308e-09,2.9405456968365845e-08,1.1914377520442448e-08,2.371119399110828e-08,1.5379612392007104e-08,2.5869421528958e-08,1.8370732478564774e-08,0.7
3.949392906373449e-08,9.191490955710563e-09,3.290147978540261e-08,1.2911674702061586e-08,2.6393750668536815e-08,1.6871943126706906e-08,2.8860296426079354e-08,2.0290366082772817e-08,0.7999999999999999
4.363781885309457e-08,9.54757598156766e-09,3.622131341497121e-08,1.3732782696212558e-08,2.8900118158497197e-08,1.8188084673938543e-08,3.1674982135732555e-08,2.203381049951269e-08,0.8999999999999999
4.7605519454986486e-08,9.727471819956594e-09,3.936495785707164e-08,1.4377701502895368e-08,3.123029646098941e-08,1.9328037033702016e-08,3.431347865791758e-08,2.3601065728784406e-08,0.9999999999999999
5.139703086941026e-08,9.751387783930558e-09,4.233241311170392e-08,1.484643112211002e-08,3.338428557601346e-08,2.0291800205997337e-08,3.6775785992634455e-08,2.4992131770587958e-08,1.0999999999999999
5.5012353096365866e-08,9.751387783930558e-09,4.512367917886804e-08,1.5138971553856515e-08,3.5362085503569365e-08,2.1079374190824496e-08,3.906190413988318e-08,2.6207008624923353e-08,1.2
5.8451486135853306e-08,9.751387783930558e-09,4.773875605856401e-08,1.525532279813484e-08,3.716369624365709e-08,2.169075898818348e-08,4.1171833099663726e-08,2.7245696291790585e-08,1.3
6.171442998787258e-08,9.751387783930558e-09,5.01776437507918e-08,1.5257588653127006e-08,3.878911779627668e-08,2.212595459807432e-08,4.310557287197612e-08,2.8108194771189662e-08,1.4000000000000001
6.480118465242372e-08,9.751387783930558e-09,5.244034225555144e-08,1.5257588653127006e-08,4.023835016142808e-08,2.2384961020496995e-08,4.486312345682035e-08,2.8794504063120576e-08,1.5000000000000002
6.771175012950669e-08,9.751387783930558e-09,5.452685157284293e-08,1.5257588653127006e-08,4.1511393339111344e-08,2.2467857291276827e-08,4.6444484854196415e-08,2.930462416758333e-08,1.6000000000000003
7.044612641912149e-08,9.751387783930558e-09,5.6437171702666236e-08,1.5257588653127006e-08,4.2608247329326426e-08,2.2467857291276827e-08,4.784965706410433e-08,2.9638555084577916e-08,1.7000000000000004
7.30043135212681e-08,9.751387783930558e-09,5.817130264502138e-08,1.5257588653127006e-08,4.352891213207335e-08,2.2467857291276827e-08,4.907864008654407e-08,2.979629681410435e-08,1.8000000000000005
7.538631143594659e-08,9.751387783930558e-09,5.972924439990837e-08,1.5257588653127006e-08,4.427338774735212e-08,2.2467857291276827e-08,5.013143392151566e-08,2.9810062481549044e-08,1.9000000000000006
7.759212016315691e-08,9.751387783930558e-09,6.11109969673272e-08,1.5257588653127006e-08,4.484167417516273e-08,2.2467857291276827e-08,5.100803856901908e-08,2.9810062481549044e-08,2.0000000000000004
7.962173970289907e-08,9.751387783930558e-09,6.231656034727788e-08,1.5257588653127006e-08,4.523377141550518e-08,2.2467857291276827e-08,5.170845402905435e-08,2.9810062481549044e-08,2.1000000000000005
8.147517005517307e-08,9.751387783930558e-09,6.334593453976039e-08,1.5257588653127006e-08,4.544967946837946e-08,2.2467857291276827e-08,5.223268030162145e-08,2.9810062481549044e-08,2.2000000000000006
8.315241121997889e-08,9.751387783930558e-09,6.419911954477473e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.258071738672038e-08,2.9810062481549044e-08,2.3000000000000007
8.465346319731656e-08,9.751387783930558e-09,6.487611536232092e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.275256528435117e-08,2.9810062481549044e-08,2.400000000000001
8.597832598718607e-08,9.751387783930558e-09,6.537692199239894e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,2.500000000000001
8.712699958958743e-08,9.751387783930558e-09,6.57015394350088e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,2.600000000000001
8.809948400452058e-08,9.751387783930558e-09,6.584996769015052e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,2.700000000000001
8.889577923198563e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,2.800000000000001
8.951588527198252e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,2.9000000000000012
8.99598021245112e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.0000000000000013
9.022752978957175e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.1000000000000014
9.031906826716412e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.2000000000000015
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.3000000000000016
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.4000000000000017
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.5000000000000018
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.600000000000002
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.700000000000002
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.800000000000002
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,3.900000000000002
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,4.000000000000002
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,4.100000000000001
9.031910192512066e-08,9.751387783930558e-09,6.586029792309828e-08,1.5257588653127006e-08,4.549603952194499e-08,2.2467857291276827e-08,5.2772471772412136e-08,2.9810062481549044e-08,4.200000000000001
