"BTO 1, $V_{T,Min}$","BTO 1, $V_{T,Max}$","BTO 2, $V_{T,Min}$","BTO 2, $V_{T,Max}$","BTO 3, $V_{T,Min}$","BTO 3, $V_{T,Max}$","BTO 4, $V_{T,Min}$","BTO 4, $V_{T,Max}$",V_G
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3657956540675414e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
9.157213554892426e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3.59299800609469e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
8.032166531381745e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
1.423322693135041e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2.2196179206000687e-09,0.0,1.0330232947772576e-11,0.0,0.0,0.0,0.0,0.0,0.6
3.192102335533256e-09,0.0,1.587584880894765e-10,0.0,0.0,0.0,0.0,0.0,0.7
4.340775937934606e-09,0.0,4.833759306993413e-10,0.0,0.0,0.0,0.0,0.0,0.7999999999999999
5.665638727804116e-09,0.0,9.84182560777367e-10,0.0,0.0,0.0,1.9906488060967367e-11,0.0,0.8999999999999999
7.166690705141787e-09,0.0,1.6611783783235535e-09,0.0,0.0,0.0,1.9175438569174778e-10,0.0,0.9999999999999999
8.84393186994762e-09,0.0,2.5143633833379014e-09,0.0,4.6360053565537007e-11,0.0,5.397914707906891e-10,0.0,1.0999999999999999
1.0697362222221613e-08,0.0,3.5437375758204106e-09,0.0,2.6226810643982247e-10,0.0,1.064017743357792e-09,0.0,1.2
1.2726981761963772e-08,0.0,4.749300955771083e-09,0.0,6.543653467822691e-10,0.0,1.764433203393056e-09,0.0,1.3
1.4932790489174088e-08,0.0,6.131053523189914e-09,0.0,1.2226517745928773e-09,0.0,2.641037850896482e-09,0.0,1.4000000000000001
1.7314788403852566e-08,0.0,7.688995278076908e-09,0.0,1.9671273898716466e-09,0.0,3.6938316858680688e-09,1.3765667444701804e-11,1.5000000000000002
1.9872975505999206e-08,0.0,9.423126220432063e-09,0.0,2.887792192618577e-09,0.0,4.922814708307817e-09,1.715073969711312e-10,1.6000000000000003
2.260735179561401e-08,0.0,1.133344635025538e-08,0.0,3.984646182833669e-09,0.0,6.327986918215727e-09,5.054383139657218e-10,1.7000000000000004
2.5517917272696974e-08,0.0,1.3419955667546857e-08,0.0,5.2576893605169224e-09,8.289627077983353e-11,7.909348315591797e-09,1.0155584184284738e-09,1.8000000000000005
2.86046719372481e-08,0.0,1.5682654172306494e-08,0.0,6.7069217256683375e-09,3.419026932025076e-10,9.666898900436027e-09,1.7018677103593872e-09,1.9000000000000006
3.186761578926737e-08,0.0,1.812154186453429e-08,2.265854992163346e-12,8.33234327828791e-09,7.770983030933418e-10,1.160063867274842e-08,2.56436618975846e-09,2.0000000000000004
3.530674882875482e-08,0.0,2.073661874423025e-08,1.186170992704942e-10,1.0133954018375645e-08,1.388483100452338e-09,1.3710567632528974e-08,3.603053856625695e-09,2.1000000000000005
3.892207105571043e-08,0.0,2.3527884811394374e-08,4.111575310169863e-10,1.2111753945931545e-08,2.176057085279496e-09,1.599668577977769e-08,4.817930710961093e-09,2.2000000000000006
4.27135824701342e-08,2.391596397396316e-11,2.6495340066026658e-08,8.798871502316398e-10,1.4265743060955604e-08,3.1398202575748147e-09,1.845899311449457e-08,6.2089967527646495e-09,2.3000000000000007
4.6681283072026124e-08,2.0381180236290004e-10,2.9638984508127107e-08,1.5248059569144546e-09,1.6595921363447825e-08,4.279772617338295e-09,2.1097489636679605e-08,7.776251982036369e-09,2.400000000000001
