L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
71.4938,51.8701,70.1065,0.0681604,4.20945,4.94558,83.1482,0.00240364,8.91144,6.73774,47.9092,0.0006133,2.99387,3.81446,7.10437,3.01053e-06,1.9914,0.952893,13.2556,2.90158
71.4938,51.8701,70.1061,0.0681431,4.24062,4.97638,83.1465,0.00240364,8.91144,6.73774,47.9087,0.000595955,3.02504,3.84526,7.10274,3.00042e-06,1.9901,0.952895,13.1984,2.9016
71.4938,51.8701,70.1065,0.0681532,4.26,4.99686,83.1534,0.00240363,8.91144,6.73774,47.9091,0.000606094,3.04442,3.86574,7.10957,3.00474e-06,1.9891,0.952893,13.1544,2.90158
71.4938,51.8701,70.1054,0.0681228,4.2621,4.99708,83.1474,0.00240362,8.91144,6.73774,47.908,0.000575711,3.04652,3.86596,7.10356,2.98685e-06,1.98918,0.952898,13.1579,2.90163
71.4938,51.8701,70.1066,0.0682829,4.26842,5.00502,83.1513,0.00240376,8.91144,6.73774,47.9093,0.000735717,3.05284,3.8739,7.10754,3.09688e-06,1.98879,0.952891,13.1408,2.90157
71.4938,51.8701,70.1052,0.0681786,4.26044,4.99427,83.1451,0.00240364,8.91144,6.73774,47.9078,0.000631419,3.04486,3.86315,7.10126,3.02146e-06,1.98932,0.952899,13.1642,2.90164
71.4938,51.8701,70.1049,0.068204,4.26455,4.99871,83.1446,0.0024037,8.91144,6.73774,47.9076,0.000656854,3.04898,3.86759,7.10077,3.04159e-06,1.98915,0.9529,13.1567,2.90165
71.4938,51.8701,70.1059,0.0681711,4.2721,5.00729,83.1463,0.00240368,8.91144,6.73774,47.9086,0.000623941,3.05653,3.87617,7.10249,3.02097e-06,1.98877,0.952895,13.1399,2.90161
71.4938,51.8701,70.1043,0.0682294,4.26183,4.99427,83.1398,0.00240372,8.91144,6.73774,47.907,0.000682279,3.04625,3.86315,7.09596,3.05906e-06,1.98941,0.952903,13.1679,2.90168
71.4938,51.8701,70.1045,0.0682558,4.26863,5.00179,83.1439,0.00240374,8.91144,6.73774,47.9072,0.000708696,3.05305,3.87067,7.10012,3.07855e-06,1.98901,0.952902,13.1506,2.90167
