Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.82624e-05,0.0993049,0,0.0759017,6.85678e-07,0.591577,0,1.69146,2.11413e-05,0.0473656,0,0.0520562,5.82834e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,2.11413e-05,0.000987789,0.0422802,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,5.82834e-07,0.0585562
2,17.7669,15.8789,15.011,0.000370803,0.493175,0.656409,2.97575,1.19082e-05,5.59145,3.70338,13.2845,5.16613e-05,0.263493,0.426727,2.1073,2.1139e-07,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2845,5.16613e-05,0.0155217,0.537124,0.129148,0.0239482,0.00853657,0.448777,2.1073,2.1139e-07,0.920125
3,5.2584,4.4361,9.72151,0.000742077,0.184436,0.25063,2.64883,2.04931e-05,1.7232,0.900898,8.86334,0.000103786,0.114237,0.180431,0.919302,4.30137e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.86334,0.000103786,0.0293457,0.242437,0.0417726,0.010458,0.00755516,0.138153,0.919302,4.30137e-07,1.73961
4,8.11523,6.47708,10.2125,0.00148638,0.29553,0.456359,5.28126,3.77213e-05,2.76424,1.12609,8.86164,0.000209771,0.194894,0.355723,1.82325,9.04334e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86164,0.000209771,0.0584488,0.453728,0.0761984,0.0206902,0.0118465,0.201395,1.82325,9.04334e-07,3.46485
5,2.20178,1.60005,9.13315,0.00297876,0.0932231,0.156157,7.5844,7.18181e-05,0.884598,0.282868,7.59733,0.000425419,0.0659514,0.128885,0.670564,1.80507e-06,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59733,0.000425419,0.116473,0.163239,0.024022,0.00757544,0.017688,0.0627935,0.670564,1.80507e-06,6.90454
6,3.69973,2.49858,10.5355,0.00587695,0.163819,0.295293,15.1649,0.000139437,1.66454,0.463394,7.59815,0.000769801,0.125191,0.256665,1.33755,3.02138e-06,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59815,0.000769801,0.232886,0.31998,0.0467762,0.0151,0.0313899,0.0980491,1.33755,3.02138e-06,13.8055
7,0.50363,0.470184,9.57647,0.0183711,0.0315404,0.0440005,49.3425,0.000253305,0.419468,0.386021,0.0139779,0.00108473,0.0196244,0.0320845,0.179746,3.6774e-06,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139779,0.00108473,0.827824,0.0318797,0.0183357,0.00149351,0.107445,0.0556825,0.179746,3.6774e-06,49.0734
8,0.0340165,0.0298294,0.0181295,2.67501e-05,0.00054648,0.000778561,0.0602369,3.29152e-07,0.00617949,0.00199248,0.00215863,5.65064e-06,0.000107077,0.000339158,0.000217809,2.44306e-08,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00215863,5.65064e-06,0.00101147,0.000334014,8.89254e-05,2.32945e-05,0.000321226,0.000724291,0.000217809,2.44306e-08,0.0599602
Total,46.2543,31.3907,66.4844,0.0298811,1.36157,1.85963,83.1338,0.000535698,13.6453,6.86464,47.9126,0.00267196,0.830863,1.38086,7.08998,1.0657e-05,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9126,0.00267196,1.2825,1.791,0.339823,0.0808927,0.186405,1.05315,7.08998,1.0657e-05,76.0265

