epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
average,71.49379999999998,51.87009999999999,70.104342578125,0.0681130765625,4.2718902734375,5.003973125,83.140983203125,0.0024036058984375,8.91144,6.737740000000001,47.906994921875,0.0005659413359375,3.0563115234375005,3.87284984375,7.0971776171875,2.9817363671875e-06,4.969620000000001,7.6742,3.005360000000001,78.80780000000001,73.72939999999997,47.906994921875,0.0005659413359375,1.2825,5.356983046875,1.15367,0.41850607421875,0.24319999999999994,2.71067,7.0971776171875,2.9817363671875e-06,76.02649999999997,1.9889563671875,0.0051669903125,0.9529035078125,13.1482765625,0.015733969921875,2.9016810546875
0.0,71.4938,51.8701,70.1065,0.0681604,4.20945,4.94558,83.1482,0.00240364,8.91144,6.73774,47.9092,0.0006133,2.99387,3.81446,7.10437,3.01053e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9092,0.0006133,1.2825,5.22669,1.15367,0.427967,0.2432,2.71067,7.10437,3.01053e-06,76.0265,1.9914,0.00516693,0.952893,13.2556,0.0157334,2.90158
1.0,71.4938,51.8701,70.1061,0.0681431,4.24062,4.97638,83.1465,0.00240364,8.91144,6.73774,47.9087,0.000595955,3.02504,3.84526,7.10274,3.00042e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9087,0.000595955,1.2825,5.28953,1.15367,0.427096,0.2432,2.71067,7.10274,3.00042e-06,76.0265,1.9901,0.00516694,0.952895,13.1984,0.0157335,2.9016
2.0,71.4938,51.8701,70.1065,0.0681532,4.26,4.99686,83.1534,0.00240363,8.91144,6.73774,47.9091,0.000606094,3.04442,3.86574,7.10957,3.00474e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9091,0.000606094,1.2825,5.32682,1.15367,0.42967,0.2432,2.71067,7.10957,3.00474e-06,76.0265,1.9891,0.00516693,0.952893,13.1544,0.0157334,2.90158
3.0,71.4938,51.8701,70.1054,0.0681228,4.2621,4.99708,83.1474,0.00240362,8.91144,6.73774,47.908,0.000575711,3.04652,3.86596,7.10356,2.98685e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.908,0.000575711,1.2825,5.33351,1.15367,0.42529,0.2432,2.71067,7.10356,2.98685e-06,76.0265,1.98918,0.00516696,0.952898,13.1579,0.0157337,2.90163
4.0,71.4938,51.8701,70.1066,0.0682829,4.26842,5.00502,83.1513,0.00240376,8.91144,6.73774,47.9093,0.000735717,3.05284,3.8739,7.10754,3.09688e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9093,0.000735717,1.2825,5.34402,1.15367,0.429053,0.2432,2.71067,7.10754,3.09688e-06,76.0265,1.98879,0.00516693,0.952891,13.1408,0.0157334,2.90157
5.0,71.4938,51.8701,70.1052,0.0681786,4.26044,4.99427,83.1451,0.00240364,8.91144,6.73774,47.9078,0.000631419,3.04486,3.86315,7.10126,3.02146e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9078,0.000631419,1.2825,5.33174,1.15367,0.422593,0.2432,2.71067,7.10126,3.02146e-06,76.0265,1.98932,0.00516697,0.952899,13.1642,0.0157337,2.90164
6.0,71.4938,51.8701,70.1049,0.068204,4.26455,4.99871,83.1446,0.0024037,8.91144,6.73774,47.9076,0.000656854,3.04898,3.86759,7.10077,3.04159e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9076,0.000656854,1.2825,5.33954,1.15367,0.423356,0.2432,2.71067,7.10077,3.04159e-06,76.0265,1.98915,0.00516697,0.9529,13.1567,0.0157338,2.90165
7.0,71.4938,51.8701,70.1059,0.0681711,4.2721,5.00729,83.1463,0.00240368,8.91144,6.73774,47.9086,0.000623941,3.05653,3.87617,7.10249,3.02097e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9086,0.000623941,1.2825,5.35327,1.15367,0.425753,0.2432,2.71067,7.10249,3.02097e-06,76.0265,1.98877,0.00516695,0.952895,13.1399,0.0157336,2.90161
8.0,71.4938,51.8701,70.1043,0.0682294,4.26183,4.99427,83.1398,0.00240372,8.91144,6.73774,47.907,0.000682279,3.04625,3.86315,7.09596,3.05906e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.907,0.000682279,1.2825,5.3364,1.15367,0.419332,0.2432,2.71067,7.09596,3.05906e-06,76.0265,1.98941,0.00516699,0.952903,13.1679,0.015734,2.90168
