epoch,average loss,accuracy
0.000000,72.179794,41.580002
1.000000,66.605507,48.430000
2.000000,54.629944,61.169998
3.000000,50.881451,63.650002
4.000000,49.934452,63.119999
5.000000,41.602600,70.839996
6.000000,41.225857,71.760002
7.000000,38.514153,73.690002
8.000000,38.156616,74.459999
9.000000,37.419994,74.900002
10.000000,34.906136,76.550003
11.000000,34.488525,76.769997
12.000000,33.174171,77.970001
13.000000,33.424843,78.010002
14.000000,30.365273,80.419998
15.000000,30.768671,79.750000
16.000000,33.238453,77.790001
17.000000,30.635359,79.809998
18.000000,30.299198,79.910004
19.000000,29.785013,79.970001
20.000000,32.289593,78.410004
21.000000,26.705961,82.550003
22.000000,29.537085,80.370003
23.000000,28.760704,81.309998
24.000000,27.762035,82.220001
25.000000,29.427155,80.779999
26.000000,31.859667,78.550003
27.000000,27.954781,81.860001
28.000000,28.282562,81.379997
29.000000,27.142963,81.820000
30.000000,25.831377,83.839996
31.000000,28.764492,81.220001
32.000000,27.987457,81.750000
33.000000,28.719727,81.209999
34.000000,29.923132,79.629997
35.000000,30.544079,79.510002
36.000000,29.000149,81.680000
37.000000,28.091213,81.730003
38.000000,26.478098,83.480003
39.000000,28.927443,80.779999
40.000000,25.969709,83.379997
41.000000,25.456661,83.550003
42.000000,26.357355,82.629997
43.000000,24.733156,83.889999
44.000000,25.864159,83.230003
45.000000,28.540274,81.110001
46.000000,26.531258,82.849998
47.000000,26.606403,83.400002
48.000000,27.076515,82.040001
49.000000,26.945278,82.180000
50.000000,28.720984,81.489998
51.000000,26.767525,82.750000
52.000000,24.265202,84.290001
53.000000,28.697287,80.830002
54.000000,25.434174,83.510002
55.000000,25.411482,83.980003
56.000000,26.215902,82.550003
57.000000,25.517496,83.190002
58.000000,25.642998,83.529999
59.000000,24.559816,84.000000
60.000000,24.889757,84.050003
61.000000,23.742233,84.580002
62.000000,27.165749,82.150002
63.000000,27.520285,81.510002
64.000000,31.087082,79.820000
65.000000,24.644434,84.330002
66.000000,24.576132,84.309998
67.000000,25.191828,83.480003
68.000000,25.559511,83.430000
69.000000,27.872084,81.419998
70.000000,25.849342,83.080002
71.000000,27.144114,82.410004
72.000000,26.025574,83.029999
73.000000,25.415068,83.980003
74.000000,26.215546,82.980003
75.000000,29.193760,80.269997
76.000000,25.022482,84.110001
77.000000,24.459797,84.430000
78.000000,23.726828,84.720001
79.000000,26.193024,82.889999
80.000000,24.460443,84.120003
81.000000,25.309711,83.739998
82.000000,27.217682,82.010002
83.000000,24.628326,83.889999
84.000000,25.412531,83.930000
85.000000,25.486702,83.050003
86.000000,24.909027,84.730003
87.000000,28.812279,80.910004
88.000000,25.840132,83.099998
89.000000,29.748451,80.120003
90.000000,25.958845,82.790001
91.000000,24.860538,83.529999
92.000000,25.660336,83.290001
93.000000,25.558279,83.559998
94.000000,25.689653,83.849998
95.000000,25.820551,82.769997
96.000000,25.988310,83.000000
97.000000,25.788687,83.110001
98.000000,25.131357,83.559998
99.000000,26.492521,82.980003
100.000000,22.898239,85.199997
101.000000,25.793501,83.440002
102.000000,28.091911,81.459999
103.000000,25.617256,83.650002
104.000000,24.267641,84.580002
105.000000,27.614237,81.910004
106.000000,29.762472,79.599998
107.000000,25.612406,82.900002
108.000000,24.018379,84.669998
109.000000,29.075863,80.410004
110.000000,24.662781,83.769997
111.000000,26.063202,82.599998
112.000000,26.080263,82.559998
113.000000,26.605534,81.949997
114.000000,26.027826,82.919998
115.000000,26.492357,82.239998
116.000000,25.874956,82.790001
117.000000,26.214401,82.870003
118.000000,27.038242,81.870003
119.000000,24.533735,83.889999
120.000000,25.646053,83.650002
121.000000,26.195557,82.410004
122.000000,25.071474,84.000000
123.000000,24.763851,84.519997
124.000000,26.811398,82.379997
125.000000,25.585163,82.930000
126.000000,24.976982,83.820000
127.000000,28.769688,80.290001
128.000000,24.702282,84.050003
129.000000,24.363791,84.129997
130.000000,26.474161,82.519997
131.000000,23.587893,84.599998
132.000000,22.947849,85.059998
133.000000,24.069838,84.709999
134.000000,24.613752,84.150002
