1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001537,0.000871,0.000948,0.000777,0.000509,0.000435,-0.000031,0.000287,0.030129,0.016405,0.019423,0.019016,0.014585,0.012114,0.007463,0.010748
-0.002369,-0.000737,-0.000680,-0.000354,-0.000198,-0.000003,0.000049,-0.000024,0.035170,0.020544,0.019070,0.019653,0.014466,0.011657,0.006855,0.009448
-0.000506,0.000906,0.000898,0.000596,0.000102,0.000496,-0.000012,-0.000061,0.030996,0.019242,0.019028,0.014854,0.013943,0.011082,0.007826,0.008287
0.000778,-0.000500,-0.000279,-0.000497,0.000011,-0.000198,0.000004,-0.000165,0.030383,0.014596,0.020081,0.019945,0.014342,0.011145,0.006498,0.009427
-0.001194,-0.000944,-0.000658,-0.001278,-0.000035,0.000099,0.000038,0.000140,0.031877,0.022240,0.022931,0.020047,0.017647,0.014686,0.008987,0.009706
-0.006384,-0.000149,0.000334,-0.000134,0.000160,-0.000006,0.000018,0.000037,0.026325,0.017078,0.017969,0.014500,0.014154,0.011211,0.008409,0.011687
0.000452,0.001446,0.000445,0.000456,0.000007,-0.000158,0.000018,0.000134,0.030165,0.021584,0.021995,0.018877,0.015911,0.013895,0.007418,0.011912
0.002098,0.000274,0.000027,-0.000419,-0.000872,-0.000165,-0.000033,-0.000031,0.032288,0.018453,0.018078,0.021587,0.018418,0.011515,0.006895,0.010130
0.005896,0.001687,0.000583,0.000050,0.000272,0.000142,0.000088,0.000000,0.031992,0.022364,0.023816,0.021025,0.015299,0.011826,0.008760,0.011522
-0.001393,0.000086,0.000410,-0.000818,-0.000067,0.000281,0.000122,-0.000232,0.031637,0.022514,0.022110,0.023757,0.015370,0.013105,0.008840,0.011975
0.000036,0.000156,-0.000593,-0.000481,-0.000061,-0.000000,-0.000034,0.000018,0.030411,0.019593,0.021522,0.017714,0.016358,0.012162,0.008292,0.009141
-0.000633,0.001115,0.000253,0.000493,0.000219,-0.000044,0.000021,-0.000140,0.035083,0.023230,0.021315,0.022922,0.014599,0.014783,0.008736,0.008799
0.001429,-0.000626,0.000724,-0.000026,0.000156,0.000380,-0.000024,0.000201,0.030545,0.020443,0.021071,0.019090,0.016359,0.016906,0.009727,0.012023
0.001772,0.001840,0.000091,-0.000008,-0.000072,0.000307,0.000059,-0.000024,0.031850,0.022068,0.016793,0.018986,0.015409,0.018282,0.008745,0.006537
-0.003653,0.000564,-0.000296,-0.000060,-0.000140,0.000091,-0.000012,0.000378,0.031222,0.012981,0.022725,0.018099,0.016154,0.012791,0.007519,0.012254
-0.002152,-0.000973,0.000235,0.000161,0.000093,0.000290,-0.000038,0.000128,0.028070,0.021396,0.019272,0.021644,0.018730,0.015615,0.009073,0.011439
-0.004033,0.001047,0.000361,-0.000347,0.000160,0.000382,0.000018,0.000128,0.028385,0.017970,0.022556,0.020142,0.015493,0.017958,0.009350,0.011702
0.006149,0.000095,0.000195,0.000488,0.000098,0.000144,0.000072,0.000110,0.032817,0.018995,0.017419,0.018179,0.016001,0.012632,0.007414,0.010662
0.001194,-0.000530,0.000114,-0.000678,0.000237,-0.000050,0.000007,0.000073,0.026831,0.018119,0.021524,0.019440,0.015225,0.017957,0.006886,0.008423
-0.008934,-0.000277,0.000092,-0.000053,-0.000109,-0.000170,-0.000036,-0.000049,0.035797,0.017112,0.021363,0.019877,0.015697,0.017426,0.007469,0.011083
-0.004322,-0.000125,0.000591,0.000330,-0.000062,0.000250,0.000020,-0.000006,0.028541,0.021865,0.019167,0.015354,0.016850,0.012997,0.006353,0.010537
