1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.012888,-0.002775,0.009617,0.001512,0.000183,-0.009669,-0.028667,-0.013627,0.506263,0.626576,0.617947,0.633422,0.651095,0.664823,0.700282,0.658584
-0.006612,-0.009662,0.000981,-0.018503,-0.002586,-0.020211,-0.034750,-0.010874,0.450796,0.586638,0.571523,0.598557,0.614547,0.632002,0.691960,0.652237
-0.014074,-0.017048,0.001469,-0.025347,-0.003750,-0.025259,-0.037612,-0.009989,0.429246,0.554229,0.547384,0.575950,0.586474,0.609974,0.686839,0.650496
-0.012871,-0.023570,-0.005296,-0.040471,-0.005599,-0.029642,-0.042798,-0.006698,0.441686,0.539887,0.532467,0.572192,0.567255,0.592879,0.683691,0.646835
-0.017443,-0.025416,-0.004829,-0.046332,-0.008636,-0.033507,-0.047750,-0.006124,0.458056,0.533438,0.526106,0.571385,0.554396,0.578747,0.682546,0.642709
-0.007493,-0.029779,-0.010642,-0.050263,-0.010181,-0.036793,-0.049779,-0.004064,0.464906,0.529716,0.524160,0.575314,0.545569,0.568456,0.682131,0.640177
-0.016183,-0.036716,-0.011934,-0.056705,-0.012031,-0.041391,-0.053409,-0.004014,0.474046,0.527910,0.522382,0.575263,0.536710,0.560396,0.682759,0.635003
-0.017478,-0.030741,-0.010761,-0.061622,-0.016315,-0.042639,-0.057697,-0.002884,0.470102,0.527930,0.524313,0.571524,0.533445,0.553848,0.685765,0.629775
-0.011112,-0.038426,-0.016234,-0.064468,-0.018925,-0.046725,-0.060723,-0.000862,0.467142,0.530031,0.524060,0.574462,0.532743,0.549975,0.686851,0.625114
-0.013938,-0.039941,-0.015459,-0.064765,-0.021291,-0.051287,-0.061845,0.000754,0.477222,0.529422,0.523167,0.566156,0.532568,0.548251,0.684764,0.622503
-0.016089,-0.037626,-0.018151,-0.067043,-0.022844,-0.055898,-0.062078,0.000314,0.473061,0.529916,0.522797,0.565519,0.533322,0.547634,0.683943,0.622064
-0.011230,-0.041237,-0.016391,-0.067273,-0.024978,-0.058075,-0.065894,0.000636,0.477495,0.529357,0.521673,0.565532,0.533796,0.546293,0.685113,0.620291
-0.017825,-0.038486,-0.016645,-0.073060,-0.025209,-0.059520,-0.067939,0.000156,0.477515,0.531331,0.522458,0.572159,0.534845,0.545026,0.684338,0.616668
-0.009903,-0.038084,-0.021997,-0.078381,-0.028176,-0.060722,-0.068084,0.001607,0.480216,0.534157,0.522274,0.579383,0.538090,0.545661,0.685011,0.615242
-0.011806,-0.043811,-0.021500,-0.077325,-0.029224,-0.064269,-0.070370,0.001744,0.483429,0.536825,0.522276,0.581320,0.540789,0.547934,0.684633,0.613117
-0.014535,-0.042611,-0.023610,-0.083232,-0.030756,-0.064519,-0.071783,0.001153,0.482251,0.541266,0.520643,0.589163,0.542496,0.547469,0.687905,0.612815
-0.012747,-0.038487,-0.020364,-0.086032,-0.033134,-0.067130,-0.073069,0.001239,0.481360,0.543643,0.519231,0.592281,0.543582,0.547467,0.684601,0.611269
-0.015498,-0.042999,-0.024532,-0.088155,-0.030888,-0.066405,-0.073426,0.002840,0.483425,0.545316,0.520163,0.594241,0.541921,0.548494,0.685961,0.609332
-0.012575,-0.047668,-0.023405,-0.085848,-0.030799,-0.068561,-0.072890,0.002180,0.489025,0.546575,0.519817,0.594008,0.541931,0.549928,0.685731,0.608622
-0.007851,-0.046202,-0.025924,-0.090119,-0.030806,-0.066290,-0.076644,0.003379,0.485445,0.546322,0.520707,0.596550,0.541427,0.550418,0.687647,0.608036
-0.017889,-0.039975,-0.023176,-0.089958,-0.033315,-0.071352,-0.077425,0.002971,0.482870,0.546020,0.517311,0.592553,0.540764,0.554715,0.685742,0.606455
-0.012754,-0.040830,-0.026014,-0.087142,-0.032325,-0.070554,-0.077654,0.002497,0.488507,0.548931,0.517464,0.591344,0.540456,0.555302,0.685406,0.606079
-0.013978,-0.042532,-0.025867,-0.089889,-0.030773,-0.072783,-0.078574,0.003346,0.494348,0.548811,0.518827,0.593444,0.540700,0.557378,0.685213,0.605350
-0.013106,-0.042640,-0.027856,-0.089792,-0.031892,-0.074544,-0.080138,0.003079,0.487433,0.547424,0.518155,0.593519,0.539393,0.558585,0.687518,0.604981
-0.012147,-0.042173,-0.025772,-0.092082,-0.031945,-0.074686,-0.079556,0.003824,0.489677,0.550967,0.517182,0.588929,0.539376,0.559341,0.686286,0.602778
-0.017505,-0.043029,-0.023799,-0.085667,-0.032737,-0.074224,-0.080348,0.004153,0.490904,0.550355,0.517084,0.586423,0.537261,0.561470,0.686223,0.602292
-0.020612,-0.044201,-0.025647,-0.088786,-0.029596,-0.072842,-0.081755,0.004808,0.483792,0.551576,0.518142,0.588422,0.537458,0.560969,0.688505,0.602170
-0.014521,-0.044932,-0.022951,-0.087635,-0.031996,-0.073898,-0.083679,0.004624,0.490786,0.549323,0.518891,0.587404,0.539755,0.562383,0.687358,0.601133
-0.012663,-0.044822,-0.026199,-0.086608,-0.030741,-0.070551,-0.083548,0.003757,0.487420,0.554000,0.518273,0.583388,0.538856,0.560584,0.684223,0.599931
-0.011105,-0.044569,-0.026706,-0.084067,-0.031118,-0.071081,-0.084518,0.005029,0.484466,0.553962,0.517491,0.582617,0.538059,0.561312,0.686761,0.599307
-0.017190,-0.045635,-0.024390,-0.086922,-0.031300,-0.071305,-0.084772,0.003861,0.490264,0.552742,0.518243,0.579445,0.537870,0.562791,0.687070,0.601616
-0.010779,-0.046448,-0.023317,-0.083117,-0.032637,-0.070513,-0.086193,0.006095,0.491536,0.553314,0.518331,0.575313,0.538222,0.565103,0.687401,0.599213
-0.021371,-0.039280,-0.022755,-0.084641,-0.031462,-0.073194,-0.085844,0.005288,0.493135,0.553198,0.518996,0.574149,0.540186,0.564627,0.685445,0.598657
-0.007629,-0.042241,-0.025071,-0.085996,-0.032353,-0.074361,-0.086707,0.005943,0.488378,0.557324,0.517493,0.578563,0.539793,0.564346,0.688579,0.598069
-0.017664,-0.042333,-0.024301,-0.089903,-0.030982,-0.071741,-0.085230,0.005541,0.492471,0.556412,0.518304,0.580900,0.539899,0.564362,0.686781,0.599632
-0.009513,-0.043324,-0.026252,-0.083922,-0.034911,-0.072301,-0.086681,0.006489,0.494289,0.554548,0.517289,0.576044,0.540925,0.564845,0.685973,0.596869
