L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4875,0.0294418,1.38935,1.84993,83.1465,0.000532397,13.6453,6.86464,47.9157,0.00223272,0.858643,1.37116,7.10271,8.72303e-06,2.13437,1.27926,19.7612,2.69512
46.2543,31.3907,66.4868,0.0297757,1.38384,1.85319,83.1465,0.000533123,13.6453,6.86464,47.915,0.00256657,0.853133,1.37441,7.10269,9.98575e-06,2.13442,1.27927,19.766,2.69514
46.2543,31.3907,66.4879,0.0295714,1.40273,1.85844,83.1544,0.000534999,13.6453,6.86464,47.916,0.00236226,0.872015,1.37966,7.11057,9.41136e-06,2.13363,1.27926,19.6984,2.6951
46.2543,31.3907,66.4869,0.029968,1.39218,1.85862,83.1488,0.000535121,13.6453,6.86464,47.9151,0.00275887,0.861467,1.37985,7.10495,1.08975e-05,2.13403,1.27927,19.7321,2.69513
46.2543,31.3907,66.4861,0.0305222,1.38282,1.85919,83.1438,0.00053728,13.6453,6.86464,47.9143,0.00331314,0.852113,1.38042,7.09998,1.2711e-05,2.13437,1.27927,19.7612,2.69514
46.2543,31.3907,66.4856,0.0303885,1.37643,1.85874,83.1401,0.000536883,13.6453,6.86464,47.9138,0.00317935,0.84572,1.37997,7.09633,1.23782e-05,2.13463,1.27927,19.7834,2.69516
46.2543,31.3907,66.4855,0.0301399,1.37429,1.85855,83.1392,0.00053641,13.6453,6.86464,47.9137,0.00293082,0.843581,1.37977,7.0954,1.14171e-05,2.13471,1.27928,19.7903,2.69517
46.2543,31.3907,66.4851,0.0300014,1.36849,1.85855,83.1368,0.000535738,13.6453,6.86464,47.9133,0.00279233,0.837781,1.37978,7.09296,1.07246e-05,2.13491,1.27928,19.8078,2.6952
46.2543,31.3907,66.4857,0.0300474,1.37693,1.85969,83.1387,0.00053701,13.6453,6.86464,47.9138,0.00283827,0.846218,1.38091,7.09494,1.15616e-05,2.13463,1.27928,19.7833,2.69517
46.2543,31.3907,66.4853,0.0304515,1.37401,1.86028,83.1423,0.000537447,13.6453,6.86464,47.9135,0.00324242,0.843299,1.38151,7.0985,1.22319e-05,2.1346,1.27928,19.7806,2.69517
46.2543,31.3907,66.4847,0.0306555,1.36378,1.85907,83.1359,0.000536773,13.6453,6.86464,47.9128,0.00344643,0.833065,1.3803,7.09206,1.32314e-05,2.13504,1.27928,19.8187,2.69519
46.2543,31.3907,66.4856,0.0301644,1.37726,1.86066,83.1425,0.000535917,13.6453,6.86464,47.9138,0.00295531,0.846552,1.38189,7.09869,1.13714e-05,2.1345,1.27928,19.7726,2.69517
