Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000120501,1.40553e-05,1.38301e-05,5.98867e-05,1.01547e-05,1.25045e-05,1.00693e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.67461,0,2.27614,2.27234e-05,0.0993033,0,0.0759017,4.68188e-07,0.591577,0,1.69146,1.56024e-05,0.047364,0,0.0520562,3.65344e-07,, , 0.0647197,0.0193087,0.507548,6.87397,1.80469,1.69146,1.56024e-05,0.000987789,0.0422786,0.00348139,0.00160408,0.00162304,0.047575,0.0520562,3.65344e-07,0.0585562
2,17.7669,15.8789,15.0112,0.000343515,0.497835,0.658516,2.97854,9.84559e-06,5.59145,3.70338,13.2847,2.43736e-05,0.268153,0.428834,2.11009,8.24749e-08,, , 0.517758,6.69442,2.08265,15.1163,11.4571,13.2847,2.43736e-05,0.0155217,0.543875,0.129148,0.0239639,0.00853657,0.448777,2.11009,8.24749e-08,0.920125
3,5.2584,4.4361,9.72307,0.000674451,0.19612,0.251112,2.65492,1.80339e-05,1.7232,0.900898,8.8649,3.616e-05,0.125921,0.180913,0.925386,1.22742e-07,, , 0.225512,1.49154,0.907052,5.23262,3.68807,8.8649,3.616e-05,0.0293457,0.254535,0.0417726,0.0105269,0.00755516,0.138153,0.925386,1.22742e-07,1.73961
4,8.11523,6.47708,10.2125,0.0013087,0.296655,0.456865,5.28126,3.46071e-05,2.76424,1.12609,8.86168,3.20867e-05,0.196019,0.356229,1.82325,1.25785e-07,, , 0.451024,1.63167,1.80764,8.74862,5.28851,8.86168,3.20867e-05,0.0584488,0.455356,0.0761984,0.020694,0.0118465,0.201395,1.82325,1.25785e-07,3.46485
5,2.20178,1.60005,9.13411,0.00255798,0.100348,0.156382,7.58709,6.8352e-05,0.884598,0.282868,7.59829,4.64002e-06,0.0730766,0.12911,0.673251,7.20089e-08,, , 0.165682,0.33779,0.663994,6.2831,1.85601,7.59829,4.64002e-06,0.116473,0.170547,0.024022,0.00761788,0.017688,0.0627935,0.673251,7.20089e-08,6.90454
6,3.69973,2.49858,10.536,0.0053031,0.171388,0.295781,15.1685,0.000137118,1.66454,0.463394,7.59864,0.000195954,0.13276,0.257154,1.34113,7.01908e-07,, , 0.331365,0.470897,1.32567,11.9572,2.98916,7.59864,0.000195954,0.232886,0.327994,0.0467762,0.0151435,0.0313899,0.0980491,1.34113,7.01908e-07,13.8055
7,0.50363,0.470184,9.57644,0.017406,0.0314566,0.0441329,49.3423,0.000250476,0.419468,0.386021,0.0139478,0.000119617,0.0195406,0.0322169,0.179569,8.47898e-07,, , 0.00920458,0.759379,0.0369052,12.0326,0.327639,0.0139478,0.000119617,0.827824,0.0319297,0.0183357,0.00149218,0.107445,0.0556825,0.179569,8.47898e-07,49.0734
8,0.0340165,0.0298294,0.0181658,2.1643e-05,0.000550561,0.000778571,0.0602372,3.12821e-07,0.00617949,0.00199248,0.00219487,5.43487e-07,0.000111158,0.000339168,0.000218026,8.09921e-09,, , 0.00115057,0.00240199,0.0046194,0.0803593,0.024034,0.00219487,5.43487e-07,0.00101147,0.000338081,8.89254e-05,2.33195e-05,0.000321226,0.000724291,0.000218026,8.09921e-09,0.0599602
Total,46.2543,31.3907,66.4876,0.0276381,1.39366,1.86357,83.1488,0.000519213,13.6453,6.86464,47.9158,0.000428977,0.862946,1.3848,7.10495,2.32626e-06,, , 1.76642,11.4074,7.33608,66.3248,27.4352,47.9158,0.000428977,1.2825,1.82685,0.339823,0.0810658,0.186405,1.05315,7.10495,2.32626e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13387,0.00693672,1.27928,19.7185,0.0146143,2.69519
