epoch,average loss,accuracy
0.000000,73.326775,41.779999
1.000000,62.780312,52.360001
2.000000,61.946411,53.990002
3.000000,48.676174,65.250000
4.000000,48.794628,65.040001
5.000000,40.224571,72.900002
6.000000,38.025345,74.250000
7.000000,37.073822,74.370003
8.000000,37.670746,74.309998
9.000000,34.199722,77.190002
10.000000,32.472290,78.680000
11.000000,32.559086,78.440002
12.000000,29.702911,80.790001
13.000000,29.618805,81.029999
14.000000,33.367565,77.709999
15.000000,30.048130,80.419998
16.000000,30.447800,79.809998
17.000000,29.685455,80.589996
18.000000,32.826187,77.339996
19.000000,26.408648,82.489998
20.000000,26.758095,82.510002
21.000000,25.941565,83.150002
22.000000,28.974804,80.769997
23.000000,26.797941,82.570000
24.000000,28.475676,81.050003
25.000000,28.715055,80.760002
26.000000,26.976990,82.510002
27.000000,26.302578,82.970001
28.000000,27.440371,82.250000
29.000000,26.116695,82.980003
30.000000,29.142218,81.000000
31.000000,27.439369,82.639999
32.000000,25.417542,83.129997
33.000000,26.010578,82.809998
34.000000,25.004025,83.660004
35.000000,25.291056,83.470001
36.000000,25.591492,83.260002
37.000000,26.581810,82.279999
38.000000,25.973806,83.040001
39.000000,26.178915,83.250000
40.000000,18.398695,88.010002
41.000000,18.177792,88.180000
42.000000,17.513178,88.519997
43.000000,17.415264,88.559998
44.000000,17.307024,88.930000
45.000000,17.048912,89.040001
46.000000,16.604393,89.489998
47.000000,16.485439,89.330002
48.000000,16.883999,88.959999
49.000000,16.757000,89.309998
50.000000,16.521818,89.480003
51.000000,16.325176,89.339996
52.000000,15.880644,89.739998
53.000000,15.971030,89.970001
54.000000,16.301809,89.389999
55.000000,15.930908,89.910004
56.000000,15.763960,89.870003
57.000000,15.765501,89.949997
58.000000,15.696477,89.760002
59.000000,15.734584,89.910004
60.000000,16.103682,89.440002
61.000000,15.701019,89.879997
62.000000,16.382179,89.279999
63.000000,15.634326,89.870003
64.000000,15.573918,89.940002
65.000000,16.205523,89.440002
66.000000,15.752124,89.820000
67.000000,16.313818,89.459999
68.000000,15.592100,90.129997
69.000000,15.580707,89.930000
70.000000,15.818953,89.790001
71.000000,15.211679,90.320000
72.000000,15.239264,90.300003
73.000000,16.127190,89.370003
74.000000,15.821634,89.650002
75.000000,15.925612,89.660004
76.000000,16.036608,89.599998
77.000000,15.240953,90.230003
78.000000,15.544333,89.989998
79.000000,15.314062,90.269997
80.000000,15.314789,90.300003
81.000000,15.315242,90.260002
82.000000,15.314532,90.269997
83.000000,15.314764,90.239998
84.000000,15.313812,90.250000
85.000000,15.312556,90.260002
86.000000,15.313065,90.279999
87.000000,15.313396,90.290001
88.000000,15.313810,90.250000
89.000000,15.313622,90.260002
90.000000,15.313469,90.260002
91.000000,15.312812,90.260002
92.000000,15.314323,90.269997
93.000000,15.311434,90.269997
94.000000,15.313723,90.260002
95.000000,15.312497,90.269997
96.000000,15.315427,90.250000
97.000000,15.314310,90.250000
98.000000,15.317114,90.290001
99.000000,15.315661,90.279999
