1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.000814,-0.000792,-0.000284,-0.000742,-0.000236,-0.000255,0.000001,-0.000018,0.026098,0.016552,0.018063,0.013741,0.013356,0.010106,0.005399,0.010243
-0.003364,0.000960,0.001163,0.000936,0.000229,0.000050,0.000005,-0.000092,0.028610,0.013819,0.015822,0.016062,0.011773,0.013566,0.006178,0.006680
0.001248,-0.001469,-0.000450,-0.000774,-0.000355,0.000083,-0.000021,0.000037,0.025950,0.022033,0.022611,0.015826,0.016177,0.013288,0.004870,0.006595
-0.000289,-0.000430,0.000072,-0.000176,-0.000017,-0.000073,0.000044,-0.000067,0.028727,0.013567,0.017365,0.017308,0.017419,0.014078,0.006311,0.008625
0.001411,0.000047,-0.000632,-0.001023,0.000048,-0.000181,-0.000017,0.000079,0.029395,0.015400,0.020928,0.019546,0.013869,0.010583,0.009188,0.010205
0.000307,0.001668,0.000154,0.000575,-0.000096,0.000019,-0.000037,0.000043,0.028904,0.018281,0.017728,0.018222,0.012985,0.016019,0.007766,0.008264
-0.002713,-0.000654,-0.000195,-0.000367,-0.000153,-0.000080,-0.000017,-0.000110,0.028876,0.019540,0.018750,0.019967,0.012841,0.014901,0.006763,0.010335
0.000090,0.000682,0.000315,0.000241,0.000194,0.000480,0.000052,-0.000189,0.026067,0.018855,0.019500,0.019810,0.014319,0.010968,0.006667,0.007384
0.005841,-0.000636,0.000231,0.000173,0.000032,0.000536,0.000049,-0.000165,0.030165,0.022669,0.017705,0.019786,0.019027,0.015890,0.006188,0.007932
0.003183,0.001435,-0.000112,0.001032,-0.000309,0.000161,0.000011,0.000043,0.032618,0.016035,0.023701,0.018172,0.015741,0.012337,0.007870,0.012182
-0.000922,-0.000272,-0.000036,-0.000414,0.000055,-0.000027,-0.000039,-0.000122,0.034785,0.013519,0.014189,0.015562,0.012787,0.015128,0.008808,0.012537
0.002930,0.000055,-0.000131,-0.000402,0.000406,0.000110,0.000010,0.000146,0.030456,0.014823,0.016718,0.019955,0.015078,0.012533,0.006890,0.013304
-0.003671,-0.000146,0.000205,0.000143,0.000120,0.000295,-0.000007,0.000012,0.027952,0.018081,0.015238,0.017383,0.013424,0.016317,0.008000,0.010298
-0.003743,0.000210,0.000085,-0.000152,-0.000015,-0.000126,-0.000011,0.000183,0.028185,0.012750,0.020841,0.019676,0.014354,0.011924,0.006556,0.010072
-0.002441,-0.001641,0.000359,0.000308,-0.000010,0.000116,0.000016,-0.000018,0.036273,0.023276,0.019369,0.019205,0.018864,0.015521,0.006653,0.009388
0.002062,0.001118,0.000400,-0.000285,-0.000117,0.000019,0.000058,-0.000043,0.029124,0.018126,0.022035,0.017105,0.014267,0.016432,0.007145,0.007282
-0.001899,-0.000001,0.000105,0.000059,0.000356,0.000159,0.000014,-0.000067,0.027021,0.024486,0.020497,0.018531,0.013536,0.018095,0.007412,0.007176
0.002423,0.001348,0.000571,-0.000410,-0.000068,-0.000013,0.000056,0.000519,0.027167,0.020456,0.022809,0.018867,0.015020,0.012221,0.009138,0.011461
0.001519,0.000717,-0.000346,0.000008,0.000189,0.000047,0.000010,0.000275,0.027233,0.020508,0.023291,0.012213,0.014538,0.017097,0.006810,0.011765
-0.000977,-0.000181,-0.000205,0.000428,-0.000165,0.000074,0.000036,0.000171,0.028395,0.017380,0.020709,0.018482,0.020454,0.016734,0.006900,0.010874
-0.000506,0.000907,0.000028,0.000649,0.000061,0.000257,0.000048,0.000330,0.022349,0.018596,0.015038,0.016129,0.014022,0.014943,0.006889,0.010622
0.005136,0.000683,0.000538,-0.000000,-0.000107,0.000169,0.000021,-0.000507,0.030572,0.016966,0.021261,0.019110,0.016164,0.010110,0.007299,0.010597
-0.000217,-0.000790,-0.000244,0.000078,-0.000193,-0.000111,0.000030,0.000037,0.025607,0.018389,0.015453,0.017422,0.016022,0.017159,0.008005,0.011555
0.006456,-0.000968,-0.000066,-0.000545,-0.000008,-0.000121,0.000002,0.000128,0.026818,0.025270,0.015516,0.018370,0.015064,0.017074,0.005551,0.010279
-0.003309,-0.000257,0.000374,0.000157,-0.000166,0.000111,0.000050,-0.000079,0.024966,0.023911,0.019755,0.014853,0.018851,0.014740,0.007576,0.006623
