1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001628,-0.010360,0.013290,0.000508,-0.001936,-0.013168,-0.027994,-0.006586,0.526905,0.636970,0.638730,0.651571,0.662644,0.666740,0.700626,0.654177
-0.007576,-0.017422,0.005692,-0.009895,-0.005193,-0.024269,-0.030867,-0.006413,0.483287,0.601500,0.604722,0.619567,0.629683,0.641573,0.694032,0.652149
-0.013246,-0.021581,0.006391,-0.023600,-0.006278,-0.029005,-0.033456,-0.004598,0.483616,0.583244,0.585219,0.603461,0.608956,0.625640,0.689288,0.651095
-0.012904,-0.032253,0.000497,-0.037684,-0.009691,-0.035125,-0.035055,-0.003725,0.487513,0.573234,0.574092,0.604725,0.594651,0.614149,0.685619,0.650075
-0.013545,-0.035513,-0.005797,-0.048263,-0.012312,-0.040640,-0.038971,-0.001587,0.499093,0.569217,0.568638,0.606057,0.586212,0.604719,0.683246,0.646636
-0.010776,-0.036680,-0.010282,-0.056629,-0.014211,-0.044019,-0.043477,-0.000412,0.504029,0.565916,0.568413,0.607198,0.579172,0.598021,0.682403,0.642335
-0.009213,-0.038661,-0.012283,-0.059100,-0.016171,-0.049204,-0.046820,-0.000378,0.506838,0.562685,0.564937,0.606219,0.574268,0.592495,0.682137,0.638766
-0.009408,-0.040022,-0.017301,-0.064281,-0.020767,-0.053646,-0.049944,0.001281,0.509693,0.562064,0.565728,0.605975,0.571233,0.588557,0.681940,0.634206
-0.014479,-0.041748,-0.019525,-0.067377,-0.022434,-0.056119,-0.053654,0.002561,0.510166,0.563748,0.564980,0.605659,0.569901,0.585847,0.680983,0.631664
-0.018265,-0.040823,-0.019095,-0.071335,-0.024711,-0.060766,-0.056757,0.003323,0.498981,0.562287,0.562429,0.602389,0.569835,0.584172,0.683205,0.628493
-0.009324,-0.046124,-0.022777,-0.070270,-0.029059,-0.064888,-0.061449,0.005110,0.504881,0.562980,0.563965,0.602218,0.570868,0.583429,0.684164,0.624435
-0.020913,-0.044268,-0.022379,-0.074413,-0.027813,-0.066188,-0.062423,0.004805,0.511061,0.564693,0.562300,0.604998,0.572327,0.582730,0.682866,0.622571
-0.012198,-0.046427,-0.024072,-0.079755,-0.029207,-0.067889,-0.064903,0.006126,0.512632,0.566457,0.562581,0.608627,0.572580,0.581389,0.682395,0.620624
-0.007469,-0.045497,-0.025210,-0.081547,-0.030827,-0.069208,-0.066046,0.006096,0.509648,0.569698,0.561410,0.610788,0.573893,0.582367,0.681204,0.618043
-0.011831,-0.048520,-0.028022,-0.086152,-0.030298,-0.070454,-0.068577,0.005466,0.510087,0.570559,0.560990,0.618822,0.574747,0.582333,0.681736,0.617844
-0.016842,-0.048617,-0.031661,-0.087656,-0.034564,-0.073931,-0.069559,0.006533,0.516432,0.571758,0.561435,0.616888,0.576217,0.582531,0.680261,0.615754
-0.014448,-0.046916,-0.030060,-0.088258,-0.035653,-0.078125,-0.069260,0.008216,0.517014,0.573858,0.561080,0.619175,0.577085,0.583983,0.681170,0.612399
-0.018566,-0.046296,-0.030534,-0.093752,-0.036499,-0.079444,-0.071881,0.008437,0.514240,0.574734,0.559226,0.621916,0.576545,0.585108,0.681879,0.609311
-0.008760,-0.048540,-0.032131,-0.090288,-0.036993,-0.079389,-0.073086,0.008355,0.514697,0.575600,0.558362,0.623976,0.576104,0.586324,0.682728,0.607113
-0.009911,-0.050300,-0.028316,-0.092155,-0.038868,-0.081930,-0.071744,0.010089,0.513506,0.576078,0.558602,0.622661,0.576059,0.587207,0.681423,0.606298
-0.013801,-0.049616,-0.033003,-0.092893,-0.038209,-0.081620,-0.074332,0.010811,0.514351,0.576594,0.560003,0.619795,0.575905,0.588039,0.682975,0.606747
-0.013379,-0.048854,-0.032368,-0.092020,-0.036652,-0.081237,-0.075178,0.009842,0.515786,0.578658,0.561536,0.618088,0.575519,0.589296,0.682443,0.605803
-0.017175,-0.048108,-0.032122,-0.094887,-0.036769,-0.082750,-0.076224,0.010030,0.513860,0.580405,0.560776,0.618026,0.575893,0.589681,0.683410,0.606369
-0.019057,-0.051622,-0.031519,-0.092962,-0.037950,-0.083295,-0.076408,0.011329,0.514070,0.581092,0.558734,0.618708,0.576232,0.591431,0.684383,0.605338
-0.010861,-0.052175,-0.034424,-0.095118,-0.039435,-0.085180,-0.077937,0.013073,0.526402,0.580757,0.559817,0.615952,0.575577,0.592151,0.683471,0.602391
-0.017666,-0.049457,-0.030897,-0.094372,-0.039611,-0.084397,-0.078998,0.012065,0.518672,0.581820,0.560197,0.614296,0.575895,0.593492,0.683470,0.600762
-0.016386,-0.050471,-0.030272,-0.092629,-0.036930,-0.084381,-0.077884,0.012099,0.510809,0.579803,0.559434,0.613048,0.575682,0.593900,0.681876,0.602483
-0.019276,-0.051981,-0.033439,-0.096121,-0.038766,-0.086849,-0.079445,0.012638,0.515616,0.580230,0.560397,0.610420,0.575814,0.595988,0.682412,0.602292
-0.020870,-0.053789,-0.031274,-0.091942,-0.039576,-0.083435,-0.082248,0.012555,0.522045,0.581873,0.560741,0.609786,0.576169,0.593963,0.684074,0.601301
-0.007976,-0.046893,-0.032193,-0.091805,-0.040208,-0.085806,-0.081017,0.013199,0.519252,0.580543,0.559280,0.608239,0.576831,0.594722,0.684525,0.601404
-0.011005,-0.048030,-0.030998,-0.095029,-0.039852,-0.083879,-0.082505,0.013173,0.517600,0.581061,0.558470,0.606899,0.577427,0.594408,0.685278,0.599976
-0.009107,-0.046893,-0.033172,-0.093641,-0.041681,-0.085300,-0.083813,0.014408,0.519736,0.580533,0.558638,0.605742,0.578797,0.595881,0.684658,0.597264
-0.024769,-0.050478,-0.032427,-0.094846,-0.038361,-0.084974,-0.084126,0.014759,0.526825,0.584558,0.557708,0.606659,0.578491,0.596404,0.684076,0.596447
-0.015565,-0.045794,-0.029489,-0.093121,-0.040286,-0.083350,-0.084574,0.014010,0.521552,0.584391,0.559029,0.606129,0.578167,0.595685,0.683884,0.598122
-0.015686,-0.050758,-0.031885,-0.093747,-0.039617,-0.083000,-0.084525,0.014126,0.519304,0.584531,0.558391,0.604769,0.578008,0.595615,0.686790,0.596551
-0.016513,-0.046421,-0.029953,-0.093315,-0.041422,-0.085938,-0.084699,0.014534,0.522541,0.583312,0.558057,0.603669,0.579101,0.597074,0.684070,0.595384
-0.020778,-0.046624,-0.033023,-0.092928,-0.040760,-0.083796,-0.087031,0.014174,0.527233,0.586710,0.557112,0.603684,0.579661,0.597300,0.684093,0.596186
0.002470,-0.045981,-0.029478,-0.092574,-0.041305,-0.083880,-0.086358,0.014132,0.521856,0.587667,0.556903,0.601224,0.580310,0.596251,0.683675,0.596241
-0.012817,-0.048505,-0.031932,-0.094122,-0.041126,-0.084879,-0.087217,0.013910,0.518846,0.585996,0.560287,0.605258,0.581675,0.598491,0.684997,0.595354
-0.007469,-0.050149,-0.030024,-0.093815,-0.041829,-0.084592,-0.086635,0.013746,0.520872,0.586187,0.557303,0.603666,0.580789,0.596323,0.684892,0.594213
-0.014355,-0.039437,-0.029836,-0.090907,-0.040291,-0.084150,-0.086567,0.013666,0.557748,0.591638,0.562211,0.606572,0.583312,0.598532,0.684686,0.596669
-0.012914,-0.035820,-0.029148,-0.089870,-0.038941,-0.083181,-0.086749,0.013692,0.577367,0.594616,0.565880,0.608411,0.585033,0.600387,0.684539,0.598524
-0.014511,-0.033833,-0.029624,-0.088910,-0.037910,-0.082513,-0.086743,0.013385,0.585980,0.596206,0.568882,0.610315,0.586216,0.601882,0.684491,0.599825
-0.015375,-0.032949,-0.029560,-0.086832,-0.036908,-0.081463,-0.086856,0.013202,0.592512,0.598441,0.571771,0.612116,0.587560,0.603291,0.684439,0.601081
-0.014536,-0.031071,-0.029562,-0.086598,-0.035974,-0.081334,-0.087031,0.013741,0.597757,0.599549,0.574462,0.612832,0.588660,0.604172,0.684328,0.601759
-0.014367,-0.031292,-0.029249,-0.086285,-0.035472,-0.080273,-0.087087,0.013265,0.600564,0.600750,0.576329,0.613864,0.589549,0.605191,0.684255,0.602803
-0.015131,-0.030190,-0.029036,-0.086637,-0.035276,-0.079390,-0.087095,0.013308,0.605528,0.602029,0.577904,0.614698,0.590623,0.606168,0.684194,0.603583
-0.016302,-0.031403,-0.029419,-0.084752,-0.034789,-0.078544,-0.087195,0.013086,0.609386,0.603215,0.579506,0.615604,0.591384,0.607163,0.684188,0.604455
-0.014757,-0.032179,-0.028784,-0.084159,-0.034311,-0.078182,-0.087392,0.012685,0.614039,0.604406,0.580643,0.616288,0.592089,0.607918,0.684187,0.605582
-0.017292,-0.030408,-0.028793,-0.084167,-0.033933,-0.077171,-0.087367,0.013227,0.617938,0.604904,0.581953,0.617051,0.592754,0.608851,0.684184,0.606176
-0.013705,-0.031092,-0.028243,-0.083344,-0.033247,-0.077118,-0.087344,0.012696,0.619685,0.605746,0.583131,0.617653,0.593404,0.609467,0.684145,0.606568
-0.014112,-0.028996,-0.028673,-0.082623,-0.033185,-0.076541,-0.087313,0.013322,0.620372,0.606090,0.584375,0.618186,0.594103,0.610226,0.684141,0.607407
-0.012455,-0.030064,-0.027940,-0.082717,-0.032972,-0.076163,-0.087403,0.012992,0.623338,0.606584,0.585482,0.618698,0.594729,0.610907,0.684181,0.608088
-0.012268,-0.028784,-0.027481,-0.081716,-0.032644,-0.074990,-0.087424,0.012968,0.626603,0.606903,0.586593,0.619264,0.595234,0.611724,0.684168,0.609157
-0.012836,-0.028761,-0.028228,-0.081254,-0.032550,-0.074835,-0.087399,0.013009,0.624707,0.607092,0.587418,0.619773,0.595669,0.612308,0.684039,0.609683
-0.014902,-0.029562,-0.028608,-0.080912,-0.031958,-0.075187,-0.087409,0.012622,0.627199,0.607349,0.588162,0.620106,0.596200,0.612610,0.684028,0.610593
-0.013687,-0.028271,-0.027651,-0.080564,-0.032103,-0.074400,-0.087514,0.012711,0.625853,0.607640,0.588818,0.620660,0.596661,0.612979,0.684086,0.610943
-0.013030,-0.027411,-0.028081,-0.080407,-0.031669,-0.074092,-0.087292,0.012247,0.625389,0.607797,0.589489,0.620981,0.597083,0.613720,0.684179,0.611927
-0.015611,-0.027585,-0.027586,-0.079833,-0.031637,-0.073420,-0.087406,0.013292,0.628815,0.608433,0.590060,0.621515,0.597694,0.614052,0.684277,0.611869
-0.013192,-0.026037,-0.027014,-0.079589,-0.030633,-0.073528,-0.087447,0.012212,0.627690,0.608629,0.590662,0.621817,0.598334,0.614306,0.684316,0.612516
-0.012946,-0.025748,-0.026849,-0.078449,-0.030727,-0.072905,-0.087576,0.012460,0.626421,0.608869,0.591556,0.622158,0.598779,0.614708,0.684330,0.613300
-0.014956,-0.026002,-0.027041,-0.078680,-0.030996,-0.072304,-0.087607,0.012133,0.630037,0.608563,0.592007,0.622386,0.599012,0.614985,0.684293,0.613396
-0.015557,-0.026035,-0.026688,-0.078521,-0.031589,-0.071721,-0.087463,0.012519,0.632822,0.608640,0.592736,0.622760,0.599393,0.615409,0.684350,0.614225
-0.015868,-0.026089,-0.026230,-0.077456,-0.031206,-0.071548,-0.087534,0.012520,0.633038,0.608590,0.593340,0.623150,0.599725,0.615583,0.684324,0.614446
-0.011648,-0.025147,-0.026501,-0.077891,-0.030673,-0.071452,-0.087728,0.011984,0.630055,0.608496,0.593774,0.623346,0.600232,0.615801,0.684373,0.615337
-0.014210,-0.025377,-0.026866,-0.077152,-0.030161,-0.071373,-0.087652,0.012543,0.634391,0.609019,0.594193,0.623400,0.600370,0.615834,0.684368,0.615712
-0.016131,-0.026408,-0.026178,-0.076880,-0.029763,-0.071203,-0.087694,0.012462,0.634326,0.609328,0.594859,0.623778,0.600880,0.616243,0.684431,0.615895
-0.015198,-0.025032,-0.026354,-0.076817,-0.029628,-0.070970,-0.087772,0.012543,0.634810,0.609363,0.595281,0.624101,0.601116,0.616482,0.684421,0.616254
-0.016193,-0.026229,-0.026627,-0.076020,-0.029845,-0.070909,-0.087703,0.012512,0.633401,0.609614,0.595523,0.624295,0.601592,0.616602,0.684470,0.617566
-0.013524,-0.025764,-0.026481,-0.075827,-0.029935,-0.070829,-0.087905,0.012370,0.635709,0.609984,0.595837,0.624461,0.601945,0.616888,0.684562,0.617872
-0.014443,-0.024937,-0.026320,-0.074978,-0.029910,-0.070062,-0.087761,0.011924,0.635726,0.610453,0.596291,0.624886,0.602142,0.617231,0.684643,0.618539
-0.014099,-0.025333,-0.026145,-0.075407,-0.029983,-0.069682,-0.087910,0.011593,0.631848,0.610622,0.596594,0.625136,0.602391,0.617420,0.684766,0.618719
-0.014519,-0.024227,-0.026044,-0.075185,-0.029620,-0.069024,-0.087910,0.012191,0.634158,0.610048,0.596424,0.625330,0.602684,0.617653,0.684806,0.618030
-0.015673,-0.024419,-0.025591,-0.075188,-0.029635,-0.069132,-0.087934,0.011870,0.634158,0.610156,0.596976,0.625580,0.603005,0.617916,0.684905,0.619135
-0.012591,-0.023661,-0.026268,-0.075439,-0.029748,-0.069227,-0.087816,0.011592,0.634852,0.610447,0.597388,0.625798,0.603347,0.618064,0.684890,0.619402
-0.014308,-0.023037,-0.026148,-0.075227,-0.029317,-0.068877,-0.087800,0.011398,0.634150,0.610805,0.597767,0.626034,0.603933,0.618092,0.684847,0.619270
-0.015996,-0.022121,-0.026110,-0.074974,-0.029237,-0.068758,-0.087826,0.011267,0.631132,0.611112,0.598177,0.626310,0.604162,0.618221,0.684841,0.619704
-0.014557,-0.023303,-0.026123,-0.074497,-0.029686,-0.068952,-0.087612,0.011732,0.630913,0.610967,0.598353,0.626676,0.604390,0.618538,0.684956,0.619702
