L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4759,0.0284011,1.24118,1.82039,83.0918,0.000523775,13.6453,6.86464,47.9041,0.00119202,0.710464,1.34162,7.04801,5.12801e-06,2.14012,1.27938,20.2659,2.69562
46.2543,31.3907,66.4756,0.0281576,1.2455,1.82697,83.0915,0.000522469,13.6453,6.86464,47.9038,0.000948497,0.714787,1.3482,7.04768,4.36966e-06,2.13986,1.27938,20.2423,2.69564
46.2543,31.3907,66.4759,0.0282237,1.252,1.83045,83.0948,0.000522549,13.6453,6.86464,47.9041,0.00101462,0.721289,1.35168,7.05101,4.53955e-06,2.13953,1.27938,20.2128,2.69563
46.2543,31.3907,66.4769,0.0283156,1.26894,1.83619,83.1017,0.000522585,13.6453,6.86464,47.9051,0.00110653,0.738233,1.35742,7.05788,4.83963e-06,2.1388,1.27937,20.1475,2.69559
46.2543,31.3907,66.4765,0.0283639,1.26181,1.83409,83.0945,0.000522518,13.6453,6.86464,47.9046,0.00115479,0.731103,1.35531,7.0507,5.11973e-06,2.13921,1.27937,20.1837,2.6956
46.2543,31.3907,66.477,0.0283917,1.27033,1.83648,83.0997,0.000523472,13.6453,6.86464,47.9051,0.00118263,0.739616,1.35771,7.05592,5.1545e-06,2.13881,1.27937,20.1482,2.69558
46.2543,31.3907,66.4771,0.0283438,1.27045,1.83759,83.0998,0.000522721,13.6453,6.86464,47.9052,0.00113466,0.739734,1.35881,7.05599,4.99921e-06,2.13877,1.27937,20.1453,2.69558
46.2543,31.3907,66.4767,0.028397,1.26843,1.83729,83.0969,0.000523236,13.6453,6.86464,47.9048,0.00118787,0.737716,1.35852,7.05314,5.18565e-06,2.1389,1.27937,20.1567,2.69559
46.2543,31.3907,66.477,0.0283858,1.27461,1.83974,83.1015,0.000523562,13.6453,6.86464,47.9052,0.00117668,0.7439,1.36097,7.05771,5.15049e-06,2.13857,1.27937,20.1276,2.69558
46.2543,31.3907,66.4771,0.0283932,1.27496,1.84064,83.0998,0.000523629,13.6453,6.86464,47.9053,0.0011841,0.74425,1.36187,7.056,5.25454e-06,2.13859,1.27937,20.1287,2.69558
46.2543,31.3907,66.4773,0.0283202,1.27684,1.83977,83.1021,0.000521871,13.6453,6.86464,47.9055,0.00111109,0.74613,1.361,7.05825,4.85982e-06,2.1385,1.27937,20.1215,2.69557
46.2543,31.3907,66.4777,0.028377,1.28294,1.84092,83.105,0.000523041,13.6453,6.86464,47.9058,0.0011679,0.752231,1.36215,7.06122,5.19623e-06,2.13825,1.27936,20.0991,2.69555
46.2543,31.3907,66.4776,0.0283637,1.28238,1.8411,83.1021,0.000523082,13.6453,6.86464,47.9058,0.00115464,0.751673,1.36232,7.05826,5.07055e-06,2.13833,1.27936,20.1064,2.69556
46.2543,31.3907,66.4779,0.0283733,1.28766,1.84221,83.1049,0.000523292,13.6453,6.86464,47.9061,0.00116422,0.756945,1.36344,7.06106,5.10593e-06,2.13811,1.27936,20.0863,2.69554
46.2543,31.3907,66.4775,0.0283976,1.28093,1.84162,83.1021,0.000523538,13.6453,6.86464,47.9057,0.00118854,0.750218,1.36285,7.05826,5.24989e-06,2.13836,1.27936,20.1085,2.69556
46.2543,31.3907,66.4772,0.0283932,1.27594,1.83934,83.1021,0.000522861,13.6453,6.86464,47.9054,0.0011841,0.745224,1.36057,7.05825,5.21895e-06,2.13854,1.27937,20.1244,2.69557
46.2543,31.3907,66.4775,0.0283678,1.28145,1.84089,83.1019,0.000522753,13.6453,6.86464,47.9056,0.00115873,0.750739,1.36212,7.05808,5.1074e-06,2.13837,1.27936,20.1093,2.69556
46.2543,31.3907,66.4775,0.0283616,1.27802,1.83921,83.1021,0.000522996,13.6453,6.86464,47.9056,0.0011525,0.747311,1.36044,7.05826,5.06767e-06,2.13849,1.27936,20.1201,2.69556
46.2543,31.3907,66.4772,0.0283334,1.27547,1.83929,83.1021,0.000523157,13.6453,6.86464,47.9054,0.00112428,0.744759,1.36052,7.05825,4.93744e-06,2.13855,1.27937,20.1256,2.69557
46.2543,31.3907,66.4776,0.0283738,1.2803,1.83988,83.1021,0.000523325,13.6453,6.86464,47.9057,0.00116468,0.74959,1.3611,7.05826,5.13658e-06,2.13842,1.27936,20.1137,2.69556
46.2543,31.3907,66.4777,0.0283738,1.28296,1.84074,83.1039,0.000523412,13.6453,6.86464,47.9059,0.00116469,0.752247,1.36197,7.06005,5.12818e-06,2.13828,1.27936,20.102,2.69555
46.2543,31.3907,66.4776,0.0284292,1.28146,1.84067,83.1011,0.000523669,13.6453,6.86464,47.9057,0.00122007,0.750749,1.3619,7.05726,5.29999e-06,2.13839,1.27936,20.1116,2.69556
46.2543,31.3907,66.4778,0.0283066,1.2852,1.84233,83.1026,0.000522923,13.6453,6.86464,47.906,0.00109752,0.75449,1.36356,7.0588,4.83666e-06,2.13822,1.27936,20.0964,2.69555
46.2543,31.3907,66.4776,0.0283463,1.28029,1.83944,83.1022,0.000522968,13.6453,6.86464,47.9057,0.00113715,0.749577,1.36067,7.05844,5.02524e-06,2.13842,1.27936,20.1143,2.69556
46.2543,31.3907,66.4776,0.0282967,1.28063,1.84005,83.1022,0.000523072,13.6453,6.86464,47.9058,0.00108757,0.749921,1.36128,7.05844,4.78007e-06,2.1384,1.27936,20.1122,2.69556
46.2543,31.3907,66.4777,0.0283129,1.28045,1.83986,83.1031,0.000523083,13.6453,6.86464,47.9058,0.00110384,0.749734,1.36109,7.05933,4.84994e-06,2.13839,1.27936,20.111,2.69556
46.2543,31.3907,66.4777,0.0283533,1.28182,1.84068,83.1022,0.000523682,13.6453,6.86464,47.9058,0.00114422,0.751113,1.3619,7.05844,5.01828e-06,2.13835,1.27936,20.1082,2.69555
46.2543,31.3907,66.4776,0.0282718,1.28115,1.84084,83.1022,0.000522262,13.6453,6.86464,47.9058,0.00106268,0.750436,1.36206,7.05844,4.66327e-06,2.13837,1.27936,20.1093,2.69556
46.2543,31.3907,66.4778,0.0283289,1.28284,1.83959,83.1024,0.000523048,13.6453,6.86464,47.906,0.00111979,0.752129,1.36082,7.05862,4.91946e-06,2.13835,1.27936,20.1079,2.69555
46.2543,31.3907,66.4777,0.0283486,1.27987,1.83937,83.1004,0.000523047,13.6453,6.86464,47.9058,0.00113946,0.749155,1.3606,7.05655,4.979e-06,2.13848,1.27936,20.1195,2.69555
46.2543,31.3907,66.4779,0.0283581,1.28244,1.83981,83.1004,0.000523463,13.6453,6.86464,47.9061,0.00114903,0.751726,1.36103,7.05655,5.05691e-06,2.13841,1.27936,20.1129,2.69554
46.2543,31.3907,66.4777,0.0283409,1.27924,1.83924,83.1004,0.000522948,13.6453,6.86464,47.9058,0.00113182,0.74853,1.36047,7.05654,5.02974e-06,2.1385,1.27936,20.1212,2.69555
46.2543,31.3907,66.4777,0.0283543,1.28194,1.84118,83.1019,0.000523976,13.6453,6.86464,47.9058,0.00114515,0.751234,1.36241,7.05808,5.05566e-06,2.13835,1.27936,20.1076,2.69555
46.2543,31.3907,66.4777,0.0283558,1.27989,1.83936,83.1005,0.000523384,13.6453,6.86464,47.9059,0.00114668,0.74918,1.36059,7.05672,5.06158e-06,2.13848,1.27936,20.1191,2.69555
46.2543,31.3907,66.4775,0.0283267,1.278,1.83882,83.0995,0.000523163,13.6453,6.86464,47.9057,0.00111761,0.74729,1.36005,7.05565,4.87822e-06,2.13856,1.27936,20.1268,2.69556
46.2543,31.3907,66.4776,0.0284437,1.27889,1.83913,83.0995,0.000524086,13.6453,6.86464,47.9058,0.00123457,0.748177,1.36036,7.05565,5.39859e-06,2.13853,1.27936,20.1241,2.69555
46.2543,31.3907,66.4782,0.0283201,1.28753,1.84127,83.1026,0.000523204,13.6453,6.86464,47.9063,0.00111101,0.756817,1.36249,7.05881,4.88603e-06,2.13819,1.27936,20.0936,2.69554
46.2543,31.3907,66.4775,0.0283115,1.27587,1.83806,83.1003,0.000523782,13.6453,6.86464,47.9056,0.00110241,0.745162,1.35929,7.05654,4.89658e-06,2.13861,1.27936,20.1312,2.69556
