epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,83.099258,27.650000
1.000000,82.185410,29.500000
2.000000,82.155144,28.750000
3.000000,81.988220,31.469999
4.000000,86.094513,26.260000
5.000000,83.789551,26.010000
6.000000,83.818893,25.799999
7.000000,83.971275,26.230000
8.000000,83.084267,27.820000
9.000000,81.665604,31.020000
10.000000,83.293503,27.879999
11.000000,84.871300,25.700001
12.000000,82.306511,31.459999
13.000000,82.905815,28.020000
14.000000,82.142303,29.070000
15.000000,82.359627,29.469999
16.000000,82.541725,31.129999
17.000000,82.980484,28.410000
18.000000,83.248985,26.250000
19.000000,83.290817,26.440001
20.000000,82.854187,25.850000
21.000000,82.631393,27.490000
22.000000,82.955788,24.520000
23.000000,82.795395,25.400000
24.000000,82.957748,28.490000
25.000000,82.806076,28.290001
26.000000,83.211304,27.549999
27.000000,82.621773,28.809999
28.000000,83.033615,28.660000
29.000000,83.223946,25.790001
30.000000,83.319725,26.620001
31.000000,83.034950,29.370001
32.000000,85.071785,21.309999
33.000000,84.016327,24.510000
34.000000,82.503571,30.059999
35.000000,82.287674,30.219999
36.000000,84.222916,21.719999
37.000000,82.495605,28.610001
38.000000,82.652100,30.200001
39.000000,83.259819,26.160000
40.000000,90.381874,14.510000
41.000000,90.753395,10.000000
42.000000,90.597168,10.000000
43.000000,90.521645,10.000000
44.000000,90.346909,10.920000
45.000000,90.626808,10.000000
46.000000,90.784882,10.000000
47.000000,90.925835,10.000000
48.000000,90.612976,10.000000
49.000000,90.939140,10.000000
50.000000,90.857277,10.000000
51.000000,90.898438,10.000000
52.000000,90.732079,10.000000
53.000000,90.822090,10.000000
epoch,average loss,accuracy
0.000000,78.256409,34.580002
1.000000,70.992928,42.810001
2.000000,70.063492,43.970001
3.000000,68.427643,46.950001
4.000000,65.026024,50.560001
5.000000,63.552406,52.369999
6.000000,63.523602,51.759998
7.000000,66.252922,49.180000
8.000000,61.717331,53.080002
9.000000,62.296478,51.209999
10.000000,59.063625,55.860001
11.000000,60.523663,54.770000
12.000000,57.092758,58.590000
13.000000,57.571793,57.750000
14.000000,57.794678,57.040001
15.000000,60.829369,53.750000
16.000000,56.821114,57.279999
17.000000,61.781643,51.830002
18.000000,56.535568,58.349998
19.000000,53.071419,62.090000
20.000000,55.933319,59.700001
21.000000,56.405056,61.209999
22.000000,51.756962,63.619999
23.000000,55.630531,59.110001
24.000000,51.925457,64.709999
25.000000,53.611946,61.000000
26.000000,52.535248,63.150002
27.000000,50.984184,64.889999
28.000000,53.966019,61.389999
29.000000,51.489517,64.320000
30.000000,55.268536,59.580002
31.000000,53.489056,62.270000
32.000000,52.073368,63.279999
33.000000,54.358067,61.570000
34.000000,51.764606,64.709999
35.000000,51.259624,64.379997
36.000000,53.201660,61.980000
37.000000,57.346771,58.049999
38.000000,52.679245,63.029999
39.000000,52.203037,63.049999
40.000000,50.549568,67.949997
41.000000,56.061123,65.820000
42.000000,63.132191,60.889999
43.000000,72.049141,56.189999
44.000000,79.503120,46.279999
45.000000,83.599220,30.480000
46.000000,84.536232,30.469999
47.000000,85.430763,28.520000
48.000000,85.591583,26.240000
49.000000,86.237381,25.910000
50.000000,87.056709,22.280001
51.000000,87.453278,18.750000
52.000000,87.774582,20.620001
53.000000,88.142387,17.740000
54.000000,88.290581,14.910000
55.000000,88.321457,16.590000
56.000000,88.547066,16.809999
57.000000,88.387039,18.900000
58.000000,88.887955,17.070000
59.000000,88.896393,18.620001
60.000000,88.840141,18.290001
61.000000,88.788452,18.170000
62.000000,88.994080,15.670000
63.000000,89.060074,14.650000
64.000000,88.876167,18.370001
65.000000,88.915756,16.360001
66.000000,88.926865,16.299999
67.000000,88.740662,14.700000
68.000000,88.555466,18.740000
69.000000,88.157608,16.780001
70.000000,88.307579,17.209999
71.000000,88.507637,16.930000
72.000000,88.530800,17.730000
73.000000,88.549927,17.280001
74.000000,88.605438,15.480000
75.000000,88.612740,15.030000
76.000000,88.550240,17.570000
77.000000,88.670967,18.870001
78.000000,88.635780,15.610000
79.000000,88.310143,18.680000
80.000000,99.101791,16.540001
81.000000,99.990150,10.080000
