1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001772,-0.000938,-0.000117,-0.000035,-0.000022,-0.000065,-0.000047,-0.000409,0.020265,0.008487,0.003021,0.001617,0.001711,0.002708,0.002541,0.008346
0.003291,0.000471,0.000043,0.000030,-0.000004,0.000006,-0.000029,-0.000006,0.018914,0.009724,0.004576,0.001803,0.001614,0.002590,0.002707,0.005420
0.005733,0.000656,0.000051,0.000066,-0.000003,0.000019,-0.000009,-0.000140,0.026560,0.008589,0.003473,0.002275,0.001265,0.002682,0.002028,0.006622
0.002532,-0.000498,-0.000063,-0.000005,-0.000024,-0.000038,-0.000052,-0.000122,0.026653,0.009694,0.003062,0.001451,0.001637,0.002485,0.002438,0.007149
-0.002170,-0.000358,0.000012,-0.000039,0.000008,-0.000092,-0.000017,0.000415,0.027846,0.007343,0.003972,0.002225,0.001722,0.002846,0.002148,0.008681
-0.001483,-0.001291,-0.000068,-0.000054,-0.000007,-0.000073,-0.000017,0.000000,0.024664,0.009432,0.003174,0.001956,0.001380,0.002758,0.002016,0.004622
-0.004937,-0.000590,0.000064,-0.000005,0.000021,-0.000035,-0.000018,0.000037,0.026378,0.010804,0.004122,0.002057,0.001977,0.003058,0.002124,0.005728
0.005371,0.000610,0.000042,0.000076,0.000011,0.000078,-0.000003,0.000140,0.031497,0.007885,0.002728,0.002505,0.001303,0.002759,0.002171,0.005054
0.000543,0.000613,0.000024,0.000050,0.000004,0.000093,0.000002,-0.000073,0.027600,0.006619,0.002898,0.001855,0.001707,0.002689,0.001604,0.007256
0.003635,0.000448,-0.000012,0.000041,0.000004,0.000085,-0.000006,0.000055,0.026632,0.005511,0.002793,0.001745,0.001578,0.002885,0.001851,0.005956
-0.004105,-0.000828,-0.000007,-0.000040,-0.000002,-0.000119,-0.000027,-0.000079,0.024893,0.009128,0.002535,0.001816,0.001958,0.003274,0.001897,0.004050
0.001121,-0.000299,0.000037,-0.000042,0.000000,-0.000082,-0.000007,-0.000061,0.030166,0.007462,0.002728,0.002024,0.001672,0.003028,0.001929,0.004784
-0.001808,-0.000588,0.000018,-0.000039,-0.000006,-0.000074,-0.000015,-0.000055,0.022931,0.007444,0.002697,0.001582,0.001636,0.002482,0.001482,0.004580
0.000434,0.000802,0.000003,0.000039,0.000010,0.000033,-0.000027,-0.000146,0.026301,0.008054,0.001980,0.001739,0.001747,0.003156,0.001772,0.004620
-0.001103,0.000539,0.000003,0.000053,0.000009,0.000040,-0.000013,-0.000079,0.028010,0.006208,0.002103,0.001844,0.001752,0.002805,0.002086,0.007015
-0.003020,-0.000651,-0.000040,-0.000043,-0.000033,-0.000127,-0.000026,-0.000208,0.022277,0.007053,0.002347,0.001655,0.001517,0.003310,0.002131,0.004618
0.006094,0.000400,-0.000021,0.000008,-0.000010,0.000061,-0.000016,-0.000122,0.027771,0.007010,0.002560,0.001617,0.002069,0.003309,0.001969,0.004452
-0.007342,-0.000193,0.000039,-0.000020,0.000012,-0.000046,-0.000007,-0.000031,0.027157,0.007267,0.002272,0.002005,0.001914,0.002076,0.001761,0.004411
0.003689,0.000493,-0.000008,0.000026,0.000001,0.000021,-0.000028,-0.000073,0.027440,0.006199,0.002514,0.002076,0.002006,0.002249,0.001822,0.006051
0.002423,0.000413,-0.000033,0.000010,-0.000024,-0.000004,-0.000027,-0.000037,0.028980,0.006524,0.002327,0.001509,0.001975,0.002624,0.001942,0.004704
0.001320,0.000437,-0.000011,0.000032,-0.000009,0.000114,-0.000020,-0.000012,0.026120,0.005649,0.002181,0.001755,0.002278,0.003744,0.001723,0.004941
-0.001302,0.000635,0.000026,0.000050,0.000031,0.000100,-0.000003,-0.000018,0.026657,0.007196,0.002033,0.001826,0.001992,0.003490,0.001493,0.004903
-0.005172,-0.000487,-0.000020,-0.000011,-0.000004,-0.000035,-0.000010,0.000037,0.025349,0.008756,0.001990,0.001315,0.001700,0.002901,0.001319,0.005313
-0.001863,0.000729,0.000025,0.000032,0.000023,0.000042,-0.000013,-0.000079,0.031505,0.007508,0.001753,0.001660,0.001882,0.003201,0.001414,0.004234
-0.003020,-0.000639,0.000004,-0.000030,-0.000002,-0.000090,-0.000017,-0.000085,0.021919,0.007101,0.001997,0.001716,0.001758,0.003199,0.001394,0.003906
0.000199,0.000206,-0.000026,0.000015,-0.000016,0.000025,-0.000012,-0.000079,0.029216,0.006749,0.001749,0.001391,0.001393,0.002685,0.001593,0.004496
0.001537,0.001099,0.000002,0.000030,-0.000002,0.000184,-0.000006,0.000031,0.026750,0.008883,0.001742,0.001500,0.001784,0.004211,0.001508,0.005420
-0.006727,-0.000572,0.000008,-0.000033,-0.000023,-0.000031,-0.000005,-0.000244,0.029158,0.006916,0.001990,0.001554,0.002221,0.002815,0.001293,0.005088
0.008011,0.000013,-0.000007,0.000001,-0.000025,-0.000085,-0.000034,0.000018,0.030378,0.007738,0.001695,0.001359,0.001508,0.002979,0.001772,0.003757
0.000416,0.000459,0.000026,0.000014,0.000039,0.000026,-0.000008,-0.000085,0.019457,0.007512,0.001574,0.001362,0.002105,0.002891,0.001392,0.005017
-0.004593,-0.000636,0.000006,-0.000016,0.000017,-0.000081,-0.000022,-0.000122,0.022888,0.008217,0.001929,0.001550,0.002034,0.003601,0.001630,0.005660
