1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.096372,-0.137632,-0.172804,-0.175436,-0.175293,-0.170889,-0.173675,-0.144183,0.543308,0.559290,0.558329,0.557992,0.558616,0.559461,0.561043,0.567245
-0.099121,-0.196610,-0.232810,-0.235684,-0.236405,-0.231615,-0.234159,-0.207916,0.538423,0.550415,0.545355,0.545107,0.545204,0.546722,0.547616,0.551679
-0.084961,-0.221351,-0.259513,-0.262579,-0.262575,-0.258506,-0.259818,-0.243115,0.517433,0.546230,0.539496,0.539092,0.539650,0.540915,0.541911,0.546677
-0.101888,-0.231241,-0.270213,-0.273201,-0.274285,-0.270235,-0.271083,-0.259399,0.535597,0.546670,0.536494,0.536373,0.536732,0.537883,0.538788,0.543176
-0.104492,-0.236485,-0.276640,-0.278548,-0.279434,-0.275695,-0.276629,-0.264429,0.522259,0.545152,0.535830,0.535334,0.534992,0.536323,0.537106,0.537121
-0.105595,-0.242790,-0.278307,-0.281022,-0.280929,-0.278324,-0.279207,-0.262909,0.524128,0.542255,0.535437,0.535000,0.534759,0.536273,0.536109,0.544236
-0.101092,-0.245445,-0.279108,-0.283183,-0.282466,-0.280121,-0.280666,-0.259290,0.528515,0.541344,0.534709,0.534172,0.533850,0.535127,0.535681,0.540986
-0.095287,-0.245339,-0.281080,-0.282852,-0.283123,-0.280336,-0.281165,-0.266351,0.528322,0.542845,0.534556,0.533650,0.533797,0.535293,0.535462,0.543276
-0.084871,-0.254392,-0.280168,-0.283351,-0.282139,-0.279646,-0.281763,-0.257422,0.533849,0.540088,0.535116,0.533679,0.534398,0.535937,0.535174,0.542893
-0.077727,-0.256478,-0.278876,-0.283347,-0.282501,-0.280207,-0.281769,-0.268500,0.532805,0.540453,0.535677,0.533942,0.533995,0.535396,0.535167,0.548892
-0.077673,-0.256111,-0.279161,-0.284615,-0.283470,-0.279925,-0.281559,-0.270764,0.528073,0.540139,0.535312,0.533144,0.533457,0.535521,0.535387,0.540982
-0.074743,-0.256591,-0.280345,-0.284050,-0.283094,-0.279897,-0.282056,-0.260150,0.527899,0.540025,0.534730,0.533455,0.534006,0.535928,0.535010,0.542423
-0.095848,-0.257397,-0.280294,-0.283684,-0.283300,-0.280626,-0.282227,-0.276532,0.518300,0.538651,0.535338,0.533483,0.534182,0.535293,0.535105,0.539407
-0.062156,-0.259886,-0.283374,-0.283292,-0.283656,-0.279505,-0.281785,-0.276343,0.529766,0.539224,0.533449,0.534352,0.533818,0.536690,0.535471,0.539866
-0.089808,-0.259817,-0.283774,-0.282379,-0.283731,-0.280060,-0.281779,-0.273578,0.526966,0.541181,0.533564,0.533769,0.533711,0.535733,0.535303,0.538770
-0.089012,-0.258973,-0.283035,-0.283354,-0.283468,-0.279591,-0.281733,-0.264270,0.528444,0.540193,0.534354,0.533492,0.534231,0.536094,0.534949,0.543605
-0.085106,-0.261364,-0.282243,-0.283839,-0.283310,-0.279954,-0.281999,-0.262488,0.529733,0.539682,0.534395,0.533481,0.533880,0.536236,0.535270,0.542891
-0.078866,-0.261640,-0.282333,-0.284913,-0.283634,-0.280119,-0.282095,-0.262689,0.527935,0.538307,0.533903,0.533458,0.533390,0.536518,0.535070,0.543295
-0.088903,-0.261549,-0.283191,-0.284283,-0.284140,-0.279992,-0.281740,-0.267487,0.530050,0.538287,0.533962,0.533490,0.533394,0.535794,0.535330,0.542952
-0.082646,-0.262739,-0.283836,-0.284089,-0.283290,-0.279865,-0.281912,-0.269299,0.523983,0.539013,0.533315,0.533654,0.533623,0.535648,0.534947,0.542197
-0.075141,-0.263465,-0.282110,-0.283813,-0.284080,-0.280028,-0.282367,-0.271924,0.532330,0.538060,0.534150,0.533499,0.533190,0.535235,0.535119,0.542382
-0.069481,-0.261470,-0.282503,-0.283216,-0.282569,-0.279796,-0.282756,-0.270630,0.537348,0.538982,0.534231,0.533772,0.534065,0.535714,0.534934,0.537783
-0.073803,-0.261181,-0.282288,-0.283689,-0.283382,-0.279738,-0.282489,-0.278961,0.537199,0.539352,0.533675,0.533771,0.534078,0.535979,0.534998,0.537707
-0.075448,-0.263791,-0.281455,-0.283344,-0.283196,-0.279415,-0.282434,-0.275842,0.528893,0.539365,0.534267,0.533752,0.534015,0.536300,0.534949,0.538592
-0.077745,-0.259399,-0.284334,-0.283910,-0.283397,-0.280229,-0.282643,-0.275299,0.530214,0.540003,0.533684,0.533449,0.533968,0.535838,0.534705,0.540522
-0.090621,-0.261901,-0.282493,-0.284113,-0.283332,-0.279962,-0.282554,-0.278839,0.536354,0.539556,0.534495,0.533641,0.534034,0.535600,0.534810,0.534147
-0.076877,-0.262563,-0.282967,-0.284005,-0.283545,-0.279898,-0.282350,-0.270007,0.528207,0.538045,0.534073,0.533385,0.533626,0.535444,0.534941,0.539490
-0.076027,-0.262862,-0.284770,-0.283907,-0.282961,-0.280074,-0.282343,-0.276440,0.532740,0.538493,0.533380,0.533670,0.533903,0.536300,0.535022,0.539628
-0.088777,-0.261012,-0.282989,-0.283014,-0.283222,-0.278927,-0.281885,-0.277350,0.543631,0.538680,0.533553,0.533561,0.533762,0.536501,0.535217,0.543172
-0.088035,-0.261140,-0.282047,-0.283399,-0.282567,-0.279086,-0.281772,-0.269550,0.537198,0.538360,0.534161,0.533457,0.534204,0.536525,0.535403,0.543385
-0.078975,-0.261912,-0.282911,-0.283040,-0.282905,-0.278428,-0.282113,-0.270502,0.527031,0.539280,0.533371,0.533881,0.533783,0.536848,0.535045,0.544884
-0.096951,-0.262679,-0.282395,-0.282872,-0.282543,-0.278664,-0.282200,-0.266834,0.522522,0.539562,0.534234,0.533838,0.533950,0.536677,0.534962,0.539375
-0.069607,-0.260832,-0.283170,-0.283341,-0.282528,-0.279118,-0.282114,-0.274042,0.526333,0.539057,0.533300,0.533956,0.534542,0.536223,0.534818,0.540488
-0.066008,-0.260626,-0.284408,-0.283365,-0.282331,-0.279615,-0.282679,-0.267340,0.523989,0.539362,0.533382,0.533099,0.534493,0.535976,0.534788,0.542360
-0.074183,-0.261562,-0.284943,-0.284417,-0.281952,-0.279257,-0.282434,-0.276117,0.533704,0.539465,0.532767,0.533109,0.534302,0.536453,0.535078,0.536284
-0.076461,-0.262183,-0.284184,-0.284105,-0.282272,-0.278655,-0.282608,-0.274957,0.535411,0.540509,0.533423,0.533720,0.534276,0.536696,0.534810,0.538431
-0.071181,-0.261393,-0.282826,-0.283603,-0.281705,-0.278956,-0.282074,-0.265533,0.524665,0.538898,0.534223,0.533855,0.534597,0.536175,0.535288,0.541801
-0.080331,-0.263974,-0.283360,-0.283581,-0.281469,-0.278730,-0.282223,-0.268774,0.533099,0.537759,0.533078,0.533579,0.535049,0.536384,0.535200,0.540875
-0.095938,-0.263243,-0.284101,-0.284590,-0.280794,-0.279604,-0.282321,-0.276477,0.530982,0.538708,0.533121,0.533302,0.534970,0.535848,0.534772,0.539261
-0.090875,-0.263215,-0.284795,-0.283577,-0.281360,-0.279192,-0.282399,-0.276984,0.523799,0.537086,0.533416,0.533306,0.534505,0.536058,0.534810,0.538235
-0.163411,-0.263567,-0.285094,-0.283874,-0.281446,-0.280472,-0.283329,-0.282520,0.566032,0.539948,0.533082,0.534195,0.534642,0.535098,0.533882,0.536176
-0.185022,-0.265320,-0.286236,-0.284376,-0.282766,-0.281636,-0.283857,-0.281067,0.571050,0.541254,0.533138,0.533256,0.533968,0.534575,0.533570,0.536913
-0.226255,-0.263214,-0.283954,-0.283092,-0.282990,-0.282367,-0.284232,-0.284387,0.557295,0.541382,0.533764,0.533898,0.533901,0.534289,0.533439,0.531628
-0.231916,-0.263763,-0.283066,-0.283719,-0.282813,-0.282531,-0.284374,-0.280225,0.553285,0.540953,0.534283,0.533284,0.534397,0.534280,0.533599,0.538453
-0.232368,-0.266143,-0.284842,-0.284793,-0.283080,-0.283241,-0.284526,-0.280634,0.550319,0.539044,0.532855,0.533598,0.534396,0.533911,0.533543,0.537088
-0.236654,-0.266241,-0.283414,-0.284290,-0.283623,-0.283112,-0.284590,-0.288135,0.551053,0.540688,0.533621,0.533609,0.533797,0.534014,0.533371,0.533141
-0.245063,-0.263330,-0.284679,-0.284108,-0.284450,-0.283801,-0.284485,-0.285303,0.550849,0.541550,0.533389,0.533975,0.533657,0.533895,0.533251,0.536726
-0.245027,-0.263419,-0.285026,-0.283851,-0.284151,-0.283453,-0.284748,-0.279474,0.555657,0.539859,0.533178,0.533552,0.533788,0.533939,0.533136,0.532508
-0.251194,-0.264929,-0.284417,-0.284499,-0.282704,-0.283383,-0.284552,-0.281427,0.552053,0.539604,0.533053,0.533588,0.534262,0.533845,0.533207,0.538045
-0.256330,-0.263961,-0.282544,-0.285041,-0.283638,-0.283544,-0.284434,-0.277234,0.553415,0.539984,0.534139,0.533193,0.533887,0.533852,0.533426,0.533918
-0.260670,-0.264144,-0.281727,-0.284514,-0.283406,-0.283464,-0.284551,-0.284070,0.557132,0.540975,0.534762,0.533422,0.534082,0.533912,0.533466,0.530766
-0.255859,-0.265276,-0.282421,-0.283972,-0.283386,-0.283562,-0.284605,-0.277588,0.543630,0.540548,0.533870,0.533527,0.534165,0.533958,0.533434,0.541767
-0.251212,-0.264744,-0.283964,-0.283964,-0.283839,-0.284164,-0.284631,-0.278314,0.554133,0.540202,0.533202,0.533024,0.533614,0.533713,0.533253,0.542555
-0.246709,-0.263565,-0.285426,-0.284496,-0.283232,-0.284591,-0.284436,-0.284924,0.549016,0.540591,0.532242,0.533234,0.534352,0.533954,0.533278,0.533746
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.018971,-0.079073,-0.096527,-0.081629,-0.084902,-0.091942,-0.100794,-0.070648,0.520916,0.618603,0.632472,0.627907,0.630872,0.632066,0.637672,0.616325
-0.030237,-0.126671,-0.149659,-0.128784,-0.136599,-0.145111,-0.156306,-0.121747,0.504441,0.595309,0.607185,0.608614,0.606821,0.607324,0.612742,0.599828
-0.025463,-0.167180,-0.193627,-0.167026,-0.176154,-0.187169,-0.200248,-0.166010,0.495667,0.582241,0.590835,0.597405,0.593406,0.591914,0.596524,0.589967
-0.026494,-0.198595,-0.230210,-0.199746,-0.210313,-0.222911,-0.237570,-0.205029,0.493128,0.575376,0.579453,0.593050,0.583050,0.581400,0.584525,0.582367
-0.025029,-0.228205,-0.262707,-0.230785,-0.240872,-0.252804,-0.270468,-0.239563,0.495258,0.569891,0.570651,0.588285,0.575140,0.572974,0.575146,0.573179
-0.030707,-0.255425,-0.291410,-0.254964,-0.266299,-0.280029,-0.299626,-0.263580,0.497067,0.564913,0.563050,0.587987,0.569829,0.565754,0.566763,0.576938
-0.024577,-0.278795,-0.317668,-0.282334,-0.289272,-0.304479,-0.325864,-0.285577,0.500864,0.560958,0.556504,0.580753,0.565275,0.559393,0.559700,0.579240
