L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
61.5099,48.2699,55.2098,0.104901,3.45323,3.44924,82.6756,0.00794521,2.93703,6.0954,33.0125,0.038027,2.06923,2.14286,6.6318,0.00344171,2.05269,1.11707,17.0015,4.38233
61.5099,48.2699,55.2099,0.111038,3.48824,3.48756,82.6796,0.00947443,2.93703,6.0954,33.0126,0.0441638,2.10424,2.18118,6.63581,0.00420176,2.05089,1.11702,16.88,4.38168
61.5099,48.2699,55.21,0.106983,3.4989,3.50365,82.6812,0.00822113,2.93703,6.0954,33.0127,0.0401089,2.1149,2.19727,6.63742,0.00364071,2.05027,1.11705,16.8372,4.3821
61.5099,48.2699,55.21,0.121593,3.49723,3.51292,82.6799,0.01106,2.93703,6.0954,33.0126,0.0547186,2.11323,2.20654,6.63613,0.00545842,2.05007,1.11695,16.8247,4.38058
61.5099,48.2699,55.2097,0.122226,3.48703,3.51041,82.6761,0.0114667,2.93703,6.0954,33.0124,0.0553518,2.10303,2.20403,6.63228,0.00571016,2.05043,1.11695,16.8498,4.38054
61.5099,48.2699,55.2094,0.115321,3.47732,3.51172,82.6731,0.0107268,2.93703,6.0954,33.0121,0.0484474,2.09333,2.20534,6.62928,0.00476406,2.05071,1.117,16.8688,4.38129
61.5099,48.2699,55.2095,0.127219,3.47697,3.51557,82.6754,0.011411,2.93703,6.0954,33.0121,0.0603454,2.09297,2.20919,6.63156,0.00568559,2.05056,1.11692,16.8584,4.38005
61.5099,48.2699,55.2095,0.137179,3.47682,3.51626,82.6752,0.0147727,2.93703,6.0954,33.0121,0.070305,2.09283,2.20988,6.63138,0.00791705,2.05048,1.11685,16.8544,4.37901
61.5099,48.2699,55.2093,0.122359,3.47037,3.5164,82.6745,0.0109922,2.93703,6.0954,33.0119,0.0554855,2.08638,2.21002,6.63066,0.00530728,2.05073,1.11695,16.8693,4.38057
61.5099,48.2699,55.2088,0.132528,3.44641,3.51473,82.6667,0.0120519,2.93703,6.0954,33.0114,0.0656538,2.06242,2.20835,6.62293,0.00687287,2.05146,1.11689,16.9185,4.37957
61.5099,48.2699,55.2089,0.125151,3.45138,3.51346,82.6727,0.011495,2.93703,6.0954,33.0116,0.0582769,2.06739,2.20707,6.62886,0.00592433,2.05126,1.11693,16.905,4.38032
61.5099,48.2699,55.2089,0.124953,3.44585,3.51632,82.6675,0.0113393,2.93703,6.0954,33.0115,0.0580796,2.06186,2.20993,6.62365,0.00570617,2.05144,1.11694,16.9176,4.38034
61.5099,48.2699,55.2091,0.135773,3.45549,3.51591,82.6718,0.0143548,2.93703,6.0954,33.0117,0.0688994,2.0715,2.20952,6.62797,0.00762865,2.05106,1.11686,16.8936,4.37919
61.5099,48.2699,55.2087,0.128596,3.43796,3.51458,82.6678,0.0128719,2.93703,6.0954,33.0114,0.0617222,2.05396,2.2082,6.62396,0.00648483,2.05162,1.11691,16.9309,4.37998
61.5099,48.2699,55.2087,0.132384,3.44049,3.51251,82.6666,0.0146168,2.93703,6.0954,33.0114,0.0655103,2.0565,2.20613,6.62275,0.0076369,2.05159,1.11689,16.9302,4.37959
61.5099,48.2699,55.2086,0.124814,3.43586,3.51637,82.6679,0.012428,2.93703,6.0954,33.0113,0.05794,2.05187,2.20999,6.62414,0.0061713,2.05163,1.11694,16.9316,4.38038
61.5099,48.2699,55.2087,0.146353,3.43721,3.51469,82.6676,0.0152044,2.93703,6.0954,33.0114,0.0794796,2.05322,2.20831,6.62382,0.00852555,2.05158,1.11679,16.9289,4.37814
61.5099,48.2699,55.2083,0.126971,3.4183,3.5111,82.6614,0.013354,2.93703,6.0954,33.0109,0.0600974,2.03431,2.20472,6.61763,0.00628701,2.05228,1.11693,16.9771,4.3802
61.5099,48.2699,55.2086,0.129603,3.43116,3.51379,82.6658,0.0124213,2.93703,6.0954,33.0113,0.0627289,2.04717,2.20741,6.622,0.00646839,2.05184,1.11691,16.9458,4.37988
61.5099,48.2699,55.2085,0.131886,3.41963,3.50998,82.6637,0.0129894,2.93703,6.0954,33.0111,0.0650119,2.03563,2.2036,6.61991,0.00686244,2.05223,1.11689,16.9723,4.37966
61.5099,48.2699,55.209,0.128963,3.44585,3.51447,82.6702,0.013133,2.93703,6.0954,33.0117,0.0620893,2.06185,2.20809,6.62639,0.00648934,2.05138,1.11691,16.915,4.37991
61.5099,48.2699,55.2084,0.118528,3.41537,3.51031,82.6637,0.0118585,2.93703,6.0954,33.0111,0.0516543,2.03138,2.20393,6.61988,0.00525282,2.05235,1.11698,16.981,4.38106
