Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000300043,4.25202e-06,2.85683e-05,0.000156134,5.92567e-05,3.23707e-05,1.9461e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,16.4134,0,3.49383,5.835e-05,0.192324,0,0.0726005,9.93606e-07,0.015,0,1.16712,4.07998e-05,0.114708,0,0.048755,5.61148e-07,, , 24.5924,0,0.492092,10.5373,8.24348,1.16712,4.07998e-05,0.000987789,0.0995619,0.0148415,0.0003049,0.00175446,0.073186,0.048755,5.61148e-07,0.0585562
2,25.3058,26.9799,12.4357,0.000876489,1.14574,1.19072,2.837,7.75212e-05,0.487544,2.16164,9.15071,9.58418e-05,0.607521,0.652493,1.96856,1.0467e-05,, , 18.7698,0.944748,1.35557,21.0899,33.8155,9.15071,9.58418e-05,0.0155217,0.952388,0.304263,0.00336283,0.0114841,1.06834,1.96856,1.0467e-05,0.920125
3,5.61799,5.97933,7.13978,0.00229282,0.487481,0.471893,2.59551,0.000294679,0.109423,0.470757,6.10756,0.000731527,0.305925,0.290337,0.865983,5.58431e-05,, , 5.86941,0.205745,0.298459,6.3117,7.70698,6.10756,0.000731527,0.0293457,0.464378,0.130422,0.00146177,0.0102282,0.369045,0.865983,5.58431e-05,1.73961
4,8.19029,8.91943,7.68283,0.00398724,0.792892,0.870127,5.16172,0.000238044,0.120346,0.84948,6.10575,0.000864532,0.492858,0.570092,1.7037,4.77155e-05,, , 8.16182,0.227422,0.590454,10.9055,10.7504,6.10575,0.000864532,0.0584488,0.802363,0.257715,0.00287229,0.0163784,0.617362,1.7037,4.77155e-05,3.46485
5,1.43135,1.56409,6.73318,0.007678,0.279162,0.303536,7.54275,0.000519878,0.0232857,0.156027,5.23572,0.00143254,0.186051,0.210426,0.628911,0.000117326,, , 1.50324,0.0417714,0.109632,5.98723,2.20702,5.23572,0.00143254,0.116473,0.301333,0.0940904,0.00105378,0.0231557,0.232407,0.628911,0.000117326,6.90454
6,2.26259,2.53039,8.12329,0.013534,0.505,0.579569,15.0783,0.000655814,0.029555,0.297352,5.23579,0.00104213,0.343835,0.418405,1.25097,8.53625e-05,, , 2.80768,0.0541398,0.216949,11.6268,3.48875,5.23579,0.00104213,0.232886,0.572875,0.187274,0.00209102,0.0409348,0.420385,1.25097,8.53625e-05,13.8055
7,2.19984,2.2072,9.57094,0.0427768,0.104391,0.112732,49.3336,0.00106162,2.1517,2.15906,0.00844886,0.000174471,0.0727572,0.0810988,0.170841,1.19344e-05,, , 0.0830023,4.3031,0.00610733,11.957,0.282158,0.00844886,0.000174471,0.827824,0.0553819,0.0982687,0.000205444,0.13525,0.227324,0.170841,1.19344e-05,49.0734
8,0.0886201,0.0895336,0.0309145,5.74774e-05,0.000724479,0.000743811,0.0602263,1.66674e-06,0.000175763,0.00108924,0.00203134,5.47667e-06,6.70137e-05,8.63457e-05,0.000207155,3.85379e-07,, , 0.00397529,0.000301526,0.000769667,0.242802,0.128361,0.00203134,5.47667e-06,0.00101147,9.22298e-05,6.02824e-05,8.47154e-07,0.000341021,0.00133595,0.000207155,3.85379e-07,0.0599602
Total,61.5099,48.2699,55.2105,0.0712612,3.50772,3.52932,82.6817,0.00285022,2.93703,6.0954,33.0131,0.00438732,2.12372,2.22294,6.63792,0.000329595,, , 61.7913,5.77723,3.07003,78.6581,66.6226,33.0131,0.00438732,1.2825,3.24837,1.08693,0.0113529,0.239527,3.00938,6.63792,0.000329595,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.0496,0.00605835,1.11729,16.7886,0.0237812,4.38577
