epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
average,61.50990000000001,48.26990000000001,55.20996799999998,0.09228770000000003,3.4880634,3.5223880000000003,82.67844600000001,0.006420040199999999,2.9370299999999996,6.095400000000001,33.012634999999996,0.02541383571000001,2.1040671999999994,2.2160071,6.6346424000000015,0.002564436561,60.98021299999999,5.777230000000003,3.0700299999999987,78.65809999999999,66.6226,33.012634999999996,0.02541383571000001,1.2825000000000002,3.2217874999999996,1.08693,0.011352900000000006,0.23952699999999993,3.009380000000001,6.6346424000000015,0.002564436561,76.02649999999998,2.0501995999999996,0.006057593300000001,1.1171506,16.831491,0.023769655000000004,4.383631800000001
0.0,61.5099,48.2699,55.2098,0.104901,3.45323,3.44924,82.6756,0.00794521,2.93703,6.0954,33.0125,0.038027,2.06923,2.14286,6.6318,0.00344171,59.2818,5.77723,3.07003,78.6581,66.6226,33.0125,0.038027,1.2825,3.11381,1.08693,0.0113529,0.239527,3.00938,6.6318,0.00344171,76.0265,2.05269,0.00605714,1.11707,17.0015,0.0237626,4.38233
1.0,61.5099,48.2699,55.2099,0.111038,3.48824,3.48756,82.6796,0.00947443,2.93703,6.0954,33.0126,0.0441638,2.10424,2.18118,6.63581,0.00420176,60.5848,5.77723,3.07003,78.6581,66.6226,33.0126,0.0441638,1.2825,3.18713,1.08693,0.0113529,0.239527,3.00938,6.63581,0.00420176,76.0265,2.05089,0.00605691,1.11702,16.88,0.0237591,4.38168
2.0,61.5099,48.2699,55.21,0.106983,3.4989,3.50365,82.6812,0.00822113,2.93703,6.0954,33.0127,0.0401089,2.1149,2.19727,6.63742,0.00364071,60.1762,5.77723,3.07003,78.6581,66.6226,33.0127,0.0401089,1.2825,3.21389,1.08693,0.0113529,0.239527,3.00938,6.63742,0.00364071,76.0265,2.05027,0.00605705,1.11705,16.8372,0.0237613,4.3821
3.0,61.5099,48.2699,55.21,0.121593,3.49723,3.51292,82.6799,0.01106,2.93703,6.0954,33.0126,0.0547186,2.11323,2.20654,6.63613,0.00545842,59.5956,5.77723,3.07003,78.6581,66.6226,33.0126,0.0547186,1.2825,3.22149,1.08693,0.0113529,0.239527,3.00938,6.63613,0.00545842,76.0265,2.05007,0.00605652,1.11695,16.8247,0.0237531,4.38058
4.0,61.5099,48.2699,55.2097,0.122226,3.48703,3.51041,82.6761,0.0114667,2.93703,6.0954,33.0124,0.0553518,2.10303,2.20403,6.63228,0.00571016,60.5613,5.77723,3.07003,78.6581,66.6226,33.0124,0.0553518,1.2825,3.20877,1.08693,0.0113529,0.239527,3.00938,6.63228,0.00571016,76.0265,2.05043,0.0060565,1.11695,16.8498,0.0237529,4.38054
5.0,61.5099,48.2699,55.2094,0.115321,3.47732,3.51172,82.6731,0.0107268,2.93703,6.0954,33.0121,0.0484474,2.09333,2.20534,6.62928,0.00476406,60.2916,5.77723,3.07003,78.6581,66.6226,33.0121,0.0484474,1.2825,3.20038,1.08693,0.0113529,0.239527,3.00938,6.62928,0.00476406,76.0265,2.05071,0.00605677,1.117,16.8688,0.023757,4.38129
6.0,61.5099,48.2699,55.2095,0.127219,3.47697,3.51557,82.6754,0.011411,2.93703,6.0954,33.0121,0.0603454,2.09297,2.20919,6.63156,0.00568559,60.5265,5.77723,3.07003,78.6581,66.6226,33.0121,0.0603454,1.2825,3.20388,1.08693,0.0113529,0.239527,3.00938,6.63156,0.00568559,76.0265,2.05056,0.00605633,1.11692,16.8584,0.0237502,4.38005
7.0,61.5099,48.2699,55.2095,0.137179,3.47682,3.51626,82.6752,0.0147727,2.93703,6.0954,33.0121,0.070305,2.09283,2.20988,6.63138,0.00791705,61.1396,5.77723,3.07003,78.6581,66.6226,33.0121,0.070305,1.2825,3.20442,1.08693,0.0113529,0.239527,3.00938,6.63138,0.00791705,76.0265,2.05048,0.00605596,1.11685,16.8544,0.0237446,4.37901
8.0,61.5099,48.2699,55.2093,0.122359,3.47037,3.5164,82.6745,0.0109922,2.93703,6.0954,33.0119,0.0554855,2.08638,2.21002,6.63066,0.00530728,60.3534,5.77723,3.07003,78.6581,66.6226,33.0119,0.0554855,1.2825,3.19811,1.08693,0.0113529,0.239527,3.00938,6.63066,0.00530728,76.0265,2.05073,0.00605652,1.11695,16.8693,0.023753,4.38057
9.0,61.5099,48.2699,55.2088,0.132528,3.44641,3.51473,82.6667,0.0120519,2.93703,6.0954,33.0114,0.0656538,2.06242,2.20835,6.62293,0.00687287,59.3729,5.77723,3.07003,78.6581,66.6226,33.0114,0.0656538,1.2825,3.17248,1.08693,0.0113529,0.239527,3.00938,6.62293,0.00687287,76.0265,2.05146,0.00605616,1.11689,16.9185,0.0237476,4.37957
10.0,61.5099,48.2699,55.2089,0.125151,3.45138,3.51346,82.6727,0.011495,2.93703,6.0954,33.0116,0.0582769,2.06739,2.20707,6.62886,0.00592433,59.7982,5.77723,3.07003,78.6581,66.6226,33.0116,0.0582769,1.2825,3.17618,1.08693,0.0113529,0.239527,3.00938,6.62886,0.00592433,76.0265,2.05126,0.00605643,1.11693,16.905,0.0237517,4.38032
