epoch,average loss,accuracy
0.000000,74.918510,38.820000
1.000000,60.946819,54.029999
2.000000,52.518055,62.150002
3.000000,47.839100,66.010002
4.000000,46.427059,67.360001
5.000000,41.381374,71.940002
6.000000,40.130077,72.269997
7.000000,37.000759,75.010002
8.000000,35.242031,76.709999
9.000000,33.993607,77.459999
10.000000,33.744057,77.580002
11.000000,31.138708,79.489998
12.000000,32.741314,77.910004
13.000000,31.593493,79.150002
14.000000,30.490593,79.820000
15.000000,30.279448,79.949997
16.000000,33.938606,76.230003
17.000000,28.382204,81.739998
18.000000,30.236057,79.599998
19.000000,28.916334,80.250000
20.000000,34.211155,76.589996
21.000000,31.689270,79.070000
22.000000,27.823542,82.080002
23.000000,28.351357,81.989998
24.000000,29.548805,80.820000
25.000000,26.627388,82.389999
26.000000,26.856361,82.660004
27.000000,28.006489,81.610001
28.000000,27.474205,81.900002
29.000000,26.256821,82.610001
30.000000,26.556503,82.879997
31.000000,26.203415,83.419998
32.000000,24.551796,84.290001
33.000000,28.767021,81.150002
34.000000,25.082077,83.519997
35.000000,27.527416,81.559998
36.000000,25.453823,83.970001
37.000000,29.131130,80.580002
38.000000,27.063400,82.610001
39.000000,24.347021,84.349998
40.000000,18.386930,88.150002
41.000000,17.678276,88.419998
42.000000,17.504099,88.580002
43.000000,17.036821,89.070000
44.000000,16.887146,89.169998
45.000000,16.526699,89.389999
46.000000,16.750767,89.160004
47.000000,16.677828,89.209999
48.000000,16.526157,89.559998
49.000000,16.024416,89.769997
50.000000,15.895726,89.760002
51.000000,16.243011,89.389999
52.000000,16.552530,89.309998
53.000000,16.002546,90.029999
54.000000,15.660743,90.040001
55.000000,15.758492,89.830002
56.000000,15.742999,90.029999
57.000000,15.512923,89.970001
58.000000,15.655032,89.949997
59.000000,15.322259,90.400002
60.000000,15.232650,90.209999
61.000000,15.645796,89.989998
62.000000,16.019691,89.650002
63.000000,15.276103,90.239998
64.000000,16.109972,89.849998
65.000000,15.238491,90.430000
66.000000,15.176446,90.430000
67.000000,15.301222,90.339996
68.000000,15.512590,90.059998
69.000000,15.479873,89.989998
70.000000,15.301980,90.489998
71.000000,15.050705,90.669998
72.000000,15.302283,90.330002
73.000000,15.167233,90.300003
74.000000,15.085930,90.510002
75.000000,15.230433,90.169998
76.000000,15.185883,90.419998
77.000000,15.062293,90.769997
78.000000,15.246723,90.110001
79.000000,14.930774,90.550003
80.000000,14.931703,90.550003
81.000000,14.929721,90.529999
82.000000,14.929367,90.529999
83.000000,14.929768,90.540001
84.000000,14.929344,90.540001
85.000000,14.929574,90.510002
86.000000,14.930300,90.529999
87.000000,14.929391,90.550003
88.000000,14.928750,90.550003
89.000000,14.929613,90.550003
90.000000,14.928639,90.540001
91.000000,14.928229,90.559998
92.000000,14.929065,90.550003
93.000000,14.929431,90.559998
94.000000,14.928696,90.559998
95.000000,14.927763,90.559998
96.000000,14.927966,90.559998
97.000000,14.928942,90.559998
98.000000,14.928707,90.540001
99.000000,14.928930,90.570000
