1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001248,-0.000052,-0.000153,-0.000525,-0.000078,-0.000097,0.000043,0.000031,0.032069,0.014799,0.014632,0.015338,0.013947,0.010958,0.005147,0.010055
0.000036,-0.001440,-0.000517,0.000306,-0.000171,0.000004,0.000039,-0.000134,0.021266,0.018802,0.018314,0.015108,0.014634,0.012483,0.005566,0.009285
-0.000868,-0.000117,0.000504,0.000484,0.000149,0.000389,-0.000013,-0.000067,0.030100,0.018500,0.013546,0.013249,0.013598,0.010765,0.005868,0.009428
0.001157,-0.000404,-0.000206,-0.000831,-0.000316,-0.000125,0.000043,-0.000031,0.028108,0.020066,0.015402,0.018785,0.016328,0.013886,0.006744,0.008310
0.000579,-0.000436,0.000447,0.000171,0.000165,0.000540,0.000014,-0.000049,0.026893,0.023342,0.017629,0.020159,0.012973,0.015686,0.006596,0.006709
-0.005552,0.002820,0.000543,0.000606,0.000020,-0.000023,0.000017,-0.000146,0.030628,0.021097,0.021445,0.015388,0.014246,0.011995,0.006540,0.007614
0.000904,-0.000047,-0.000302,-0.000177,-0.000238,-0.000067,0.000033,0.000195,0.033814,0.020311,0.021704,0.014395,0.013697,0.011076,0.009154,0.009842
0.002803,0.000111,-0.000717,-0.000599,-0.000433,-0.000215,0.000019,0.000183,0.034093,0.023601,0.018234,0.019486,0.020095,0.017653,0.007871,0.009406
0.004304,0.000420,-0.000081,0.000355,0.000058,0.000210,0.000029,-0.000183,0.029228,0.015202,0.021294,0.015244,0.015330,0.012019,0.007740,0.011048
0.001230,-0.000036,0.000015,0.000212,-0.000049,0.000242,-0.000014,0.000201,0.025578,0.016547,0.018582,0.015333,0.014185,0.018845,0.007798,0.010015
0.001393,-0.000757,-0.000691,-0.000240,-0.000039,-0.000101,0.000003,0.000092,0.034443,0.018420,0.019322,0.015897,0.014811,0.016382,0.006913,0.006388
0.002459,0.001566,0.000571,0.000218,0.000218,0.000167,-0.000004,-0.000330,0.025042,0.020332,0.017523,0.013441,0.017189,0.013995,0.007545,0.009402
-0.001429,-0.000619,0.000437,0.000121,-0.000074,0.000435,-0.000025,0.000226,0.029065,0.017640,0.020306,0.017636,0.021423,0.016987,0.007747,0.012117
0.003111,-0.000693,0.000368,0.000111,-0.000061,0.000217,-0.000020,-0.000153,0.033175,0.021834,0.018395,0.019131,0.018663,0.015259,0.007059,0.011864
-0.004847,0.000156,-0.000576,-0.000415,-0.000113,-0.000390,-0.000014,0.000183,0.030098,0.016365,0.022170,0.018556,0.021024,0.018566,0.006489,0.011287
-0.000760,-0.000523,0.000237,0.000149,0.000011,0.000338,0.000004,0.000037,0.026805,0.016087,0.019564,0.018808,0.019218,0.015457,0.006198,0.010074
-0.001501,-0.001214,0.000496,0.000082,0.000211,0.000224,0.000025,0.000104,0.026921,0.021228,0.019917,0.018665,0.019340,0.017735,0.009455,0.009223
0.005769,-0.000386,0.000881,0.000740,0.000502,0.000062,0.000017,-0.000012,0.033415,0.023838,0.021258,0.017856,0.020134,0.012913,0.007289,0.005860
0.000615,-0.001167,0.000077,-0.000463,0.000079,-0.000334,0.000018,-0.000250,0.028918,0.018338,0.020212,0.019540,0.015172,0.016858,0.007214,0.007485
-0.003780,-0.001016,0.000220,-0.000561,-0.000191,-0.000064,-0.000031,0.000238,0.025704,0.022792,0.020077,0.018350,0.015272,0.018018,0.007274,0.008840
0.001157,-0.000839,0.000015,-0.000270,-0.000316,-0.000040,-0.000007,-0.000031,0.027622,0.024648,0.022533,0.018408,0.015743,0.016478,0.006982,0.010787
-0.002966,-0.000445,0.000858,0.000513,0.000064,0.000324,0.000033,-0.000140,0.030931,0.020776,0.024104,0.014363,0.017099,0.012567,0.006432,0.008216
-0.003418,-0.000707,-0.000629,-0.000099,-0.000046,0.000307,0.000009,-0.000018,0.030609,0.015985,0.022815,0.018759,0.016629,0.019306,0.007021,0.010464
-0.003183,0.001319,-0.000651,0.000093,-0.000174,0.000074,-0.000024,0.000061,0.031882,0.020404,0.016798,0.012600,0.016112,0.013085,0.006583,0.011288
0.001772,-0.000982,0.000639,0.000247,0.000007,-0.000058,0.000040,-0.000256,0.030359,0.020381,0.015862,0.019624,0.014585,0.015651,0.007762,0.010406
0.001718,0.001115,-0.000503,0.000048,-0.000077,-0.000213,-0.000011,0.000085,0.036624,0.018343,0.021632,0.013033,0.014912,0.014839,0.006129,0.010298
-0.000524,0.000578,0.000155,0.000389,-0.000015,0.000033,-0.000009,0.000262,0.032230,0.016224,0.015933,0.019804,0.014035,0.016001,0.006591,0.010277
0.003762,-0.000111,-0.000041,0.000115,0.000201,0.000022,0.000031,-0.000183,0.030698,0.024566,0.020378,0.018915,0.016354,0.014891,0.008130,0.008422
-0.000850,-0.000432,0.000776,0.000302,0.000125,0.000010,0.000018,-0.000281,0.031549,0.022655,0.021225,0.017838,0.015230,0.017701,0.007203,0.010941
-0.000940,-0.000349,0.000155,-0.000100,0.000187,-0.000142,-0.000054,0.000433,0.024828,0.022131,0.021092,0.019539,0.015291,0.017299,0.007203,0.011792
0.001338,0.000393,-0.000258,0.000512,-0.000114,0.000274,-0.000013,-0.000110,0.027736,0.024032,0.022571,0.017721,0.018012,0.015879,0.005990,0.009202
0.000470,0.001784,0.000315,0.000248,0.000194,0.000015,0.000084,-0.000311,0.028921,0.017255,0.020267,0.009991,0.017853,0.011541,0.007535,0.008575
0.000072,0.000210,-0.000286,-0.000104,-0.000125,-0.000193,0.000000,-0.000098,0.033792,0.022893,0.020426,0.018837,0.016368,0.016152,0.005810,0.010335
-0.002857,-0.000901,0.000010,-0.000114,-0.000163,-0.000311,-0.000019,0.000708,0.028027,0.022633,0.023643,0.017618,0.019704,0.016019,0.005970,0.011333
-0.002080,0.000445,0.000111,0.000000,0.000021,0.000262,-0.000024,0.000116,0.031955,0.022558,0.019664,0.017154,0.017441,0.017578,0.006980,0.008309
-0.002206,0.001764,-0.000344,0.000082,-0.000023,-0.000078,-0.000016,-0.000012,0.028126,0.018670,0.022825,0.017976,0.015198,0.018076,0.007886,0.010698
0.001411,0.000949,0.000114,0.000464,0.000256,0.000077,0.000047,-0.000641,0.025789,0.022894,0.022190,0.019348,0.017653,0.010253,0.006107,0.012444
-0.000018,0.000922,-0.000232,0.000152,-0.000011,0.000149,0.000028,0.000031,0.027543,0.019666,0.016867,0.018205,0.017635,0.013033,0.007272,0.010680
0.002007,-0.000459,0.000381,-0.000032,-0.000068,0.000027,0.000030,0.000287,0.025105,0.017992,0.022668,0.020112,0.017466,0.018407,0.007401,0.010854
-0.003707,-0.000959,0.000065,0.000259,-0.000094,-0.000035,0.000011,-0.000238,0.025405,0.019027,0.023004,0.013983,0.016947,0.015315,0.005043,0.011403
0.000072,0.000025,0.000010,-0.000004,0.000004,0.000004,0.000001,0.000061,0.007366,0.005991,0.004053,0.003112,0.003955,0.001773,0.000493,0.002310
-0.000109,-0.000031,-0.000016,-0.000018,-0.000018,0.000002,-0.000001,-0.000024,0.012490,0.004111,0.005633,0.004591,0.005797,0.000761,0.001293,0.002620
-0.001284,-0.000250,0.000071,0.000001,0.000014,-0.000003,-0.000000,-0.000012,0.011027,0.004814,0.006004,0.005164,0.003081,0.002930,0.000473,0.002620
-0.000127,-0.000040,0.000106,0.000006,0.000008,0.000009,-0.000000,0.000024,0.006971,0.002757,0.005943,0.003241,0.001294,0.001204,0.000218,0.001513
0.000054,0.000125,0.000081,0.000026,0.000004,0.000001,0.000003,0.000049,0.010254,0.004129,0.004788,0.005562,0.002099,0.002035,0.001125,0.002470
