1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.001223,-0.001719,0.004218,-0.002296,-0.001717,-0.012387,-0.046831,-0.014026,0.534756,0.642400,0.646537,0.652526,0.667762,0.666132,0.700375,0.652929
-0.010265,-0.009357,0.006903,-0.012697,-0.003110,-0.021127,-0.051752,-0.013966,0.488057,0.607989,0.614157,0.626542,0.639282,0.640926,0.693841,0.652941
-0.011220,-0.017073,0.002473,-0.021729,-0.004466,-0.027948,-0.053885,-0.013260,0.485477,0.585537,0.594605,0.611891,0.617321,0.623351,0.690174,0.651255
-0.012851,-0.019402,-0.002820,-0.030523,-0.007672,-0.032972,-0.057270,-0.013411,0.488332,0.573102,0.579738,0.602818,0.602605,0.609933,0.688305,0.649660
-0.012319,-0.026923,-0.004013,-0.036743,-0.009366,-0.038672,-0.060074,-0.012724,0.497183,0.566636,0.571184,0.598848,0.591387,0.599118,0.689251,0.647283
-0.009558,-0.030340,-0.005998,-0.043320,-0.011818,-0.041280,-0.062614,-0.013018,0.493925,0.566756,0.566370,0.596214,0.582920,0.591774,0.688128,0.646435
-0.020763,-0.032064,-0.010194,-0.045510,-0.013564,-0.045537,-0.064033,-0.013811,0.503484,0.563563,0.562397,0.594951,0.577057,0.586095,0.689452,0.643788
-0.013916,-0.032885,-0.008534,-0.047638,-0.017624,-0.049555,-0.065477,-0.011956,0.498287,0.562705,0.560333,0.592727,0.574665,0.581998,0.689162,0.641104
-0.017378,-0.034932,-0.013546,-0.053472,-0.017273,-0.051415,-0.067678,-0.010425,0.505128,0.562991,0.561356,0.593437,0.572185,0.579269,0.689157,0.639932
-0.011956,-0.036948,-0.016011,-0.064125,-0.019457,-0.054308,-0.068382,-0.010418,0.510799,0.563431,0.562216,0.593692,0.572171,0.577168,0.688919,0.637899
-0.013741,-0.040527,-0.017198,-0.063756,-0.022555,-0.059056,-0.068947,-0.008800,0.515689,0.561603,0.560595,0.594800,0.572753,0.576253,0.690964,0.635158
-0.017015,-0.038250,-0.019438,-0.068361,-0.024367,-0.061273,-0.069432,-0.008615,0.514224,0.564532,0.561064,0.599660,0.572789,0.575631,0.689863,0.633934
-0.015430,-0.037022,-0.020743,-0.072900,-0.024751,-0.065139,-0.071628,-0.009273,0.517368,0.566448,0.561068,0.603272,0.572682,0.575674,0.688946,0.632986
-0.013468,-0.040555,-0.024456,-0.077300,-0.026895,-0.066453,-0.071576,-0.008383,0.516729,0.568053,0.561120,0.605548,0.574583,0.576396,0.688939,0.631527
-0.008367,-0.041257,-0.022600,-0.078112,-0.028946,-0.068333,-0.073685,-0.008389,0.514547,0.569339,0.559171,0.608234,0.575823,0.576436,0.690030,0.629312
-0.014844,-0.043797,-0.025674,-0.083361,-0.029837,-0.068845,-0.073847,-0.007144,0.516532,0.570463,0.558909,0.611497,0.576126,0.577544,0.689867,0.627317
-0.016175,-0.044962,-0.025796,-0.080555,-0.030511,-0.074103,-0.074959,-0.006457,0.516738,0.569520,0.558850,0.613171,0.576072,0.578372,0.689525,0.626156
-0.017727,-0.048072,-0.029051,-0.085511,-0.033219,-0.073490,-0.074886,-0.007029,0.514615,0.572116,0.559561,0.615271,0.576825,0.579368,0.688346,0.626449
-0.009261,-0.043483,-0.024461,-0.087299,-0.034035,-0.074071,-0.076157,-0.006774,0.516655,0.574252,0.558340,0.614139,0.576317,0.580584,0.690452,0.626130
-0.008381,-0.046372,-0.029720,-0.086122,-0.032478,-0.073850,-0.077554,-0.006327,0.516078,0.577441,0.559918,0.615840,0.575984,0.582475,0.689587,0.625412
-0.015036,-0.039588,-0.026443,-0.085217,-0.033007,-0.076204,-0.078774,-0.005766,0.506345,0.579140,0.559160,0.613630,0.576476,0.584193,0.690088,0.624189
-0.009688,-0.043166,-0.030294,-0.088491,-0.034396,-0.076636,-0.078738,-0.005311,0.514364,0.580839,0.557447,0.611812,0.576009,0.584740,0.689520,0.623139
-0.009937,-0.047200,-0.028466,-0.089643,-0.035049,-0.080091,-0.078290,-0.005787,0.517821,0.578753,0.557171,0.608782,0.576134,0.586711,0.691019,0.623498
-0.015647,-0.048565,-0.029132,-0.089411,-0.035622,-0.082056,-0.079997,-0.005226,0.516325,0.579622,0.557635,0.610350,0.575975,0.588155,0.691444,0.624079
-0.016696,-0.046206,-0.029880,-0.089018,-0.034890,-0.080174,-0.080373,-0.004458,0.517497,0.581753,0.559417,0.609194,0.576715,0.589381,0.691191,0.622073
-0.013175,-0.049012,-0.027670,-0.086946,-0.035464,-0.081315,-0.080976,-0.005166,0.512418,0.582920,0.557661,0.608037,0.576174,0.590370,0.690995,0.621189
-0.019457,-0.048042,-0.031219,-0.088427,-0.037390,-0.081638,-0.081105,-0.003705,0.511686,0.582414,0.559020,0.608783,0.576298,0.590845,0.691340,0.619992
-0.015671,-0.048874,-0.027887,-0.088683,-0.038463,-0.082304,-0.082330,-0.003800,0.518633,0.583730,0.558886,0.609365,0.577487,0.591985,0.690996,0.619056
-0.012461,-0.048216,-0.032428,-0.090483,-0.037042,-0.083283,-0.082013,-0.003947,0.517304,0.586092,0.558759,0.608334,0.577661,0.592290,0.690708,0.619244
-0.008928,-0.045698,-0.028421,-0.092692,-0.037758,-0.080089,-0.082134,-0.003036,0.515029,0.582503,0.559755,0.606362,0.578178,0.592882,0.691567,0.618178
-0.010172,-0.046794,-0.029338,-0.091486,-0.036734,-0.081276,-0.084589,-0.002277,0.513690,0.581391,0.559264,0.606820,0.576616,0.593271,0.692145,0.617502
-0.014431,-0.049139,-0.029040,-0.089264,-0.038877,-0.081850,-0.083162,-0.002154,0.513921,0.581418,0.559176,0.605157,0.577454,0.592688,0.691007,0.618368
-0.016275,-0.047430,-0.026429,-0.090012,-0.039265,-0.079560,-0.084446,-0.002494,0.510987,0.583457,0.559094,0.603462,0.579919,0.593153,0.692630,0.617384
-0.006584,-0.049005,-0.027819,-0.093443,-0.039022,-0.079057,-0.083960,-0.003693,0.521221,0.583861,0.559335,0.606456,0.579534,0.593635,0.691458,0.616547
-0.013997,-0.043649,-0.028925,-0.091009,-0.037069,-0.080181,-0.085609,-0.002364,0.525055,0.583751,0.560121,0.604686,0.580628,0.593777,0.692426,0.615067
-0.009525,-0.043356,-0.029074,-0.088725,-0.038916,-0.081330,-0.085256,-0.002467,0.518559,0.585367,0.558400,0.602535,0.581038,0.593062,0.692892,0.616199
-0.007356,-0.048807,-0.029428,-0.093239,-0.040190,-0.080800,-0.085641,-0.000649,0.517460,0.585693,0.558209,0.607072,0.582188,0.593854,0.693699,0.614863
-0.016631,-0.045173,-0.027396,-0.091721,-0.040485,-0.079144,-0.086051,-0.001222,0.515000,0.583760,0.557804,0.604289,0.582917,0.593452,0.691971,0.615682
-0.013202,-0.048946,-0.029606,-0.093724,-0.041635,-0.078081,-0.085696,-0.001657,0.521389,0.585618,0.559065,0.604435,0.582931,0.592750,0.691445,0.615311
-0.011081,-0.044773,-0.029818,-0.093994,-0.040310,-0.079048,-0.086370,-0.001628,0.522296,0.585360,0.557677,0.604948,0.584682,0.593818,0.691109,0.614976
-0.013110,-0.033264,-0.028991,-0.090887,-0.039625,-0.080026,-0.086332,-0.002095,0.557713,0.592083,0.562923,0.608654,0.586847,0.595402,0.690899,0.616517
-0.013121,-0.030918,-0.028229,-0.089665,-0.037807,-0.079448,-0.086256,-0.002225,0.575285,0.595407,0.566688,0.610687,0.588763,0.596970,0.690794,0.618172
-0.012256,-0.030382,-0.027482,-0.088952,-0.037303,-0.079272,-0.086211,-0.001937,0.586751,0.597464,0.569880,0.612595,0.589981,0.598640,0.690799,0.619466
-0.012582,-0.029788,-0.027173,-0.087704,-0.036588,-0.078292,-0.086325,-0.001408,0.594907,0.598849,0.572532,0.614164,0.591021,0.599977,0.690736,0.620308
-0.013082,-0.030733,-0.026956,-0.086859,-0.035196,-0.078005,-0.086252,-0.001934,0.598370,0.600258,0.574912,0.615105,0.592012,0.600968,0.690763,0.621632
-0.011725,-0.028071,-0.026659,-0.085281,-0.034824,-0.077178,-0.086365,-0.002291,0.603509,0.601053,0.577079,0.616070,0.592814,0.602333,0.690731,0.622039
-0.016180,-0.027472,-0.026603,-0.084613,-0.034462,-0.076238,-0.086398,-0.001966,0.614518,0.601929,0.579054,0.616871,0.593498,0.603297,0.690713,0.622732
-0.015489,-0.027907,-0.026035,-0.083505,-0.033680,-0.075302,-0.086400,-0.001665,0.615256,0.602458,0.581048,0.617572,0.594414,0.604329,0.690731,0.623328
-0.013144,-0.026324,-0.024875,-0.082688,-0.033565,-0.075189,-0.086453,-0.002284,0.617125,0.603117,0.582582,0.618077,0.594917,0.605014,0.690757,0.624882
-0.013852,-0.025442,-0.025064,-0.081975,-0.033126,-0.074819,-0.086406,-0.002417,0.618322,0.603975,0.583958,0.618604,0.595392,0.605670,0.690746,0.624907
-0.014244,-0.024501,-0.025759,-0.081131,-0.032966,-0.073866,-0.086435,-0.002300,0.620362,0.604718,0.585014,0.618923,0.596020,0.606416,0.690711,0.625553
