L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
76.9724,77.1472,56.8931,0.0659299,5.51858,19.3873,83.1481,0.00144687,30.6132,44.568,34.6957,0.00102671,4.84374,18.7638,7.10432,1.25992e-06,1.69931,0.873709,6.0049,1.67842
76.914,77.1472,56.8936,0.0662575,5.58093,19.3873,83.1551,0.00144749,30.5548,44.568,34.6963,0.00135434,4.90609,18.7638,7.11129,1.66537e-06,1.69822,0.873948,5.99137,1.6793
76.3793,77.1472,56.8918,0.0663323,5.36557,19.3873,83.1468,0.00144748,30.02,44.568,34.6945,0.00142912,4.69074,18.7638,7.10298,1.75509e-06,1.70176,0.876175,6.03522,1.68754
77.2365,77.1472,56.8933,0.0665152,5.51069,19.3873,83.151,0.00144781,30.8773,44.568,34.6959,0.00161206,4.83585,18.7638,7.10722,1.98135e-06,1.69937,0.872614,6.00587,1.67438
76.0102,77.1472,56.8919,0.0662941,5.31239,19.3873,83.1439,0.00144757,29.651,44.568,34.6946,0.00139098,4.63755,18.7638,7.10005,1.7084e-06,1.70266,0.877714,6.04633,1.69326
76.098,77.1472,56.8917,0.0664988,5.28645,19.3873,83.144,0.00144785,29.7388,44.568,34.6943,0.00159568,4.61161,18.7638,7.10019,1.95988e-06,1.70306,0.877347,6.05145,1.6919
76.1611,77.1472,56.8914,0.0662663,5.25769,19.3873,83.1413,0.00144748,29.8018,44.568,34.6941,0.00136317,4.58286,18.7638,7.09752,1.67328e-06,1.70355,0.877086,6.0577,1.69093
75.9445,77.1472,56.8914,0.0665249,5.24427,19.3873,83.1404,0.00144768,29.5853,44.568,34.6941,0.00162176,4.56943,18.7638,7.09655,1.98942e-06,1.70379,0.877989,6.06056,1.69429
75.9191,77.1472,56.8903,0.0665668,5.09291,19.3873,83.1375,0.00144777,29.5599,44.568,34.6929,0.00166361,4.41807,18.7638,7.09367,2.04068e-06,1.70622,0.8781,6.09143,1.6947
75.8055,77.1472,56.8905,0.0663934,5.11879,19.3873,83.1387,0.00144758,29.4463,44.568,34.6932,0.00149025,4.44395,18.7638,7.09489,1.83013e-06,1.7058,0.878575,6.08599,1.69647
75.8659,77.1472,56.8911,0.0662732,5.20511,19.3873,83.1398,0.00144763,29.5066,44.568,34.6938,0.00137004,4.53028,18.7638,7.09594,1.6854e-06,1.70442,0.87832,6.06849,1.69552
75.7858,77.1472,56.8908,0.0667474,5.15938,19.3873,83.1415,0.00144825,29.4266,44.568,34.6935,0.00184425,4.48454,18.7638,7.09765,2.26818e-06,1.70512,0.878655,6.07729,1.69677
76.0551,77.1472,56.891,0.0666678,5.17134,19.3873,83.1397,0.00144792,29.6959,44.568,34.6937,0.00176467,4.4965,18.7638,7.09594,2.16695e-06,1.70494,0.877528,6.07524,1.69257
75.764,77.1472,56.8907,0.0665219,5.11701,19.3873,83.1385,0.0014479,29.4048,44.568,34.6934,0.0016188,4.44217,18.7638,7.09464,1.98874e-06,1.70584,0.878747,6.0864,1.69711
75.6612,77.1472,56.8907,0.0667744,5.11606,19.3873,83.1372,0.00144804,29.302,44.568,34.6933,0.00187123,4.44122,18.7638,7.09343,2.29733e-06,1.70588,0.879177,6.08683,1.69872
75.9268,77.1472,56.8904,0.0666942,5.11116,19.3873,83.139,0.00144814,29.5676,44.568,34.693,0.00179104,4.43632,18.7638,7.09514,2.2014e-06,1.70591,0.878067,6.08747,1.69458
75.7456,77.1472,56.8898,0.0670383,5.01764,19.3873,83.1327,0.00144849,29.3863,44.568,34.6925,0.00213516,4.3428,18.7638,7.08888,2.62438e-06,1.7075,0.878826,6.10759,1.69741
75.5072,77.1472,56.8899,0.0667417,5.0143,19.3873,83.1339,0.00144807,29.1479,44.568,34.6926,0.0018385,4.33946,18.7638,7.09009,2.26041e-06,1.70754,0.879826,6.10802,1.70114
75.0748,77.1472,56.8901,0.0669041,5.01607,19.3873,83.1348,0.00144819,28.7156,44.568,34.6928,0.00200098,4.34124,18.7638,7.09099,2.45914e-06,1.70753,0.881644,6.10748,1.70795
75.4768,77.1472,56.8902,0.0666172,5.03446,19.3873,83.1351,0.00144804,29.1176,44.568,34.6929,0.00171402,4.35963,18.7638,7.09131,2.10689e-06,1.70721,0.879953,6.10369,1.70162
75.6217,77.1472,56.8899,0.0667696,4.99338,19.3873,83.1332,0.00144819,29.2625,44.568,34.6925,0.00186647,4.31854,18.7638,7.08934,2.29252e-06,1.70788,0.879346,6.1124,1.69935
75.5712,77.1472,56.8901,0.0665904,5.03983,19.3873,83.1363,0.0014479,29.212,44.568,34.6928,0.00168725,4.36499,18.7638,7.09253,2.07472e-06,1.7071,0.879558,6.10236,1.70014
75.4442,77.1472,56.8899,0.0666056,4.99775,19.3873,83.1356,0.0014479,29.085,44.568,34.6926,0.00170245,4.32291,18.7638,7.09177,2.09264e-06,1.70778,0.880092,6.11103,1.70213
75.4784,77.1472,56.8898,0.0662129,4.9715,19.3873,83.1349,0.00144722,29.1192,44.568,34.6925,0.00130976,4.29666,18.7638,7.09112,1.60643e-06,1.70821,0.87995,6.11648,1.7016
75.1195,77.1472,56.8894,0.066279,4.91549,19.3873,83.1291,0.00144757,28.7603,44.568,34.692,0.00137587,4.24065,18.7638,7.08533,1.68961e-06,1.70921,0.881461,6.12904,1.70726
75.4072,77.1472,56.8897,0.0667902,4.96309,19.3873,83.1331,0.00144832,29.048,44.568,34.6923,0.00188708,4.28825,18.7638,7.08934,2.32101e-06,1.70837,0.880247,6.11855,1.70272
75.8188,77.1472,56.8898,0.0666987,4.9982,19.3873,83.1365,0.00144801,29.4595,44.568,34.6925,0.0017955,4.32336,18.7638,7.09266,2.20661e-06,1.70774,0.878521,6.11075,1.69627
75.7912,77.1472,56.8897,0.0664089,4.96639,19.3873,83.1321,0.00144749,29.432,44.568,34.6923,0.00150574,4.29156,18.7638,7.08827,1.84609e-06,1.70832,0.878638,6.11809,1.69671
75.4111,77.1472,56.8899,0.0663821,5.01954,19.3873,83.1349,0.0014475,29.0518,44.568,34.6926,0.00147893,4.3447,18.7638,7.09113,1.8162e-06,1.70745,0.880232,6.10675,1.70266
75.6379,77.1472,56.8897,0.0666603,4.98616,19.3873,83.1349,0.00144816,29.2787,44.568,34.6924,0.00175719,4.31133,18.7638,7.09105,2.16063e-06,1.70797,0.879279,6.11352,1.6991
75.5946,77.1472,56.8896,0.0665795,4.96279,19.3873,83.1323,0.00144791,29.2353,44.568,34.6922,0.00167632,4.28795,18.7638,7.08845,2.05979e-06,1.70838,0.879462,6.11879,1.69978
75.3435,77.1472,56.8895,0.066856,4.96424,19.3873,83.131,0.00144821,28.9843,44.568,34.6921,0.00195287,4.2894,18.7638,7.08723,2.39995e-06,1.70839,0.880515,6.11874,1.70372
75.8082,77.1472,56.8901,0.0664638,5.02221,19.3873,83.1358,0.00144786,29.449,44.568,34.6928,0.00156063,4.34737,18.7638,7.09202,1.91924e-06,1.70737,0.878565,6.10603,1.69643
75.647,77.1472,56.8905,0.0665153,5.02998,19.3873,83.1361,0.00144787,29.2877,44.568,34.6932,0.00161213,4.35515,18.7638,7.0923,1.98181e-06,1.70725,0.879239,6.1044,1.69895
75.2083,77.1472,56.8897,0.0666067,4.98033,19.3873,83.1314,0.00144804,28.8491,44.568,34.6923,0.00170351,4.30549,18.7638,7.08759,2.09806e-06,1.70814,0.881084,6.1154,1.70585
76.2539,77.1472,56.8906,0.0668057,5.08477,19.3873,83.137,0.00144827,29.8947,44.568,34.6932,0.00190259,4.40994,18.7638,7.09318,2.3416e-06,1.70634,0.8767,6.09317,1.68949
75.2563,77.1472,56.89,0.0666898,5.00541,19.3873,83.1333,0.00144802,28.8971,44.568,34.6926,0.0017866,4.33057,18.7638,7.08952,2.19476e-06,1.70771,0.880881,6.10993,1.70509
