Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000151051,1.41734e-05,1.89731e-05,2.59329e-06,8.41833e-05,1.26298e-05,1.8498e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,25.143,0,3.55956,2.36846e-05,0.46473,0,0.0759025,3.01122e-07,11.363,0,1.23285,6.56739e-06,0.413368,0,0.052057,8.88841e-09,, , 3.53095,4.5255,3.30654,10.6503,5.51074,1.23285,6.56739e-06,0.000987789,0.180712,0.219494,0.0131624,0.00183966,0.0468199,0.052057,8.88841e-09,0.0585562
2,27.6514,41.4789,12.9003,0.000796114,1.61118,5.88588,2.9751,2.39099e-05,8.51268,22.3402,9.61532,4.50171e-05,1.35037,5.62507,2.10666,5.56537e-08,, , 10.1349,12.8343,7.88371,21.2131,22.2575,9.61532,4.50171e-05,0.0155217,4.16754,2.65986,0.148033,0.0119095,0.510699,2.10666,5.56537e-08,0.920125
3,6.33159,9.10794,7.44911,0.00159187,0.718452,2.53913,2.64836,4.78182e-05,2.08884,4.86519,6.41689,8.96742e-05,0.628208,2.44888,0.918832,1.10873e-07,, , 2.28024,2.88551,1.78828,6.33853,5.07286,6.41689,8.96742e-05,0.0293457,1.83424,1.177,0.0658474,0.0108401,0.181023,0.918832,1.10873e-07,1.73961
4,9.5171,15.8924,7.99274,0.00320395,1.13591,5.03143,5.28202,9.52432e-05,3.25499,9.63027,6.41565,0.000199484,1.00056,4.89607,1.824,2.46953e-07,, , 4.30305,5.25209,3.33012,10.9323,6.95649,6.41565,0.000199484,0.0584488,3.551,2.22246,0.123169,0.0169902,0.277815,1.824,2.46953e-07,3.46485
5,1.78655,2.86542,6.99875,0.00633699,0.440278,1.84203,7.58783,0.000190307,0.68996,1.76882,5.50129,0.000328034,0.396484,1.79824,0.673996,4.04257e-07,, , 0.819037,1.00018,0.639572,5.99215,1.4278,5.50129,0.000328034,0.116473,1.31797,0.83053,0.0462198,0.0242174,0.113566,0.673996,4.04257e-07,6.90454
6,2.96813,5.25215,8.38856,0.0123801,0.71957,3.6647,15.1685,0.000379441,1.23765,3.52167,5.50106,0.000361555,0.650853,3.59599,1.34114,4.43224e-07,, , 1.59896,1.91999,1.24037,11.6317,2.17577,5.50106,0.000361555,0.232886,2.57048,1.58866,0.0877003,0.0419966,0.196138,1.34114,4.43224e-07,13.8055
7,2.39781,2.46944,9.57114,0.0418892,0.114475,0.422552,49.3418,0.000709742,2.35794,2.42957,0.00864093,0.000339171,0.0903428,0.39842,0.179039,4.14885e-07,, , 0.0418089,4.7136,0.0321057,11.9574,0.181031,0.00864093,0.000339171,0.827824,0.245924,0.234752,0.00808709,0.138908,0.140591,0.179039,4.14885e-07,49.0734
8,0.0703202,0.0810198,0.0309779,5.12521e-05,0.000513759,0.00153233,0.0602369,8.66542e-07,0.00159108,0.0122907,0.00209468,5.34489e-07,9.26761e-05,0.00111124,0.00021781,6.64311e-10,, , 0.00467333,0.00570428,0.00350416,0.242822,0.0848053,0.00209468,5.34489e-07,0.00101147,0.000742609,0.000437701,2.36086e-05,0.000345503,0.000775605,0.00021781,6.64311e-10,0.0599602
Total,75.8659,77.1472,56.8911,0.0662732,5.20511,19.3873,83.1398,0.00144763,29.5066,44.568,34.6938,0.00137004,4.53028,18.7638,7.09594,1.6854e-06,, , 22.7136,33.1368,18.2242,78.9582,43.667,34.6938,0.00137004,1.2825,13.8686,8.93319,0.492242,0.247047,1.46743,7.09594,1.6854e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.70442,0.00476257,0.87832,6.06849,0.00919373,1.69552
