epoch,average loss,accuracy
0.000000,73.326775,41.779999
1.000000,64.501129,51.520000
2.000000,56.148441,59.040001
3.000000,49.263504,65.070000
4.000000,46.475159,67.070000
5.000000,41.686859,70.949997
6.000000,39.248085,73.599998
7.000000,41.602577,71.570000
8.000000,33.778103,78.610001
9.000000,34.118084,77.540001
10.000000,33.813641,77.839996
11.000000,34.791546,76.440002
12.000000,34.173267,77.050003
13.000000,29.851437,80.430000
14.000000,31.813017,78.739998
15.000000,29.890181,80.320000
16.000000,32.105495,78.849998
17.000000,27.277636,82.010002
18.000000,27.546608,82.180000
19.000000,27.670057,81.959999
20.000000,27.109205,82.239998
21.000000,26.770851,82.559998
22.000000,28.133625,81.639999
23.000000,25.690161,84.120003
24.000000,27.168304,82.559998
25.000000,25.984838,83.379997
26.000000,26.237665,83.300003
27.000000,26.713200,82.550003
28.000000,25.240992,84.279999
29.000000,27.837559,81.870003
30.000000,24.382826,84.239998
31.000000,26.905668,82.669998
32.000000,26.575331,82.330002
33.000000,27.756676,81.550003
34.000000,28.418619,81.139999
35.000000,28.929804,81.029999
36.000000,26.791391,82.500000
37.000000,23.274645,85.089996
38.000000,25.517216,83.349998
39.000000,27.600090,81.599998
40.000000,18.522047,88.110001
41.000000,17.924681,88.379997
42.000000,17.522882,88.669998
43.000000,17.256878,89.010002
44.000000,17.311440,88.980003
45.000000,16.597174,89.480003
46.000000,16.788589,88.830002
47.000000,16.289619,89.589996
48.000000,16.047215,89.779999
49.000000,16.284712,89.470001
50.000000,16.144627,89.480003
51.000000,15.840225,89.739998
52.000000,15.975737,89.739998
53.000000,16.076822,89.830002
54.000000,16.375893,89.519997
55.000000,15.730726,89.879997
56.000000,15.782608,89.839996
57.000000,15.989856,89.760002
58.000000,15.449836,90.129997
59.000000,15.514981,90.209999
60.000000,15.291990,90.239998
61.000000,15.371777,90.010002
62.000000,15.719201,89.940002
63.000000,15.336309,90.239998
64.000000,15.393063,90.199997
65.000000,15.428109,90.209999
66.000000,15.616451,89.760002
67.000000,15.347756,90.129997
68.000000,15.483041,90.099998
69.000000,14.997943,90.519997
70.000000,15.329280,90.129997
71.000000,15.313983,90.290001
72.000000,15.045147,90.449997
73.000000,15.284618,90.349998
74.000000,15.356251,90.180000
75.000000,15.174487,90.199997
76.000000,15.090965,90.250000
77.000000,14.960608,90.339996
78.000000,14.815532,90.519997
79.000000,14.934703,90.519997
80.000000,14.934632,90.480003
81.000000,14.936092,90.480003
82.000000,14.935918,90.480003
83.000000,14.936665,90.480003
84.000000,14.934698,90.489998
85.000000,14.938122,90.480003
86.000000,14.934682,90.489998
87.000000,14.935828,90.470001
88.000000,14.934740,90.480003
89.000000,14.935658,90.489998
90.000000,14.935439,90.489998
91.000000,14.934093,90.489998
92.000000,14.934402,90.470001
93.000000,14.937136,90.489998
94.000000,14.936930,90.470001
95.000000,14.936585,90.480003
96.000000,14.936254,90.489998
97.000000,14.936005,90.500000
98.000000,14.935471,90.500000
99.000000,14.936246,90.480003
