1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.000814,-0.000792,-0.000284,-0.000742,-0.000236,-0.000255,0.000001,-0.000018,0.026098,0.016552,0.018063,0.013741,0.013356,0.010106,0.005399,0.010243
-0.000778,0.001061,0.000842,-0.000012,0.000156,0.000324,0.000008,0.000037,0.033666,0.017119,0.020591,0.021784,0.015520,0.012423,0.006026,0.006878
-0.005552,0.001535,0.000677,0.001278,0.000501,0.000508,0.000073,-0.000189,0.031965,0.017417,0.015262,0.019188,0.015825,0.013926,0.006279,0.011236
0.000850,-0.000927,-0.000299,-0.000660,-0.000387,0.000001,0.000023,-0.000177,0.028814,0.019855,0.017900,0.019367,0.017106,0.014389,0.007065,0.007436
0.004069,0.000076,-0.000205,0.000641,-0.000414,0.000002,0.000053,-0.000140,0.029741,0.019879,0.018427,0.018586,0.017658,0.009487,0.007043,0.012822
0.003653,0.001568,0.001367,0.001104,0.000956,0.000322,0.000057,-0.000031,0.028496,0.019812,0.020538,0.014251,0.020145,0.011990,0.007643,0.008844
-0.002586,0.001320,0.000402,0.000958,-0.000009,0.000150,0.000056,-0.000031,0.030984,0.020509,0.021316,0.016585,0.015141,0.007694,0.007841,0.008844
0.000362,0.001540,0.000426,-0.000258,0.000058,-0.000117,0.000024,-0.000250,0.023868,0.021076,0.020210,0.013939,0.012863,0.012295,0.008707,0.010014
0.002459,0.000828,0.001021,0.000931,0.000276,0.000216,-0.000028,-0.000568,0.030719,0.014871,0.021683,0.015911,0.014061,0.012162,0.008653,0.011689
-0.001573,0.000431,0.000533,0.000690,0.000027,0.000192,0.000020,0.000043,0.026790,0.023612,0.019139,0.015428,0.013627,0.015200,0.006538,0.010093
-0.002912,-0.000242,0.000159,0.000225,-0.000170,0.000065,0.000014,-0.000250,0.032278,0.019691,0.019672,0.021897,0.018257,0.011805,0.005491,0.006846
0.004810,0.000985,-0.000582,-0.000176,0.000092,0.000020,0.000007,-0.000232,0.026380,0.023844,0.018576,0.018122,0.021334,0.015229,0.007666,0.010222
