1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001628,-0.010360,0.013290,0.000508,-0.001936,-0.013168,-0.027994,-0.006586,0.526905,0.636970,0.638730,0.651571,0.662644,0.666740,0.700626,0.654177
-0.010729,-0.015683,0.008097,-0.009260,-0.004629,-0.023469,-0.031130,-0.005580,0.487474,0.597245,0.603620,0.617630,0.628658,0.643543,0.694545,0.651800
-0.007802,-0.024123,0.005146,-0.025589,-0.005192,-0.028467,-0.033415,-0.005113,0.479141,0.578604,0.584060,0.602736,0.609067,0.627628,0.689731,0.650379
-0.013097,-0.025020,-0.003562,-0.030368,-0.009176,-0.034903,-0.035553,-0.004948,0.490366,0.570608,0.571283,0.600448,0.595607,0.616069,0.686041,0.649165
-0.013217,-0.032499,-0.009687,-0.040765,-0.013046,-0.038145,-0.038536,-0.003224,0.505327,0.565285,0.565753,0.604838,0.585282,0.606189,0.683530,0.644971
-0.012095,-0.034687,-0.013367,-0.050993,-0.015476,-0.043716,-0.043700,-0.001808,0.501836,0.562305,0.564404,0.605210,0.579041,0.599857,0.681860,0.639879
-0.013274,-0.035416,-0.014700,-0.057210,-0.018199,-0.046537,-0.048223,-0.001766,0.502072,0.561952,0.562191,0.600838,0.573759,0.594022,0.681450,0.636331
-0.015617,-0.041003,-0.018303,-0.056994,-0.021126,-0.051458,-0.051826,-0.000639,0.503725,0.561339,0.563471,0.599939,0.571170,0.590087,0.681452,0.631053
-0.011694,-0.041656,-0.021162,-0.064597,-0.021698,-0.054655,-0.054610,-0.000631,0.501487,0.560881,0.562662,0.600360,0.569848,0.587864,0.680872,0.630280
-0.006452,-0.043953,-0.024674,-0.067058,-0.024024,-0.059217,-0.057694,0.000605,0.506867,0.562637,0.562690,0.599754,0.569753,0.586263,0.681121,0.627066
-0.010958,-0.042471,-0.023672,-0.070120,-0.024864,-0.063252,-0.060694,0.001781,0.514029,0.566042,0.563082,0.597355,0.569919,0.584839,0.683471,0.622764
-0.010064,-0.042078,-0.024222,-0.075082,-0.026702,-0.064903,-0.062514,0.001971,0.513874,0.565454,0.562147,0.597423,0.571249,0.584939,0.682999,0.620544
-0.016103,-0.043443,-0.026862,-0.071755,-0.029818,-0.069363,-0.065365,0.004254,0.509581,0.563744,0.562226,0.599986,0.572167,0.584598,0.682536,0.618128
-0.010554,-0.043821,-0.027834,-0.079865,-0.031409,-0.070729,-0.065401,0.003346,0.510110,0.568601,0.561573,0.603942,0.573043,0.584549,0.681610,0.617209
-0.018512,-0.044264,-0.028609,-0.083271,-0.032107,-0.071143,-0.066954,0.004315,0.513692,0.570088,0.561410,0.609189,0.574332,0.585556,0.681261,0.616638
-0.014216,-0.048448,-0.029260,-0.085795,-0.034718,-0.074470,-0.069153,0.005176,0.516421,0.569354,0.559597,0.612545,0.575417,0.585945,0.682841,0.613447
-0.011658,-0.051356,-0.032985,-0.086656,-0.035743,-0.075751,-0.068803,0.005366,0.513471,0.572700,0.559925,0.617535,0.575370,0.585960,0.682929,0.612429
-0.010494,-0.049122,-0.030868,-0.090708,-0.035274,-0.075226,-0.071231,0.005408,0.514123,0.574819,0.560520,0.620178,0.575426,0.587163,0.682257,0.610527
-0.006250,-0.048815,-0.031577,-0.090338,-0.037408,-0.077936,-0.071621,0.006273,0.520300,0.577747,0.559707,0.617176,0.576253,0.588384,0.681971,0.609932
-0.010766,-0.046743,-0.031585,-0.093239,-0.035571,-0.078647,-0.072939,0.007158,0.516305,0.578205,0.559160,0.618773,0.575891,0.590037,0.683001,0.608353
-0.011430,-0.049644,-0.031324,-0.094480,-0.037705,-0.080391,-0.074502,0.007512,0.524401,0.580184,0.559312,0.622716,0.575967,0.590471,0.682809,0.608770
-0.014079,-0.050182,-0.031309,-0.091969,-0.038250,-0.080799,-0.074398,0.007377,0.517835,0.579116,0.559512,0.619380,0.576253,0.590014,0.682307,0.606081
-0.011379,-0.050677,-0.030237,-0.093771,-0.039630,-0.081106,-0.075747,0.006458,0.523398,0.580795,0.559127,0.618003,0.575446,0.590438,0.683082,0.604061
-0.009380,-0.049777,-0.033054,-0.096161,-0.038489,-0.081496,-0.076212,0.006894,0.514931,0.578945,0.558281,0.616418,0.575917,0.591427,0.684429,0.602317
-0.004706,-0.051987,-0.032745,-0.094917,-0.038615,-0.081040,-0.078028,0.007462,0.510990,0.580036,0.557716,0.617630,0.576201,0.591334,0.685206,0.601874
-0.010911,-0.048288,-0.032700,-0.094241,-0.038890,-0.081069,-0.078567,0.007859,0.508541,0.577885,0.558360,0.613943,0.575979,0.591375,0.683462,0.602795
-0.007047,-0.053454,-0.030154,-0.093062,-0.039410,-0.082172,-0.078627,0.008426,0.516105,0.579513,0.558134,0.612135,0.576854,0.592778,0.683885,0.603063
-0.013243,-0.047278,-0.032663,-0.098976,-0.039641,-0.081463,-0.079675,0.008674,0.518010,0.582399,0.558750,0.613484,0.578248,0.594068,0.684120,0.602308
-0.012243,-0.049512,-0.030083,-0.093890,-0.039331,-0.081756,-0.081195,0.008210,0.516798,0.583787,0.558929,0.609909,0.578000,0.592743,0.685918,0.602092
-0.009397,-0.050822,-0.030327,-0.094057,-0.040211,-0.081300,-0.081572,0.008274,0.519864,0.582646,0.557967,0.608623,0.577043,0.595023,0.684656,0.601736
