Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.00028068,4.25202e-06,2.75327e-05,0.000154994,5.60693e-05,1.90576e-05,1.87743e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,17.3759,0,3.49383,0.00807068,0.160816,0,0.108199,0.000236048,1.28484,0,1.16712,0.00805318,0.0868971,0,0.0843532,0.00023563,, , 0.454542,0.12267,0.70763,10.5373,7.93599,1.16712,0.00805318,0.000987789,0.0655062,0.0148415,0.00654933,0.00175446,0.0694859,0.0843532,0.00023563,0.0585562
2,27.2158,26.3612,12.4355,2.82913,1.09538,1.50498,3.33363,-110.322,3.02723,2.17271,9.15054,2.82835,0.600366,1.00996,2.46519,-27.5804,, , 1.9446,1.45664,1.7987,21.0899,32.5478,9.15054,2.82835,0.0155217,1.20657,0.304263,0.0994931,0.0114841,0.981672,2.46519,-27.5804,0.920125
3,6.03081,5.84147,7.1381,169.481,0.425108,0.607928,2.75748,-36.8709,0.662509,0.473167,6.10588,169.48,0.258373,0.441193,1.02794,-9.21774,, , 0.42349,0.317223,0.394963,6.3117,7.41833,6.10588,169.48,0.0293457,0.525896,0.130422,0.0432483,0.0102282,0.33889,1.02794,-9.21774,1.73961
4,9.09234,8.72012,7.68278,4.06544,0.767289,1.13647,5.48826,-37.329,1.22652,0.8543,6.1057,4.06233,0.492525,0.861702,2.03024,-18.6646,, , 0.846981,0.450377,0.783461,10.9055,10.3259,6.1057,4.06233,0.0584488,1.01035,0.257715,0.086167,0.0163784,0.565794,2.03024,-18.6646,3.46485
5,1.59925,1.5297,6.73339,0.83996,0.279895,0.41337,7.64765,0.0315094,0.22646,0.156912,5.23593,0.83374,0.194596,0.328072,0.733811,0.0156172,, , 0.155568,0.0827223,0.145082,5.98723,2.12025,5.23593,0.83374,0.116473,0.396743,0.0940904,0.0318342,0.0231557,0.21473,0.733811,0.0156172,6.90454
6,2.60927,2.47249,8.1234,2.38038,0.506738,0.787642,15.2403,0.0478833,0.435904,0.299123,5.2359,2.36793,0.359589,0.640494,1.41288,0.0473334,, , 0.311136,0.136042,0.28785,11.6268,3.33692,5.2359,2.36793,0.232886,0.749662,0.187274,0.0631478,0.0409348,0.388247,1.41288,0.0473334,13.8055
7,2.21005,2.20617,9.57093,2.40811,0.103715,0.132315,49.3555,0.0401359,2.16299,2.15911,0.00843479,2.36563,0.0734862,0.102086,0.192784,0.0391227,, , 0.00864266,4.30537,0.00807679,11.957,0.270982,0.00843479,2.36563,0.827824,0.0710987,0.0982687,0.00620479,0.13525,0.217216,0.192784,0.0391227,49.0734
8,0.0878381,0.0873468,0.0308986,0.00280531,0.000699196,0.000773492,0.0602379,5.3237e-05,0.0015867,0.00109539,0.0020154,0.00275344,7.13576e-05,0.000145653,0.000218755,5.20002e-05,, , 0.00108033,0.000585908,0.00101585,0.242802,0.123535,0.0020154,0.00275344,0.00101147,0.00013737,6.02824e-05,1.93581e-05,0.000341021,0.00126778,0.000218755,5.20002e-05,0.0599602
Total,66.2212,47.2185,55.2089,182.015,3.33964,4.58347,83.9912,-184.402,9.02804,6.11641,33.0115,181.949,2.0659,3.38365,7.94742,-55.3604,, , 4.14604,6.87163,4.12678,78.6581,64.0797,33.0115,181.949,1.2825,4.02596,1.08693,0.336664,0.239527,2.7773,7.94742,-55.3604,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
-1.99696,0.00285173,0.525921,-4.39482,0.00434585,0.801468
