epoch,average loss,accuracy
0.000000,73.470848,42.619999
1.000000,62.960495,52.380001
2.000000,56.953735,59.029999
3.000000,51.241684,63.150002
4.000000,47.570141,66.449997
5.000000,43.450302,70.129997
6.000000,37.832764,74.800003
7.000000,46.672768,67.080002
8.000000,37.366451,74.809998
9.000000,36.836876,74.959999
10.000000,34.266006,76.930000
11.000000,36.595863,75.800003
12.000000,31.119406,79.660004
13.000000,31.445103,79.370003
14.000000,31.048256,79.809998
15.000000,31.184799,79.580002
16.000000,33.514690,77.580002
17.000000,31.936764,79.190002
18.000000,31.630585,78.870003
19.000000,30.169067,80.220001
20.000000,31.160271,79.110001
21.000000,30.033148,80.470001
22.000000,29.362106,80.379997
23.000000,27.569498,81.650002
24.000000,28.521782,81.519997
25.000000,30.549021,79.220001
26.000000,27.148003,82.489998
27.000000,32.763863,77.470001
28.000000,26.043297,83.730003
29.000000,27.841743,82.050003
30.000000,25.701454,83.570000
31.000000,28.421789,81.669998
32.000000,30.512541,79.339996
33.000000,26.294487,82.910004
34.000000,26.533516,82.669998
35.000000,26.977228,82.500000
36.000000,27.887129,81.639999
37.000000,25.642405,83.589996
38.000000,26.591740,82.900002
39.000000,27.822489,81.889999
40.000000,19.417608,87.510002
41.000000,18.545555,87.889999
42.000000,18.203646,88.230003
43.000000,17.815298,88.360001
44.000000,17.845909,88.550003
45.000000,17.634228,88.940002
46.000000,17.164694,89.050003
47.000000,17.088667,89.089996
48.000000,17.110622,88.739998
49.000000,16.988901,89.230003
50.000000,16.827753,89.120003
51.000000,16.621225,89.290001
52.000000,16.470642,89.389999
53.000000,16.609650,89.070000
54.000000,16.661665,89.230003
55.000000,16.390497,89.489998
56.000000,16.510712,89.449997
57.000000,16.316851,89.610001
58.000000,16.334063,89.709999
59.000000,15.998681,89.739998
60.000000,16.351414,89.410004
61.000000,16.078617,89.459999
62.000000,16.505680,89.550003
63.000000,16.507769,89.480003
64.000000,15.878401,89.970001
65.000000,16.619122,89.199997
66.000000,15.601485,89.980003
67.000000,16.288044,89.260002
68.000000,16.044538,89.790001
69.000000,16.060469,89.580002
70.000000,16.311592,89.430000
71.000000,15.799959,89.970001
72.000000,15.631265,90.110001
73.000000,16.014532,89.690002
74.000000,16.411900,89.410004
75.000000,15.591617,90.099998
76.000000,16.198376,89.620003
77.000000,15.782851,89.900002
78.000000,15.736566,89.879997
79.000000,15.957468,89.779999
80.000000,15.956754,89.809998
81.000000,15.957358,89.790001
82.000000,15.958053,89.790001
83.000000,15.957814,89.800003
84.000000,15.956691,89.769997
85.000000,15.957500,89.790001
86.000000,15.955686,89.800003
87.000000,15.957207,89.769997
88.000000,15.958850,89.790001
89.000000,15.957644,89.809998
90.000000,15.957465,89.809998
91.000000,15.958332,89.769997
92.000000,15.958283,89.769997
93.000000,15.958249,89.779999
94.000000,15.961069,89.790001
95.000000,15.960458,89.779999
96.000000,15.960444,89.800003
97.000000,15.961578,89.809998
98.000000,15.959316,89.790001
99.000000,15.959927,89.769997
