L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5929,30.1374,66.4864,0.0268397,1.46701,1.44509,88.8916,0.000448494,7.47833,6.92005,47.9145,0,0.730413,0.763141,12.8478,5.56796e-07,2.00848,1.36362,12.8594,2.9596
38.5929,30.1374,66.4866,0.0268397,1.47732,1.45473,88.9429,0.000448494,7.47833,6.92005,47.9147,0,0.740728,0.772772,12.8991,5.56796e-07,2.00693,1.36362,12.7958,2.95959
38.5929,30.1374,66.4871,0.0268397,1.48651,1.46334,89.0957,0.000448494,7.47833,6.92005,47.9152,0,0.749915,0.781385,13.0519,5.56796e-07,2.00321,1.36362,12.6462,2.95957
38.5929,30.1374,66.4877,0.0268397,1.49566,1.47142,89.1951,0.000448494,7.47833,6.92005,47.9158,0,0.759073,0.789464,13.1513,5.56796e-07,2.00068,1.36361,12.5458,2.95954
38.5929,30.1374,66.4867,0.0268397,1.48964,1.46686,88.9783,0.000448494,7.47833,6.92005,47.9148,0,0.753047,0.78491,12.9345,5.56796e-07,2.00562,1.36362,12.743,2.95959
38.5929,30.1374,66.4871,0.0268397,1.49514,1.47152,89.1016,0.000448494,7.47833,6.92005,47.9153,0,0.758553,0.78957,13.0578,5.56796e-07,2.00272,1.36362,12.6265,2.95957
38.5929,30.1374,66.4869,0.0268397,1.4937,1.47018,89.1172,0.000448494,7.47833,6.92005,47.915,0,0.757108,0.788225,13.0734,5.56796e-07,2.00244,1.36362,12.6154,2.95958
38.5929,30.1374,66.486,0.0268397,1.48714,1.46495,88.9146,0.000448494,7.47833,6.92005,47.9141,0,0.750549,0.782997,12.8708,5.56796e-07,2.00711,1.36363,12.8032,2.95962
38.5929,30.1374,66.4863,0.0268397,1.48934,1.46684,88.9359,0.000448494,7.47833,6.92005,47.9144,0,0.752752,0.784888,12.8921,5.56796e-07,2.00656,1.36363,12.7807,2.95961
38.5929,30.1374,66.4859,0.0268397,1.48675,1.46462,88.9755,0.000448494,7.47833,6.92005,47.9141,0,0.750163,0.782668,12.9317,5.56796e-07,2.0058,1.36363,12.7499,2.95962
38.5929,30.1374,66.4855,0.0268397,1.48391,1.46254,88.7814,0.000448494,7.47833,6.92005,47.9136,0,0.747323,0.780588,12.7376,5.56796e-07,2.01015,1.36363,12.9278,2.95964
38.5929,30.1374,66.4853,0.0268397,1.48138,1.46018,88.8239,0.000448494,7.47833,6.92005,47.9134,0,0.744789,0.778229,12.7801,5.56796e-07,2.00932,1.36364,12.8938,2.95965
38.5929,30.1374,66.485,0.0268397,1.47962,1.45859,88.872,0.000448494,7.47833,6.92005,47.9131,0,0.743026,0.776638,12.8282,5.56796e-07,2.00834,1.36364,12.8536,2.95967
