epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
average,38.59289999999999,30.13740000000001,66.48312999999999,0.026839700000000005,1.4612683999999998,1.443067,88.26547300000001,0.0004484939999999999,7.478330000000001,6.92005,47.911283000000005,0.0,0.72467656,0.7611141100000001,12.221671,5.56796e-07,1.7664200000000005,11.4074,1.22456,66.32480000000001,24.317200000000003,47.911283000000005,0.0,1.2825000000000002,1.0676308,0.3398230000000001,0.07833642599999999,0.186405,1.4488699999999997,12.221671,5.56796e-07,76.02649999999998,2.0224746,0.007394246300000001,1.3636553000000005,13.461973999999998,0.016048889000000007,2.9597543999999996
0.0,38.5929,30.1374,66.4864,0.0268397,1.46701,1.44509,88.8916,0.000448494,7.47833,6.92005,47.9145,0.0,0.730413,0.763141,12.8478,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9145,0.0,1.2825,1.07478,0.339823,0.0789547,0.186405,1.44887,12.8478,5.56796e-07,76.0265,2.00848,0.00739407,1.36362,12.8594,0.016048,2.9596
1.0,38.5929,30.1374,66.4866,0.0268397,1.47732,1.45473,88.9429,0.000448494,7.47833,6.92005,47.9147,0.0,0.740728,0.772772,12.8991,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9147,0.0,1.2825,1.09461,0.339823,0.0790688,0.186405,1.44887,12.8991,5.56796e-07,76.0265,2.00693,0.00739406,1.36362,12.7958,0.016048,2.95959
2.0,38.5929,30.1374,66.4871,0.0268397,1.48651,1.46334,89.0957,0.000448494,7.47833,6.92005,47.9152,0.0,0.749915,0.781385,13.0519,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9152,0.0,1.2825,1.11231,0.339823,0.0791648,0.186405,1.44887,13.0519,5.56796e-07,76.0265,2.00321,0.00739403,1.36362,12.6462,0.0160479,2.95957
3.0,38.5929,30.1374,66.4877,0.0268397,1.49566,1.47142,89.1951,0.000448494,7.47833,6.92005,47.9158,0.0,0.759073,0.789464,13.1513,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9158,0.0,1.2825,1.12937,0.339823,0.0793451,0.186405,1.44887,13.1513,5.56796e-07,76.0265,2.00068,0.007394,1.36361,12.5458,0.0160477,2.95954
4.0,38.5929,30.1374,66.4867,0.0268397,1.48964,1.46686,88.9783,0.000448494,7.47833,6.92005,47.9148,0.0,0.753047,0.78491,12.9345,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9148,0.0,1.2825,1.11904,0.339823,0.0790992,0.186405,1.44887,12.9345,5.56796e-07,76.0265,2.00562,0.00739405,1.36362,12.743,0.016048,2.95959
5.0,38.5929,30.1374,66.4871,0.0268397,1.49514,1.47152,89.1016,0.000448494,7.47833,6.92005,47.9153,0.0,0.758553,0.78957,13.0578,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9153,0.0,1.2825,1.12906,0.339823,0.079241,0.186405,1.44887,13.0578,5.56796e-07,76.0265,2.00272,0.00739403,1.36362,12.6265,0.0160478,2.95957
6.0,38.5929,30.1374,66.4869,0.0268397,1.4937,1.47018,89.1172,0.000448494,7.47833,6.92005,47.915,0.0,0.757108,0.788225,13.0734,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.915,0.0,1.2825,1.12629,0.339823,0.0792236,0.186405,1.44887,13.0734,5.56796e-07,76.0265,2.00244,0.00739404,1.36362,12.6154,0.0160479,2.95958
7.0,38.5929,30.1374,66.486,0.0268397,1.48714,1.46495,88.9146,0.000448494,7.47833,6.92005,47.9141,0.0,0.750549,0.782997,12.8708,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9141,0.0,1.2825,1.11472,0.339823,0.0790018,0.186405,1.44887,12.8708,5.56796e-07,76.0265,2.00711,0.00739409,1.36363,12.8032,0.0160481,2.95962
8.0,38.5929,30.1374,66.4863,0.0268397,1.48934,1.46684,88.9359,0.000448494,7.47833,6.92005,47.9144,0.0,0.752752,0.784888,12.8921,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9144,0.0,1.2825,1.11876,0.339823,0.0790539,0.186405,1.44887,12.8921,5.56796e-07,76.0265,2.00656,0.00739407,1.36363,12.7807,0.0160481,2.95961
