epoch,average loss,accuracy
0.000000,73.170464,43.380001
1.000000,66.652931,49.369999
2.000000,67.032234,48.509998
3.000000,60.147831,54.529999
4.000000,55.623074,59.070000
5.000000,50.571121,64.389999
6.000000,50.898396,64.050003
7.000000,48.663681,65.510002
8.000000,45.188412,68.660004
9.000000,42.869080,71.050003
10.000000,43.004601,70.500000
11.000000,42.512871,71.379997
12.000000,42.117954,71.470001
13.000000,43.505882,70.669998
14.000000,40.650623,72.720001
15.000000,38.170410,75.750000
16.000000,40.962742,71.940002
17.000000,38.066483,75.070000
18.000000,41.101650,71.800003
19.000000,35.174419,77.610001
20.000000,36.459541,76.349998
21.000000,37.103291,76.110001
22.000000,36.184563,76.050003
23.000000,37.566925,75.029999
24.000000,37.499622,75.269997
25.000000,36.565746,75.830002
26.000000,34.450966,77.730003
27.000000,39.185795,74.199997
28.000000,34.017727,78.269997
29.000000,34.843052,77.199997
30.000000,34.757854,77.370003
31.000000,32.820183,79.169998
32.000000,32.995995,79.449997
33.000000,32.198494,79.779999
34.000000,34.487057,77.690002
35.000000,33.981861,78.120003
36.000000,33.010094,79.250000
37.000000,34.308933,77.769997
38.000000,33.934883,78.239998
39.000000,33.181255,78.610001
40.000000,33.037727,78.629997
41.000000,32.714214,78.870003
42.000000,32.326962,79.050003
43.000000,32.206871,79.180000
44.000000,32.106411,79.199997
45.000000,32.041737,79.320000
46.000000,31.952454,79.440002
47.000000,31.904501,79.519997
48.000000,31.871765,79.519997
49.000000,31.830000,79.589996
50.000000,31.817579,79.580002
51.000000,31.809637,79.570000
52.000000,31.787451,79.550003
53.000000,31.776146,79.489998
54.000000,31.733059,79.510002
55.000000,31.714512,79.559998
56.000000,31.685991,79.599998
57.000000,31.666983,79.610001
58.000000,31.643011,79.540001
59.000000,31.613588,79.610001
60.000000,31.607971,79.650002
61.000000,31.588087,79.650002
62.000000,31.562885,79.680000
63.000000,31.557899,79.639999
64.000000,31.526562,79.769997
65.000000,31.506620,79.820000
66.000000,31.485746,79.839996
67.000000,31.471243,79.870003
68.000000,31.463303,79.839996
69.000000,31.448256,79.900002
70.000000,31.452093,79.889999
71.000000,31.444729,79.889999
72.000000,31.427204,79.870003
73.000000,31.433533,79.940002
74.000000,31.423441,79.940002
75.000000,31.400604,79.989998
76.000000,31.400517,79.870003
77.000000,31.354183,80.040001
78.000000,31.342382,80.040001
79.000000,31.341137,80.029999
80.000000,31.342148,80.019997
81.000000,31.342165,80.029999
82.000000,31.342321,80.059998
83.000000,31.341949,80.040001
84.000000,31.340986,80.040001
85.000000,31.339867,80.050003
86.000000,31.339464,80.080002
87.000000,31.340536,80.059998
88.000000,31.340778,80.019997
89.000000,31.339745,80.029999
90.000000,31.340776,80.019997
91.000000,31.339949,80.010002
92.000000,31.340244,80.000000
93.000000,31.341406,80.010002
94.000000,31.340996,80.019997
95.000000,31.342377,80.010002
96.000000,31.340742,80.029999
97.000000,31.340689,80.029999
98.000000,31.343027,79.980003
99.000000,31.344101,80.000000
