1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.000109,0.000029,-0.000091,-0.000004,-0.000019,-0.000075,-0.000041,-0.000049,0.023585,0.006502,0.004268,0.004301,0.004380,0.005301,0.004657,0.007565
-0.007342,0.000961,0.000054,0.000312,0.000035,0.000024,0.000022,-0.000006,0.029511,0.010908,0.002599,0.011896,0.002580,0.003046,0.002461,0.006681
-0.001031,0.000217,0.000012,0.000124,0.000136,0.000082,0.000002,0.000189,0.023825,0.004368,0.004902,0.005525,0.008934,0.004289,0.002877,0.008623
-0.000760,0.000014,-0.000141,-0.000207,-0.000056,0.000004,0.000011,0.000171,0.029110,0.003312,0.009508,0.007362,0.009416,0.005639,0.003287,0.008377
-0.004521,0.000956,0.000246,0.000290,0.000091,0.000005,0.000055,0.000189,0.032145,0.009446,0.006146,0.007923,0.003174,0.004647,0.003779,0.005758
0.002894,0.000218,0.000032,-0.000003,-0.000232,-0.000088,-0.000009,0.000470,0.025220,0.006222,0.003787,0.005910,0.007023,0.004300,0.002552,0.011228
-0.005009,0.000465,0.000059,0.000190,0.000029,0.000036,0.000038,0.000073,0.035214,0.007632,0.008956,0.006665,0.007155,0.005413,0.006375,0.007256
-0.004648,0.000137,0.000103,0.000035,0.000093,-0.000029,0.000043,0.000043,0.027148,0.010542,0.006439,0.009330,0.003029,0.005942,0.005289,0.003757
0.002333,-0.000522,-0.000212,-0.000066,0.000006,-0.000024,0.000001,-0.000134,0.028096,0.008142,0.010027,0.003072,0.003299,0.005333,0.003027,0.007664
0.002242,0.000532,0.000153,0.000731,0.000046,0.000037,-0.000002,-0.000067,0.033347,0.007285,0.005110,0.009604,0.004232,0.002702,0.004008,0.007176
0.001501,0.000037,-0.000050,-0.000201,0.000037,-0.000056,0.000000,-0.000055,0.027420,0.011182,0.006739,0.004651,0.004215,0.005630,0.003627,0.008355
-0.000506,0.000385,0.000277,0.000322,-0.000057,0.000054,0.000013,-0.000269,0.019943,0.012660,0.008510,0.006894,0.008172,0.005321,0.002924,0.010872
0.000832,-0.000763,-0.000012,-0.000523,0.000086,-0.000018,-0.000023,0.000049,0.031062,0.009028,0.006067,0.009962,0.005021,0.006484,0.006205,0.008333
-0.000470,0.000253,0.000176,-0.000042,0.000030,0.000008,0.000007,0.000171,0.029502,0.010957,0.007972,0.008396,0.003852,0.005491,0.003425,0.009034
-0.000904,-0.000473,0.000021,0.000295,-0.000082,0.000096,-0.000022,0.000098,0.028278,0.009761,0.006366,0.007913,0.005207,0.006327,0.004222,0.008735
-0.002930,0.000822,0.000111,-0.000549,0.000113,0.000007,-0.000050,0.000037,0.030825,0.007567,0.004193,0.010929,0.006045,0.007692,0.006267,0.005455
-0.003725,-0.000720,-0.000070,0.000008,-0.000032,0.000039,-0.000092,0.000134,0.032071,0.012333,0.009102,0.006945,0.003649,0.005259,0.007004,0.008377
0.003906,0.000142,0.000130,-0.000544,0.000074,0.000022,-0.000012,0.000018,0.026229,0.006095,0.004855,0.007734,0.004409,0.005888,0.005092,0.009099
0.006709,0.000428,0.000059,-0.000381,0.000120,-0.000007,0.000008,0.000049,0.027506,0.010497,0.007048,0.009489,0.005721,0.007387,0.002257,0.009203
0.000958,-0.000777,0.000127,0.000464,0.000046,0.000016,0.000005,-0.000037,0.024804,0.013745,0.006255,0.009715,0.003141,0.003568,0.002611,0.005794
0.000814,-0.000119,0.000109,0.000282,-0.000033,-0.000001,-0.000009,-0.000012,0.030082,0.007755,0.010087,0.006800,0.004384,0.005726,0.003430,0.007862
0.001899,0.001034,0.000539,0.000493,0.000006,0.000074,0.000003,-0.000397,0.027846,0.013414,0.010704,0.007223,0.005432,0.002735,0.004582,0.007827
-0.001827,-0.002149,-0.000334,-0.000210,-0.000328,-0.000007,0.000005,-0.000366,0.033151,0.014362,0.008383,0.011741,0.008192,0.005760,0.005687,0.008045
0.005841,0.000374,0.000084,-0.000326,0.000041,-0.000124,0.000001,-0.000171,0.028784,0.010221,0.007215,0.008205,0.002942,0.007129,0.003697,0.004860
