1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.011919,-0.004864,-0.005359,0.002892,-0.004206,-0.002937,-0.017270,0.044772,0.533430,0.669183,0.695108,0.682556,0.690220,0.693276,0.705789,0.655963
-0.015605,-0.010714,-0.003945,0.005219,-0.006544,-0.007746,-0.021211,0.032675,0.504856,0.655120,0.682851,0.662334,0.680889,0.682055,0.701374,0.646802
-0.020526,-0.013364,-0.003982,0.004080,-0.008804,-0.010225,-0.022762,0.033746,0.492931,0.647578,0.672430,0.649719,0.668665,0.675310,0.697739,0.641792
-0.024476,-0.015938,-0.006325,0.001615,-0.010441,-0.012175,-0.023476,0.031646,0.496173,0.640842,0.666597,0.644489,0.659163,0.670191,0.695511,0.642935
-0.019213,-0.015924,-0.006837,-0.002863,-0.012772,-0.014767,-0.024129,0.032082,0.489648,0.636315,0.661618,0.641337,0.651354,0.665725,0.693412,0.638228
-0.027500,-0.015679,-0.008778,-0.004575,-0.014287,-0.016709,-0.025285,0.030935,0.499106,0.630246,0.657728,0.638633,0.646341,0.661771,0.691838,0.639804
-0.019496,-0.018728,-0.010399,-0.007336,-0.015721,-0.017957,-0.026108,0.030511,0.497718,0.623979,0.654240,0.636222,0.641742,0.658428,0.690240,0.639704
-0.021171,-0.021390,-0.013123,-0.009178,-0.018112,-0.019646,-0.025709,0.030121,0.494375,0.616431,0.651282,0.633400,0.638678,0.655477,0.689068,0.637767
-0.020222,-0.023084,-0.014329,-0.010652,-0.019892,-0.021069,-0.026207,0.030444,0.497163,0.610357,0.647972,0.632311,0.636632,0.653374,0.689310,0.636760
-0.021854,-0.023282,-0.015638,-0.013325,-0.022425,-0.022566,-0.026870,0.030000,0.491220,0.606008,0.646068,0.630537,0.635318,0.651508,0.688704,0.636007
-0.021101,-0.026994,-0.017261,-0.013225,-0.024494,-0.023229,-0.027661,0.026949,0.507820,0.602912,0.644074,0.629545,0.634318,0.650039,0.688729,0.634743
-0.022916,-0.030573,-0.018853,-0.013356,-0.025957,-0.024835,-0.027901,0.026209,0.499691,0.600421,0.642805,0.629311,0.633526,0.648665,0.689677,0.635096
-0.021736,-0.034175,-0.019462,-0.012408,-0.026897,-0.025980,-0.028899,0.026142,0.496345,0.599207,0.642191,0.629548,0.632866,0.647355,0.689764,0.634306
-0.017260,-0.033608,-0.021691,-0.013850,-0.029077,-0.027090,-0.028862,0.027346,0.504612,0.597215,0.641105,0.628927,0.632235,0.646110,0.690266,0.632529
-0.015138,-0.035134,-0.023471,-0.013629,-0.030400,-0.028294,-0.029321,0.025454,0.506503,0.596368,0.640136,0.628726,0.631885,0.645151,0.690228,0.633049
-0.014345,-0.036520,-0.023892,-0.013941,-0.032194,-0.028946,-0.030167,0.026082,0.501115,0.593974,0.638891,0.628938,0.631478,0.644052,0.691468,0.631603
-0.006129,-0.036712,-0.025870,-0.014688,-0.033246,-0.030410,-0.031087,0.026813,0.504469,0.592107,0.638294,0.629002,0.631160,0.642949,0.691991,0.628608
-0.027625,-0.037178,-0.026276,-0.018809,-0.035143,-0.030313,-0.032049,0.025143,0.512693,0.591769,0.637532,0.628827,0.630880,0.641771,0.690933,0.629048
-0.014738,-0.041501,-0.028200,-0.016293,-0.036758,-0.031750,-0.031926,0.025308,0.501157,0.590701,0.636638,0.628617,0.630659,0.640918,0.692194,0.629197
-0.018075,-0.042450,-0.029241,-0.018876,-0.037642,-0.032613,-0.032547,0.023084,0.506579,0.589518,0.636265,0.629537,0.630335,0.640275,0.692189,0.629756
-0.014319,-0.042716,-0.029034,-0.018147,-0.038465,-0.033425,-0.033100,0.024628,0.504236,0.588644,0.635875,0.630626,0.630192,0.639550,0.692192,0.627333
-0.011669,-0.043577,-0.030075,-0.019368,-0.039696,-0.033548,-0.033205,0.022724,0.511197,0.587695,0.634858,0.630190,0.629980,0.639030,0.692500,0.624553
-0.017392,-0.042206,-0.030637,-0.016645,-0.040553,-0.034505,-0.033955,0.022931,0.515537,0.586525,0.634331,0.630681,0.629932,0.638399,0.693206,0.625096
